Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,9.83204455,-4.880594943,-4.951449607,22.98609543,49.15058072,-72.13667615
0.00025,9.778023033,-4.167671539,-5.610351494,17.77725983,52.61530866,-70.39256849
0.0005,9.690876708,-3.457286659,-6.233590049,11.9579134,56.48570898,-68.44362238
0.00075,9.54312364,-2.716861386,-6.826262253,6.020123482,59.83979337,-65.85991685
0.001,9.319866342,-1.95739733,-7.362469012,0.464870334,62.65926366,-63.12413399
0.00125,9.026592172,-1.187778256,-7.838813915,-4.74519825,65.03629498,-60.29109673
0.0015,8.725594315,-0.441852648,-8.283741667,-10.95337677,67.95571823,-57.00234146
0.00175,8.368167634,0.31422689,-8.682394525,-17.08995819,70.30782274,-53.21786455
0.002,7.944927775,1.068191101,-9.013118876,-22.75514412,72.13402589,-49.37888177
0.00225,7.458917431,1.840348749,-9.29926618,-28.1048317,72.95247704,-44.84764535
0.0025,6.921590763,2.628584041,-9.550174803,-33.3434906,72.76139972,-39.41790911
0.00275,6.345107928,3.388048225,-9.733156154,-38.37464142,72.37625715,-34.00161574
0.003,5.73710469,4.117472906,-9.854577596,-43.30075836,71.76899617,-28.46823781
0.00325,5.078870961,4.807972397,-9.886843358,-47.46973801,70.86422427,-23.39448626
0.0035,4.367144468,5.498470888,-9.865615356,-50.97624207,68.79911049,-17.82286842
0.00375,3.649348189,6.152160602,-9.80150879,-54.68484497,66.51158823,-11.82674326
0.004,2.937698006,6.741116343,-9.67881435,-58.6089859,64.52794475,-5.91895885
0.00425,2.179688897,7.305954314,-9.485643211,-61.56148148,61.6104278,-0.04894632
0.0045,1.411279266,7.809020712,-9.220299978,-64.08670807,58.65032648,5.436381592
0.00475,0.67160131,8.271892043,-8.943493353,-67.25880432,55.45718752,11.8016168
0.005,-0.08996582,8.665798431,-8.57583261,-69.42601776,52.13241757,17.29360019
0.00525,-0.870369899,9.013585766,-8.143215867,-70.7120285,48.21092852,22.50109998
0.0055,-1.620385154,9.30933288,-7.688947726,-72.24504089,44.11364842,28.13139247
0.00575,-2.377356999,9.557268697,-7.179911699,-72.96307373,39.44001252,33.52306121
0.006,-3.130682812,9.754433788,-6.623750975,-73.00144958,34.28625145,38.71519814
0.00625,-3.893941256,9.902095397,-6.008154141,-71.8939209,28.50001133,43.39390957
0.0065,-4.573460936,9.956252848,-5.382791912,-71.66384888,23.58764803,48.07620084
0.00675,-5.276900669,9.967676305,-4.690775636,-69.7631073,17.79632642,51.96678088
0.007,-5.904636634,9.894480484,-3.98984385,-68.38815308,12.65192422,55.73622886
0.00725,-6.514671683,9.783204948,-3.268533265,-66.27230835,6.863488735,59.40881961
0.0075,-7.063819913,9.599579669,-2.535759757,-64.20335388,1.412770548,62.79058333
0.00775,-7.560060687,9.368566041,-1.808505354,-62.07748413,-4.198819516,66.27630365
0.008,-8.025140754,9.063088281,-1.037947527,-59.04692459,-9.583443333,68.63036792
0.00825,-8.413963632,8.710646754,-0.296683122,-56.4266243,-14.87724625,71.30387055
0.0085,-8.764283037,8.319702053,0.444580984,-53.22997284,-20.46704773,73.69702057
0.00875,-9.096918099,7.886024396,1.210893703,-48.8165741,-26.36792305,75.18449715
0.009,-9.351320088,7.362226272,1.989093816,-44.3728447,-31.16500288,75.53784758
0.00925,-9.582835037,6.827428202,2.755406835,-38.99381256,-36.67385873,75.66767129
0.0095,-9.727094156,6.233819341,3.493274815,-33.98225403,-41.43806855,75.42032258
0.00975,-9.836277107,5.592822613,4.243454494,-28.03784561,-45.96055813,73.99840374
0.01,-9.868332578,4.910785057,4.957547521,-22.29716873,-49.94986731,72.24703604
0.01025,-9.809635276,4.199554245,5.610081031,-17.21235085,-53.42461201,70.63696285
0.0105,-9.711537382,3.464206583,6.247330798,-11.48698139,-56.75301532,68.23999671
0.01075,-9.541749593,2.711511664,6.830237929,-6.032626629,-59.71508042,65.74770705
0.011,-9.343033381,1.975740437,7.367292943,-0.006287065,-63.16411063,63.1703977
0.01125,-9.069262611,1.214160726,7.855101886,5.666445732,-65.8444138,60.17796806
0.0115,-8.734391896,0.441579729,8.292812166,11.19346333,-68.0171552,56.82369188
0.01175,-8.382441328,-0.301806749,8.684248076,17.38365173,-70.64969569,53.26604396
0.012,-7.952006502,-1.062540469,9.01454697,22.9139843,-72.29774127,49.38375697
0.01225,-7.434655246,-1.856699221,9.291354467,27.60217667,-72.46840256,44.86622589
0.0125,-6.905377562,-2.639857356,9.545234918,33.00649261,-72.42648393,39.41999131
0.01275,-6.317002002,-3.398051992,9.715053994,37.70858002,-71.97346381,34.26488379
0.013,-5.714538978,-4.133400239,9.847939217,42.81396103,-71.29145971,28.47749868
0.01325,-5.080518521,-4.828130205,9.908648726,47.6436882,-70.48009918,22.83641097
0.0135,-4.381070237,-5.508475796,9.889546032,51.39848328,-68.69172863,17.29324535
0.01375,-3.678493147,-6.143549088,9.822042235,55.37444305,-66.86643359,11.49199054
0.014,-2.915964747,-6.752389388,9.668354136,58.11309814,-64.13307547,6.019977321
0.01425,-2.173202131,-7.306227373,9.479429504,61.37704849,-61.53293556,0.155887067
0.0145,-1.42600535,-7.805062429,9.231067779,64.42642212,-58.80992409,-5.616498024
0.01475,-0.664653799,-8.261587276,8.926241075,66.98447418,-55.57929753,-11.40517665
0.015,0.104902266,-8.677917286,8.573015019,69.10309601,-51.77447031,-17.3286257
0.01525,0.853074092,-9.015973955,8.162899863,71.16062164,-48.2721078,-22.88851385
0.0155,1.615816155,-9.314683351,7.698867195,72.38516998,-44.0247508,-28.36041918
0.01575,2.396545329,-9.567695939,7.17115061,72.51499176,-39.0784788,-33.43651296
0.016,3.137545562,-9.768669127,6.631123565,72.89832306,-33.94080247,-38.95752058
0.01625,3.861418577,-9.887983065,6.026564487,72.61611938,-28.97926471,-43.63685468
0.0165,4.563790932,-9.963295628,5.399504696,71.9500885,-23.50270459,-48.44738391
0.01675,5.212066619,-9.96667932,4.754612701,71.44576263,-18.26842612,-53.17733651
0.017,5.890716845,-9.902791907,4.012075062,68.81832123,-12.57111915,-56.24720208
0.01725,6.50716094,-9.7796696,3.27250866,66.44833374,-6.955569844,-59.4927639
0.0175,7.072389547,-9.611275685,2.538886137,64.06755066,-1.09663127,-62.97091939
0.01775,7.581818379,-9.372647678,1.7908293,61.53179169,4.473281211,-66.0050729
0.018,7.99729158,-9.048130083,1.050838503,59.65749359,9.133113189,-68.79060678
0.01825,8.439054575,-8.732920458,0.293865883,55.92345428,15.51958068,-71.44303497
0.0185,8.777085485,-8.335206144,-0.44187934,52.98871231,20.89867792,-73.88739023
0.01875,9.100417202,-7.890951441,-1.209465761,48.73471069,26.53571394,-75.27042464
0.019,9.370917257,-7.377307796,-1.99360946,43.9371109,31.64557402,-75.58268492
0.01925,9.577479668,-6.814585356,-2.762894312,38.99972916,36.44478053,-75.44450969
0.0195,9.729828115,-6.214206627,-3.515621488,33.72440338,41.1341001,-74.85850348
0.01975,9.816938287,-5.571940379,-4.244997908,28.34962845,45.46083206,-73.8104605
0.02,9.837518838,-4.893711162,-4.943807676,22.94517136,49.4284612,-72.37363256
0.02025,9.807259327,-4.184172066,-5.623087261,17.13354683,53.13731857,-70.2708654
0.0205,9.710393323,-3.461094532,-6.24929879,11.46676064,56.70050219,-68.16726282
0.02075,9.482020267,-2.707553353,-6.774466914,7.550434589,59.21189682,-66.76233141
0.021,9.297409874,-1.944280955,-7.353128919,0.970284402,62.24128949,-63.21157389
0.02125,9.050348818,-1.192855155,-7.857493663,-5.315705299,65.30083478,-59.98512948
0.0215,8.742551688,-0.449045359,-8.293506329,-11.33757019,68.21281045,-56.87524026
0.02175,8.382980238,0.300687894,-8.683668131,-17.37690353,70.67240041,-53.29549687
0.022,7.925830898,1.07030678,-8.996137678,-22.26933861,71.95638955,-49.68705094
0.02225,7.461457199,1.83823288,-9.299690079,-28.15170097,73.01439891,-44.86269794
0.0225,6.94228155,2.596005139,-9.538286689,-33.64564896,73.53658646,-39.89093751
0.02275,6.32513791,3.383393968,-9.708531878,-37.81963348,72.33360126,-34.51396778
0.023,5.707023856,4.135665759,-9.842689615,-42.64225388,71.22067396,-28.57842009
0.02325,5.053099431,4.844781623,-9.897881054,-47.05289841,69.98926514,-22.93636674
0.0235,4.363416151,5.525549258,-9.88896541,-51.06037521,68.25989438,-17.19951916
0.02375,3.687496647,6.134390593,-9.82188724,-55.54098511,67.12406002,-11.58307491
0.024,2.931346903,6.746192844,-9.677539746,-58.47462082,64.38559484,-5.910974017
0.02425,2.184706659,7.283530357,-9.468237017,-61.52207947,62.07267278,-0.550593316
0.0245,1.429082901,7.800981789,-9.23006469,-64.49291229,58.9423886,5.550523697
0.02475,0.656301504,8.267237518,-8.923539021,-66.82482147,55.44419658,11.38062489
0.025,-0.084477423,8.656489462,-8.572012038,-69.50140381,52.36332969,17.13807411
0.02525,-0.836843489,9.009777845,-8.172934356,-71.57022858,48.54789707,23.0223315
0.0255,-1.603811804,9.313986919,-7.710175115,-72.73176575,44.16589781,28.56586794
0.02575,-2.375638907,9.563193477,-7.18755457,-73.07407379,39.35579586,33.71827793
0.026,-3.145916938,9.768819496,-6.622902558,-72.72880554,33.91292842,38.81587712
0.02625,-3.867696874,9.879672382,-6.011975508,-72.43749237,29.12467043,43.31282194
0.0265,-4.600163575,9.968945489,-5.368781914,-71.08018494,23.16171285,47.91847209
0.02675,-5.268380539,9.976137666,-4.707757127,-70.06680298,17.70448569,52.36231729
0.027,-5.915618362,9.910981139,-3.995362777,-68.23951721,12.25911043,55.98040678
0.02725,-6.528232575,9.790397642,-3.262165067,-65.98209381,6.620941054,59.36115276
0.0275,-7.046030809,9.587309866,-2.541279057,-64.58982086,1.766910384,62.82291048
0.02775,-7.56435495,9.354604949,-1.790249999,-61.87468719,-3.97246207,65.84714926
0.028,-8.019624479,9.062241977,-1.042617499,-59.19700623,-9.529971882,68.72697811
0.02825,-8.429223778,8.717415531,-0.288191752,-56.08638763,-15.12240972,71.20879735
0.0285,-8.783778227,8.329856894,0.453921333,-52.7967453,-20.81097989,73.60772519
0.02875,-9.078556764,7.916910634,1.16164613,-49.52580643,-26.83046838,76.3562748
0.029,-9.363546183,7.387612874,1.975933309,-44.23980713,-31.7608119,76.00061903
0.02925,-9.586668018,6.82404385,2.762624168,-38.8627739,-36.67184536,75.53461926
0.0295,-9.730141101,6.211817904,3.518323196,-33.73074722,-41.07643158,74.80717881
0.02975,-9.812596184,5.565320891,4.247275292,-28.44721031,-45.28995898,73.73716929
0.03,-9.842509901,4.889207443,4.953302457,-22.81373215,-49.36654857,72.18028071
0.03025,-9.82706354,4.19320773,5.63385581,-16.70955276,-53.44221353,70.15176629
0.0305,-9.724702983,3.46293727,6.261765714,-11.12720299,-56.83339274,67.96059573
0.03075,-9.554440456,2.724627393,6.829813063,-5.786425114,-60.06415572,65.85058083
0.031,-9.329892031,1.970240469,7.359651563,-0.298750877,-62.97342515,63.27217603
0.03125,-9.040008891,1.202313985,7.837694906,4.991858959,-65.41217424,60.42031528
0.0315,-8.734787001,0.450465275,8.284321726,11.13746548,-68.19302957,57.05556409
0.03175,-8.387930872,-0.293344745,8.681275617,17.46588135,-70.85861481,53.39273347
0.032,-7.962591677,-1.054078684,9.016670361,23.13333702,-72.54749793,49.41416091
0.03225,-7.460940611,-1.846121948,9.307062559,28.22439575,-72.87700867,44.65261292
0.0325,-6.915969855,-2.63351051,9.549480365,33.25648499,-72.64215801,39.38567302
