Time (seconds),Left,Center,Up,Right,Down
0.0164077,0.0,0.0,0.0,0.0,0.0
0.0659974,0.0,0.0,0.0,0.0,0.0
0.1160259,0.0,0.0,0.0,0.0,0.0
0.1660047,0.0,0.0,0.0,0.0,0.0
0.2152345,0.0,0.0,0.0,0.0,0.0
0.2650084,0.0,0.0,0.0,0.0,0.0
0.3145683,0.0,0.0,0.0,0.0,0.0
0.3643417,0.0,0.0,0.0,0.0,0.0
0.4137292,0.0,0.0,0.0,0.0,0.0
0.4640253,0.0,0.0,0.0,0.0,0.0
0.5132651,0.0,0.0,0.0,0.0,0.0
0.562737,0.0,0.0,0.0,0.0,0.0
0.6128886,0.0,0.0,0.0,0.0,0.0
0.6628542,0.0,0.0,0.0,0.0,0.0
0.7126122,0.0,0.0,0.0,0.0,0.0
0.7615905,0.0,0.0,0.0,0.0,0.0
0.8118732,0.0,0.0,0.0,0.0,0.0
0.8615208,0.0,0.0,0.0,0.0,0.0
0.9110293,0.0,0.0,0.0,0.0,0.0
0.9606807,0.0,0.0,0.0,0.0,0.0
1.0102105,0.0,0.0,0.0,0.0,0.0
1.0595591,0.0,0.0,0.0,0.0,0.0
1.1095908,0.0,0.0,0.0,0.0,0.0
1.1592066,0.0,0.0,0.0,0.0,0.0
1.2093794,0.0,0.0,0.0,0.0,0.0
1.2590175,0.0,0.0,0.0,0.0,0.0
1.3082726,0.0,0.0,0.0,0.0,0.0
1.3579028,0.0,0.0,0.0,0.0,0.0
1.4082069,0.0,0.0,0.0,0.5333334,0.0
1.4575322,0.0,0.0,0.0,0.8244445,0.0
1.5067725,0.0,0.6088889,0.6333333,0.86,0.0
1.5574048,0.6088889,0.8244445,0.8266667,0.5155556,0.0
1.6071601,0.22,0.1466667,0.2133333,0.0733333,0.0
1.6560023,0.0,0.0,0.0,0.0,0.0
1.7058363,0.0,0.0,0.0,0.0,0.0
1.7558291,0.0,0.0,0.0,0.0,0.0
1.8055294,0.0,0.0,0.0,0.0,0.0
1.8550384,0.0,0.0,0.0,0.0,0.0
1.9051926,0.0,0.0,0.0,0.0,0.0
1.9542336,0.0,0.0,0.0,0.0,0.0
2.0038328,0.0,0.0,0.0,0.0,0.0
2.0543075,0.0,0.0,0.0,0.0,0.0
2.1040702,0.0,0.0,0.0,0.0,0.0
2.1535029,0.0,0.0,0.0,0.0,0.0
2.2032213,0.0,0.0,0.0,0.0,0.0
2.2525215,0.0,0.0,0.0,0.0,0.0
