# Time (seconds),Pressure (envelope),Temperature (high-pass)
0.0078125,0.0,0.0
0.0234375,0.006825849413871765,-0.016774654388427734
0.0390625,0.015098027943150072,-0.00351758673787117
0.0546875,0.021315552074823718,-0.013694182358452878
0.0703125,0.027020558587485654,-0.012489577025235121
0.0859375,0.02951642241086004,-0.022603648761581496
0.1015625,0.03230459161326197,-0.020966088307542208
0.1171875,0.03503620277972069,-0.017168791597132582
0.1328125,0.03685244489961503,-0.009003113343233338
0.1484375,0.03683058142782099,-0.01878107316253974
0.1640625,0.03877590266789437,-0.014259007474073826
0.1796875,0.0384715829934941,-0.009401350719365098
0.1953125,0.03627907901136841,0.005243942864595397
0.2109375,0.036972704187650224,-0.015931878802071253
0.2265625,0.037751604374680406,-0.01326396159707599
0.2421875,0.03789738714971822,-0.002948690340243587
0.2578125,0.038556868798199036,-0.012403030634828838
0.2734375,0.03693701746669388,-0.013767101406081395
0.2890625,0.0387849583646334,-0.0012602300922992526
0.3046875,0.038736668400680865,-0.008903442119933658
0.3203125,0.038064228281577,-0.012853442408086835
0.3359375,0.035446876037708186,-0.007287636591239988
0.3515625,0.03618429656193682,-0.014149489886609246
0.3671875,0.037431955395696014,-0.011495497595014115
0.3828125,0.03601225382807071,-0.013222438592805474
0.3984375,0.03485878261540895,-0.01712355714124314
0.4140625,0.03359245880710565,-0.008239102242317387
0.4296875,0.032947276265598104,-0.002353565833349336
0.4453125,0.03137794080420108,-0.016907024131736392
0.4609375,0.028665500494612663,-0.007297561067844072
0.4765625,0.026371500371796888,-0.00031419112587371956
0.4921875,0.02337406012022567,-0.010152463360121544
0.5078125,0.021117270021619762,-0.004251978817425339
0.5234375,0.020205051509704922,-0.00019920180319132896
0.5390625,0.020090025013006333,-0.004217203968824634
0.5546875,0.019868103743345272,0.0016596207295442866
0.5703125,0.022653437263398104,-0.012576980254092263
0.5859375,0.02366361603179099,0.003925012088132007
0.6015625,0.020181974202685794,0.006808717037486645
0.6171875,0.020755904073325525,0.0001925161040610135
0.6328125,0.02327121503250469,0.004210570501712141
0.6484375,0.02433664115116352,0.003443405800680921
0.6640625,0.020646186992385993,0.005604173470054263
0.6796875,0.02203710665283174,0.008838109885658696
0.6953125,0.01997876072814692,0.012417700877460192
0.7109375,0.021468948080538442,0.011957337674804336
0.7265625,0.022374404696083837,0.012227270888772068
0.7421875,0.022222988386117443,0.007037276741357346
0.7578125,0.021945752652214524,0.0011459900143435675
0.7734375,0.019190254699021615,0.012794513392528017
0.7890625,0.01702980759264383,0.004314798852320223
0.8046875,0.014697346616953336,0.012660846890614863
0.8203125,0.013228963591180335,0.014749603301478231
0.8359375,0.011188401820275388,0.005883694916917648
0.8515625,0.014627625169497654,0.024080922176782593
0.8671875,0.013052129238911532,0.011122554433793397
0.8828125,0.015355622656142608,0.006304540798232949
0.8984375,0.017130218875904244,0.016451793550327665
0.9140625,0.0207246742377528,0.01742088344675352
0.9296875,0.02602873699791617,0.01801905241381263
0.9453125,0.028710215004554684,0.017514928652278883
0.9609375,0.02908301606782502,0.026847900420161608
0.9765625,0.02945227672964239,0.022262812643745633
0.9921875,0.0328002843166898,0.03302723080592074
1.0078125,0.03426368198374444,0.036788763994966445
