t,i
0.00159500,7.179
0.00160000,7.162
0.00160500,7.156
0.00161000,7.152
0.00161500,7.133
0.00162000,7.160
0.00162500,7.139
0.00163000,7.128
0.00163500,7.095
0.00164000,7.090
0.00164500,7.085
0.00165000,7.071
0.00165500,7.042
0.00166000,7.042
0.00166500,7.034
0.00167000,7.028
0.00167500,7.026
0.00168000,7.015
0.00168500,7.005
0.00169000,6.994
0.00169500,6.971
0.00170000,6.952
0.00170500,6.949
0.00171000,6.958
0.00171500,6.919
0.00172000,6.907
0.00172500,6.898
0.00173000,6.897
0.00173500,6.878
0.00174000,6.881
0.00174500,6.886
0.00175000,6.848
0.00175500,6.838
0.00176000,6.820
0.00176500,6.832
0.00177000,6.798
0.00177500,6.800
0.00178000,6.782
0.00178500,6.776
0.00179000,6.759
0.00179500,6.748
0.00180000,6.724
0.00180500,6.698
0.00181000,6.699
0.00181500,6.691
0.00182000,6.690
0.00182500,6.681
0.00183000,6.672
0.00183500,6.644
0.00184000,6.636
0.00184500,6.632
0.00185000,6.640
0.00185500,6.618
0.00186000,6.593
0.00186500,6.572
0.00187000,6.552
0.00187500,6.550
0.00188000,6.561
0.00188500,6.517
0.00189000,6.497
0.00189500,6.501
0.00190000,6.501
0.00190500,6.482
0.00191000,6.473
0.00191500,6.447
0.00192000,6.452
0.00192500,6.426
0.00193000,6.400
0.00193500,6.389
0.00194000,6.380
0.00194500,6.385
0.00195000,6.366
0.00195500,6.370
0.00196000,6.356
0.00196500,6.329
0.00197000,6.326
0.00197500,6.313
0.00198000,6.292
0.00198500,6.293
0.00199000,6.263
0.00199500,6.274
0.00200000,6.272
0.00200500,6.234
0.00201000,6.192
0.00201500,6.170
0.00202000,6.171
0.00202500,6.168
0.00203000,6.142
0.00203500,6.142
0.00204000,6.131
0.00204500,6.126
0.00205000,6.137
0.00205500,6.101
0.00206000,6.095
0.00206500,6.074
0.00207000,6.031
0.00207500,6.039
0.00208000,6.029
0.00208500,6.010
0.00209000,5.975
0.00209500,5.989
0.00210000,5.974
0.00210500,5.948
0.00211000,5.931
0.00211500,5.906
0.00212000,5.904
0.00212500,5.877
0.00213000,5.871
0.00213500,5.877
0.00214000,5.840
0.00214500,5.853
0.00215000,5.840
0.00215500,5.834
0.00216000,5.826
0.00216500,5.783
0.00217000,5.779
0.00217500,5.802
0.00218000,5.768
0.00218500,5.743
0.00219000,5.741
0.00219500,5.719
0.00220000,5.715
0.00220500,5.702
0.00221000,5.675
0.00221500,5.684
0.00222000,5.660
0.00222500,5.640
0.00223000,5.622
0.00223500,5.605
0.00224000,5.571
0.00224500,5.561
0.00225000,5.570
0.00225500,5.569
0.00226000,5.553
0.00226500,5.531
0.00227000,5.523
0.00227500,5.515
0.00228000,5.483
0.00228500,5.471
0.00229000,5.447
0.00229500,5.453
0.00230000,5.440
0.00230500,5.397
0.00231000,5.388
0.00231500,5.396
0.00232000,5.391
0.00232500,5.353
0.00233000,5.327
0.00233500,5.343
0.00234000,5.313
0.00234500,5.284
0.00235000,5.276
0.00235500,5.260
0.00236000,5.237
0.00236500,5.247
0.00237000,5.231
0.00237500,5.230
0.00238000,5.216
0.00238500,5.196
0.00239000,5.163
0.00239500,5.159
0.00240000,5.157
0.00240500,5.129
0.00241000,5.100
0.00241500,5.088
0.00242000,5.073
0.00242500,5.049
0.00243000,5.041
0.00243500,5.026
0.00244000,5.014
0.00244500,5.006
0.00245000,4.961
0.00245500,4.977
0.00246000,4.957
0.00246500,4.963
0.00247000,4.949
0.00247500,4.921
0.00248000,4.906
0.00248500,4.868
0.00249000,4.858
0.00249500,4.853
0.00250000,4.855
0.00250500,4.832
0.00251000,4.832
0.00251500,4.780
0.00252000,4.744
0.00252500,4.737
0.00253000,4.711
0.00253500,4.693
0.00254000,4.706
0.00254500,4.667
0.00255000,4.659
0.00255500,4.658
0.00256000,4.628
0.00256500,4.632
0.00257000,4.615
0.00257500,4.618
0.00258000,4.611
0.00258500,4.602
0.00259000,4.585
0.00259500,4.551
0.00260000,4.561
0.00260500,4.527
0.00261000,4.518
0.00261500,4.514
0.00262000,4.516
0.00262500,4.493
0.00263000,4.486
0.00263500,4.458
0.00264000,4.430
0.00264500,4.434
0.00265000,4.418
0.00265500,4.368
0.00266000,4.354
0.00266500,4.378
0.00267000,4.346
0.00267500,4.349
0.00268000,4.327
0.00268500,4.306
0.00269000,4.289
0.00269500,4.283
0.00270000,4.281
0.00270500,4.261
0.00271000,4.260
0.00271500,4.258
0.00272000,4.210
0.00272500,4.209
0.00273000,4.196
0.00273500,4.196
0.00274000,4.183
0.00274500,4.161
0.00275000,4.147
0.00275500,4.151
0.00276000,4.139
0.00276500,4.109
0.00277000,4.085
0.00277500,4.083
0.00278000,4.072
0.00278500,4.061
0.00279000,4.041
0.00279500,4.063
0.00280000,4.042
0.00280500,4.034
0.00281000,3.990
0.00281500,3.980
0.00282000,3.951
0.00282500,3.956
0.00283000,3.960
0.00283500,3.953
0.00284000,3.912
0.00284500,3.904
0.00285000,3.879
0.00285500,3.900
0.00286000,3.888
0.00286500,3.838
0.00287000,3.838
0.00287500,3.790
0.00288000,3.788
0.00288500,3.796
0.00289000,3.773
0.00289500,3.754
0.00290000,3.770
0.00290500,3.727
0.00291000,3.722
0.00291500,3.689
0.00292000,3.677
0.00292500,3.678
0.00293000,3.672
0.00293500,3.653
0.00294000,3.613
0.00294500,3.638
0.00295000,3.610
0.00295500,3.582
0.00296000,3.578
0.00296500,3.547
0.00297000,3.535
0.00297500,3.509
0.00298000,3.497
0.00298500,3.484
0.00299000,3.490
0.00299500,3.464
0.00300000,3.460
0.00300500,3.452
0.00301000,3.458
0.00301500,3.425
0.00302000,3.400
0.00302500,3.377
0.00303000,3.357
0.00303500,3.362
0.00304000,3.343
0.00304500,3.330
0.00305000,3.321
0.00305500,3.281
0.00306000,3.247
0.00306500,3.235
0.00307000,3.204
0.00307500,3.213
0.00308000,3.191
0.00308500,3.168
0.00309000,3.150
0.00309500,3.158
0.00310000,3.130
0.00310500,3.120
0.00311000,3.130
0.00311500,3.097
0.00312000,3.091
0.00312500,3.111
0.00313000,3.104
0.00313500,3.080
0.00314000,3.062
0.00314500,3.041
0.00315000,3.016
0.00315500,3.012
0.00316000,2.991
0.00316500,2.967
0.00317000,2.956
0.00317500,2.967
0.00318000,2.942
0.00318500,2.942
0.00319000,2.892
0.00319500,2.890
0.00320000,2.898
0.00320500,2.887
0.00321000,2.892
0.00321500,2.855
0.00322000,2.846
0.00322500,2.815
0.00323000,2.800
0.00323500,2.796
0.00324000,2.783
0.00324500,2.767
0.00325000,2.737
0.00325500,2.734
0.00326000,2.720
0.00326500,2.717
0.00327000,2.686
0.00327500,2.689
0.00328000,2.650
0.00328500,2.643
0.00329000,2.614
0.00329500,2.634
0.00330000,2.587
0.00330500,2.539
0.00331000,2.537
0.00331500,2.530
0.00332000,2.498
0.00332500,2.503
0.00333000,2.498
0.00333500,2.491
0.00334000,2.488
0.00334500,2.477
0.00335000,2.434
0.00335500,2.384
0.00336000,2.343
0.00336500,2.301
0.00337000,2.296
0.00337500,2.277
0.00338000,2.272
0.00338500,2.210
0.00339000,2.210
0.00339500,2.186
0.00340000,2.172
0.00340500,2.154
0.00341000,2.128
0.00341500,2.091
0.00342000,2.066
0.00342500,2.056
0.00343000,2.018
0.00343500,1.988
0.00344000,1.979
0.00344500,1.947
0.00345000,1.912
0.00345500,1.919
0.00346000,1.900
0.00346500,1.858
0.00347000,1.837
0.00347500,1.816
0.00348000,1.818
0.00348500,1.790
0.00349000,1.778
0.00349500,1.780
0.00350000,1.746
0.00350500,1.731
0.00351000,1.730
0.00351500,1.722
0.00352000,1.698
0.00352500,1.699
0.00353000,1.673
0.00353500,1.669
0.00354000,1.663
0.00354500,1.683
0.00355000,1.684
0.00355500,1.681
0.00356000,1.695
0.00356500,1.689
0.00357000,1.695
0.00357500,1.684
0.00358000,1.695
0.00358500,1.689
0.00359000,1.679
0.00359500,1.693
0.00360000,1.674
0.00360500,1.674
0.00361000,1.677
0.00361500,1.667
0.00362000,1.648
0.00362500,1.659
0.00363000,1.668
0.00363500,1.638
0.00364000,1.630
0.00364500,1.605
0.00365000,1.600
0.00365500,1.597
0.00366000,1.583
0.00366500,1.577
0.00367000,1.561
0.00367500,1.526
0.00368000,1.507
0.00368500,1.501
0.00369000,1.509
0.00369500,1.494
0.00370000,1.489
0.00370500,1.465
0.00371000,1.451
0.00371500,1.431
0.00372000,1.425
0.00372500,1.416
0.00373000,1.400
0.00373500,1.392
0.00374000,1.399
0.00374500,1.376
0.00375000,1.345
0.00375500,1.314
0.00376000,1.325
0.00376500,1.312
0.00377000,1.285
0.00377500,1.277
0.00378000,1.244
0.00378500,1.238
0.00379000,1.236
0.00379500,1.222
0.00380000,1.193
0.00380500,1.190
0.00381000,1.197
0.00381500,1.186
0.00382000,1.176
0.00382500,1.155
0.00383000,1.133
0.00383500,1.114
0.00384000,1.138
0.00384500,1.111
0.00385000,1.097
0.00385500,1.075
0.00386000,1.054
0.00386500,1.066
0.00387000,1.034
0.00387500,1.020
0.00388000,1.000
0.00388500,1.001
0.00389000,0.988
0.00389500,0.943
0.00390000,0.956
0.00390500,0.945
0.00391000,0.947
0.00391500,0.909
0.00392000,0.903
0.00392500,0.902
0.00393000,0.887
0.00393500,0.859
0.00394000,0.829
0.00394500,0.797
0.00395000,0.801
0.00395500,0.801
0.00396000,0.790
0.00396500,0.771
0.00397000,0.776
0.00397500,0.763
0.00398000,0.730
0.00398500,0.717
0.00399000,0.707
0.00399500,0.695
0.00400000,0.685
0.00400500,0.666
0.00401000,0.658
0.00401500,0.650
0.00402000,0.620
0.00402500,0.593
0.00403000,0.593
0.00403500,0.598
0.00404000,0.566
0.00404500,0.560
0.00405000,0.561
0.00405500,0.531
0.00406000,0.515
0.00406500,0.497
0.00407000,0.484
0.00407500,0.456
0.00408000,0.454
0.00408500,0.443
0.00409000,0.441
0.00409500,0.437
0.00410000,0.411
0.00410500,0.385
0.00411000,0.397
0.00411500,0.358
0.00412000,0.348
0.00412500,0.317
0.00413000,0.275
0.00413500,0.262
0.00414000,0.251
0.00414500,0.250
0.00415000,0.216
0.00415500,0.178
0.00416000,0.135
0.00416500,0.085
0.00417000,0.056
0.00417500,0.022
0.00418000,-0.029
0.00418500,-0.055
0.00419000,-0.084
0.00419500,-0.083
0.00420000,-0.094
0.00420500,-0.125
0.00421000,-0.150
0.00421500,-0.157
0.00422000,-0.212
0.00422500,-0.205
0.00423000,-0.212
0.00423500,-0.215
0.00424000,-0.212
0.00424500,-0.209
0.00425000,-0.204
0.00425500,-0.225
0.00426000,-0.212
0.00426500,-0.196
0.00427000,-0.211
0.00427500,-0.236
0.00428000,-0.218
0.00428500,-0.223
0.00429000,-0.237
0.00429500,-0.209
0.00430000,-0.214
0.00430500,-0.190
0.00431000,-0.182
0.00431500,-0.171
0.00432000,-0.166
0.00432500,-0.171
0.00433000,-0.204
0.00433500,-0.218
0.00434000,-0.201
0.00434500,-0.232
0.00435000,-0.219
0.00435500,-0.206
0.00436000,-0.192
0.00436500,-0.190
0.00437000,-0.146
0.00437500,-0.151
0.00438000,-0.172
0.00438500,-0.217
0.00439000,-0.214
