Time(Seconds), Inputs 
0.0,0.1160607486963272
1.0,0.2046584486961364
2.0,0.2550530731678009
3.0,0.2998014986515045
4.0,0.3370090425014496
5.0,0.3695311248302459
6.0,0.3968113660812378
7.0,0.4242803752422333
8.0,0.4499501287937164
9.0,0.4716378152370453
10.0,0.4930671751499176
11.0,0.5119292736053467
12.0,0.5295633673667908
13.0,0.5454806685447693
14.0,0.5589916110038757
15.0,0.57298344373703
16.0,0.5869166254997253
17.0,0.5974927544593811
18.0,0.60831618309021
19.0,0.6198083162307739
20.0,0.629206120967865
21.0,0.6366019248962402
22.0,0.6466822028160095
23.0,0.6567625403404236
24.0,0.6659546494483948
25.0,0.6724413633346558
26.0,0.6790831089019775
27.0,0.6854764223098755
28.0,0.6910332441329956
29.0,0.6965890526771545
30.0,0.7023603916168213
31.0,0.7088908553123474
32.0,0.7148401141166687
33.0,0.7202746868133545
34.0,0.7253118753433228
35.0,0.730349063873291
36.0,0.7352818846702576
37.0,0.7398183345794678
38.0,0.744354784488678
39.0,0.7489885687828064
40.0,0.754027783870697
41.0,0.7557515501976013
42.0,0.7582522034645081
43.0,0.76432865858078
44.0,0.7704050540924072
45.0,0.776196300983429
46.0,0.7807397246360779
47.0,0.7852820754051208
48.0,0.7898731827735901
49.0,0.7946907877922058
50.0,0.7978929281234741
51.0,0.8004214763641357
52.0,0.8049618601799011
53.0,0.8095032572746277
54.0,0.8140437006950378
55.0,0.8185791373252869
56.0,0.8231155872344971
57.0,0.8276520371437073
58.0,0.8321993947029114
59.0,0.8367457389831543
60.0,0.8412315249443054
61.0,0.8452582955360413
62.0,0.8492840528488159
63.0,0.8532512187957764
64.0,0.8567792177200317
65.0,0.8603062629699707
66.0,0.8638898730278015
67.0,0.8679454922676086
68.0,0.872001051902771
69.0,0.8761629462242126
70.0,0.8812060356140137
71.0,0.8839561343193054
72.0,0.8865939378738403
73.0,0.8906505107879639
74.0,0.8947080969810486
75.0,0.8987179398536682
76.0,0.9022529125213624
77.0,0.9057878851890564
78.0,0.9093218445777892
79.0,0.9128448963165284
80.0,0.9163679480552672
81.0,0.9201661944389344
82.0,0.9257428646087646
83.0,0.92887145280838
84.0,0.9320219159126282
85.0,0.9355440139770508
86.0,0.9390660524368286
87.0,0.9426089525222778
88.0,0.9466695189476012
89.0,0.95073002576828
90.0,0.9548243880271912
91.0,0.9596310257911682
92.0,0.9644387364387512
93.0,0.9668241739273072
94.0,0.97035813331604
95.0,0.973893105983734
96.0,0.977427065372467
97.0,0.9809600710868835
98.0,0.9844940304756165
99.0,0.9880279898643494
100.0,0.7003968676412351
101.0,0.2244723439216613
102.0,0.2875533103942871
103.0,0.3230559527873993
104.0,0.3530375957489013
105.0,0.3765305280685425
106.0,0.3993021547794342
107.0,0.4194081425666809
108.0,0.4395131468772888
109.0,0.4567925333976745
110.0,0.4746730327606201
111.0,0.4915937781333923
112.0,0.5074226260185242
113.0,0.5232505202293396
114.0,0.536710798740387
115.0,0.5495044589042664
116.0,0.562298059463501
117.0,0.5781378746032715
118.0,0.5895862579345703
119.0,0.6010346412658691
120.0,0.6124830842018127
121.0,0.6232727766036987
122.0,0.6338925361633301
123.0,0.6445133686065674
124.0,0.6562667489051819
125.0,0.6666818857192993
126.0,0.6760408878326416
127.0,0.6854009032249451
128.0,0.6947599649429321
129.0,0.7036887407302856
130.0,0.7115674018859863
131.0,0.7194451093673706
132.0,0.7276655435562134
133.0,0.7361224293708801
134.0,0.7444273233413696
135.0,0.7509329319000244
136.0,0.7574395537376404
137.0,0.7639451622962952
138.0,0.7704517245292664
139.0,0.7769573330879211
140.0,0.784250795841217
141.0,0.7904573678970337
142.0,0.7961781024932861
143.0,0.8018988370895386
144.0,0.807619571685791
145.0,0.8133402466773987
146.0,0.8190609812736511
147.0,0.8243962526321411
148.0,0.8289416432380676
149.0,0.8335297107696533
150.0,0.8381178379058838
151.0,0.8427069187164307
152.0,0.8472950458526611
153.0,0.8518831133842468
154.0,0.8564712405204773
155.0,0.861140787601471
156.0,0.8658461570739746
157.0,0.8705505132675171
158.0,0.8745931386947632
159.0,0.8784658908843994
160.0,0.8823387026786804
161.0,0.8862114548683167
162.0,0.8900822401046753
163.0,0.8939351439476013
164.0,0.8977870345115662
165.0,0.9016399383544922
166.0,0.905491828918457
167.0,0.909343719482422
168.0,0.913196623325348
169.0,0.9155542254447936
170.0,0.916983962059021
171.0,0.9199734330177308
172.0,0.9229639768600464
173.0,0.9259535074234008
174.0,0.9289429783821106
175.0,0.9319335222244264
176.0,0.9349230527877808
177.0,0.9379125833511353
178.0,0.9410243034362792
179.0,0.9441568851470948
180.0,0.947288453578949
181.0,0.9504210352897644
182.0,0.9535536170005798
183.0,0.9566852450370787
184.0,0.9587289094924928
185.0,0.9602540135383606
186.0,0.9628450870513916
187.0,0.9654372334480286
188.0,0.9680283069610596
189.0,0.9706204533576964
190.0,0.9732125401496888
191.0,0.9758036732673644
192.0,0.9783957600593568
193.0,0.9808587431907654
194.0,0.9832461476325988
195.0,0.9856336116790771
196.0,0.9880220293998718
197.0,0.99040949344635
198.0,0.9927979111671448
199.0,0.995185375213623
200.0,0.9975728392601012
201.0,0.2766150426462385
202.0,0.2136409133672714
203.0,0.2819200158119201
204.0,0.3186129033565521
205.0,0.3505140542984009
206.0,0.3799333572387695
207.0,0.4037312865257263
208.0,0.4261849820613861
209.0,0.4473401308059692
210.0,0.467865377664566
211.0,0.4878829419612884
212.0,0.5078141093254089
213.0,0.5246483683586121
214.0,0.5404265522956848
215.0,0.5564730167388916
216.0,0.5716044306755066
217.0,0.586736798286438
218.0,0.6015940308570862
219.0,0.6154278516769409
220.0,0.6285175681114197
221.0,0.6414791345596313
222.0,0.6524466872215271
223.0,0.6634141802787781
224.0,0.674382746219635
225.0,0.6849319934844971
226.0,0.6943267583847046
227.0,0.7037205696105957
228.0,0.7131153345108032
229.0,0.7225100994110107
230.0,0.7308229804039001
231.0,0.7379167079925537
