# Time (seconds),f0
0.0078125,953.7826538085938
0.0234375,953.7305297851562
0.0390625,953.72998046875
0.0546875,953.729248046875
0.0703125,953.7342529296875
0.0859375,953.7283935546875
0.1015625,953.7353515625
0.1171875,953.7286376953125
0.1328125,953.7445678710938
0.1484375,953.7286987304688
0.1640625,953.7171630859375
0.1796875,953.7184448242188
0.1953125,953.7054443359375
0.2109375,953.727294921875
0.2265625,953.7210693359375
0.2421875,953.7236328125
0.2578125,953.7269287109375
0.2734375,953.7333984375
0.2890625,953.733154296875
0.3046875,953.7275390625
0.3203125,953.7274780273438
0.3359375,953.7447509765625
0.3515625,953.7532348632812
0.3671875,953.7303466796875
0.3828125,953.7571411132812
0.3984375,953.7344360351562
0.4140625,953.7579345703125
0.4296875,953.7421875
0.4453125,953.7539672851562
0.4609375,953.7684936523438
0.4765625,953.7542114257812
0.4921875,953.7713012695312
0.5078125,953.78271484375
0.5234375,953.788818359375
0.5390625,953.8397216796875
0.5546875,953.8306884765625
0.5703125,953.8638305664062
0.5859375,953.8441772460938
0.6015625,953.9866333007812
0.6171875,953.8975830078125
0.6328125,953.8638305664062
0.6484375,953.9336547851562
0.6640625,953.8720703125
0.6796875,953.9078979492188
0.6953125,953.841064453125
0.7109375,953.8814086914062
0.7265625,953.8948364257812
0.7421875,953.8870239257812
0.7578125,953.882568359375
0.7734375,953.8851318359375
0.7890625,953.8502807617188
0.8046875,953.908935546875
0.8203125,953.8663940429688
0.8359375,953.864990234375
0.8515625,953.874267578125
0.8671875,953.8753051757812
0.8828125,953.8756713867188
0.8984375,953.8463134765625
0.9140625,953.8875732421875
0.9296875,953.9188842773438
0.9453125,953.9027709960938
0.9609375,953.8438720703125
0.9765625,953.9110717773438
0.9921875,953.8966064453125
1.0078125,953.8829345703125
1.0234375,953.9132080078125
1.0390625,953.9407348632812
1.0546875,953.9318237304688
1.0703125,953.9534301757812
1.0859375,953.9361572265625
1.1015625,953.9710693359375
1.1171875,953.9068603515625
1.1328125,953.91748046875
1.1484375,953.91748046875
1.1640625,953.8930053710938
1.1796875,953.8897705078125
1.1953125,953.8633422851562
1.2109375,953.9129638671875
1.2265625,953.912109375
1.2421875,953.9308471679688
1.2578125,953.8896484375
1.2734375,953.8727416992188
1.2890625,953.8896484375
1.3046875,953.8988037109375
1.3203125,953.9270629882812
1.3359375,953.9415893554688
1.3515625,953.9164428710938
1.3671875,953.913818359375
1.3828125,953.9224243164062
1.3984375,953.969970703125
1.4140625,953.896240234375
1.4296875,953.9470825195312
1.4453125,953.8907470703125
1.4609375,953.967529296875
1.4765625,953.9127807617188
1.4921875,953.8917846679688
1.5078125,954.0428466796875
1.5234375,953.9029541015625
1.5390625,953.9107055664062
1.5546875,954.01904296875
1.5703125,953.9797973632812
1.5859375,953.9797973632812
1.6015625,953.9166259765625
1.6171875,953.958740234375
1.6328125,953.9143676757812
1.6484375,954.1495971679688
1.6640625,954.1817626953125
1.6796875,954.0416870117188
1.6953125,953.9668579101562
1.7109375,953.9607543945312
1.7265625,954.1028442382812
1.7421875,954.0219116210938
1.7578125,954.0365600585938
1.7734375,954.1517944335938
1.7890625,954.0572509765625
1.8046875,953.9708251953125
1.8203125,953.9567260742188
1.8359375,954.0350341796875
1.8515625,953.9478149414062
1.8671875,953.9531860351562
1.8828125,954.0744018554688
1.8984375,954.0249633789062
1.9140625,954.0106201171875
1.9296875,953.9494018554688
1.9453125,953.9755249023438
1.9609375,954.0059814453125
1.9765625,953.9292602539062
1.9921875,953.9571533203125
2.0078125,953.9788818359375
2.0234375,953.9852294921875
2.0390625,953.9624633789062
2.0546875,954.0582885742188
2.0703125,953.9828491210938
2.0859375,954.0858154296875
2.1015625,953.92919921875
2.1171875,954.0980224609375
2.1328125,954.0478515625
2.1484375,953.9707641601562
2.1640625,953.9639892578125
2.1796875,953.9534301757812
2.1953125,953.953857421875
2.2109375,953.955078125
2.2265625,953.9359741210938
2.2421875,953.9490966796875
2.2578125,954.0056762695312
2.2734375,954.0492553710938
2.2890625,953.9808959960938
2.3046875,953.9482421875
2.3203125,953.9078979492188
2.3359375,953.9295654296875
2.3515625,953.9231567382812
2.3671875,953.9833984375
2.3828125,953.9287109375
2.3984375,953.9163818359375
2.4140625,953.9083862304688
2.4296875,953.9393310546875
2.4453125,953.890380859375
2.4609375,953.9076538085938
2.4765625,953.9371948242188
2.4921875,953.9569091796875
2.5078125,953.9044189453125
2.5234375,953.9931640625
2.5390625,953.96044921875
2.5546875,953.9939575195312
2.5703125,953.9661254882812
2.5859375,953.9354248046875
2.6015625,953.9445190429688
2.6171875,953.9283447265625
2.6328125,953.9114379882812
2.6484375,953.8988647460938
2.6640625,953.8731689453125
2.6796875,953.8815307617188
2.6953125,953.8826293945312
2.7109375,953.8751831054688
2.7265625,953.8745727539062
2.7421875,953.8742065429688
2.7578125,953.874267578125
2.7734375,953.8722534179688
2.7890625,953.8753662109375
2.8046875,953.859130859375
2.8203125,953.861328125
2.8359375,953.8858642578125
2.8515625,953.87109375
2.8671875,953.8671875
2.8828125,953.845458984375
2.8984375,953.8676147460938
2.9140625,953.8695678710938
2.9296875,953.8814697265625
2.9453125,953.8665161132812
2.9609375,953.8753051757812
2.9765625,953.8656616210938
2.9921875,953.863037109375
3.0078125,953.8865966796875
3.0234375,953.875
3.0390625,953.8706665039062
3.0546875,953.8812255859375
3.0703125,953.8550415039062
3.0859375,953.86669921875
3.1015625,953.8580932617188
3.1171875,953.8592529296875
3.1328125,953.8579711914062
3.1484375,953.8780517578125
3.1640625,953.8680419921875
3.1796875,953.8575439453125
3.1953125,953.8661499023438
3.2109375,953.8546142578125
3.2265625,953.8565673828125
3.2421875,953.8504638671875
3.2578125,953.8621826171875
3.2734375,953.8599853515625
3.2890625,953.8561401367188
3.3046875,953.847412109375
3.3203125,953.8533935546875
3.3359375,953.8734130859375
3.3515625,953.8533935546875
3.3671875,953.8511352539062
3.3828125,953.8497924804688
