Time (seconds),Left,Center,Up,Right,Down
0.0168014,0.0,0.0,0.0,0.0,0.0
0.0662642,0.0,0.0,0.0,0.0,0.0
0.1162767,0.0,0.0,0.0,0.0,0.0
0.1666663,0.0,0.0,0.0,0.0,0.0
0.2159228,0.0,0.0,0.0,0.0,0.0
0.2661827,0.0,0.0,0.0,0.0,0.0
0.3160746,0.0,0.0,0.0,0.0,0.0
0.365756,0.0,0.0,0.0,0.0,0.0
0.4153819,0.0,0.0,0.0,0.0,0.0
0.4647534,0.0,0.0,0.0,0.0,0.0
0.5147417,0.0,0.0,0.0,0.0,0.0
0.5651612,0.0,0.0,0.0,0.0,0.0
0.614749,0.0,0.0,0.0,0.0,0.0
0.6639824,0.0,0.0,0.0,0.0,0.0
0.7139235,0.0,0.0,0.0,0.0,0.0
0.7637773,0.0,0.0,0.0,0.0,0.0
0.8138502,0.0,0.0,0.0,0.0,0.0
0.8632975,0.0,0.0,0.0,0.0,0.0
0.9130266,0.0,0.0,0.0,0.0,0.0
0.9628506,0.0,0.0,0.0,0.0,0.0
1.0128448,0.0,0.0,0.0,0.0,0.0
1.0630183,0.0,0.0,0.0,0.0,0.0
1.1124873,0.0,0.0,0.0,0.0,0.0
1.1620631,0.0,0.0,0.0,0.0,0.0
1.2123711,0.0,0.0,0.0,0.0,0.0
1.2621472,0.0,0.0,0.0,0.0,0.0
1.3111279,0.0,0.0,0.0,0.0,0.0
1.3616698,0.0,0.0,0.0,0.0,0.0
1.4107161,0.0,0.0,0.0,0.0,0.0
1.4606652,0.0,0.0,0.0,0.0,0.0
1.510298,0.0,0.0,0.0,0.0,0.0
1.5604186,0.0,0.0,0.0,0.0,0.0
1.6104851,0.0,0.0,0.0,0.0,0.0
1.660414,0.0,0.0,0.0,0.0,0.0
1.7092168,0.0,0.0,0.0,0.0,0.0
1.7592118,0.0,0.0,0.0,0.0,0.0
1.8097491,0.0,0.0,0.0,0.0,0.0
1.8595796,0.0,0.0,0.0,0.0,0.0
1.9093428,0.0,0.0,0.0,0.0,0.0
1.9592004,0.0,0.0,0.0,0.0,0.0
2.0088387,0.0,0.0,0.0,0.0,0.0
2.0583074,0.0,0.0,0.0,0.0,0.0
2.1080329,0.0,0.0,0.0844444,0.0,0.0
2.157721,0.0,0.1866667,1.0222223,0.2133333,0.0
2.2079439,0.76,1.0733334,1.1777778,0.9711111,0.1244444
2.2580132,0.5288889,0.5088889,0.1644444,0.2377778,1.2444445
2.3072469,0.08,0.0755556,0.0,0.0,0.1733333
2.3571613,0.0,0.0,0.0,0.0,0.0
2.407558,0.0,0.0,0.0,0.0,0.0
2.4575155,0.0,0.0,0.0,0.0,0.0
2.506876,0.0,0.0,0.0,0.0,0.0
2.556879,0.0,0.0,0.0,0.0,0.0
2.6067779,0.0,0.0,0.0,0.0,0.0
2.6560028,0.0,0.0,0.0,0.0,0.0
2.7056386,0.0,0.0,0.0,0.0,0.0
2.7562404,0.0,0.0,0.0,0.0,0.0
2.8052585,0.0,0.0,0.0,0.0,0.0
2.855736,0.0,0.0,0.0,0.0,0.0
2.9051433,0.0,0.0,0.0,0.0,0.0
2.9546859,0.0,0.0,0.0,0.0,0.0
3.0046902,0.0,0.0,0.0,0.0,0.0
3.0541565,0.0,0.0,0.0,0.0,0.0
3.1042607,0.0,0.0,0.0,0.0,0.0
3.153918,0.0,0.0,0.0,0.0,0.0
3.2040176,0.0,0.0,0.0,0.0,0.0
3.2540083,0.0,0.0,0.0,0.0,0.0
3.3035321,0.0,0.0,0.0,0.0,0.0
3.3532751,0.0,0.0,0.5,0.0,0.0
3.4038568,0.0,0.4044445,1.1088889,0.3888889,0.0
3.4534593,0.3177778,1.1288888,1.0466666,1.1377778,0.28
3.5025458,0.4044445,1.22,0.1666667,1.2311112,1.2577778
3.5533085,0.1,0.2688889,0.0,0.3177778,1.3688889
3.6027508,0.0,0.0,0.0,0.0,0.22
3.6525879,0.0,0.0,0.0,0.0,0.0
3.7023346,0.0,0.0,0.0,0.0,0.0
3.7519743,0.0,0.0,0.0,0.0,0.0
3.8020868,0.0,0.0,0.0,0.0,0.0
3.8520885,0.0,0.0,0.0,0.0,0.0
3.9018774,0.0,0.0,0.0,0.0,0.0
3.9511549,0.0,0.0,0.0,0.0,0.0
4.001735,0.0,0.0,0.0,0.0,0.0
4.0513577,0.0,0.0,0.0,0.0,0.0
4.1005671,0.0,0.0,0.0,0.0,0.0
4.1504822,0.0,0.0,0.0,0.0,0.0
4.2006855,0.0,0.0,0.0,0.0,0.0
4.2506998,0.0,0.0,0.0,0.0,0.0
4.3000522,0.0,0.0,0.0,0.0,0.0
4.35021,0.0,0.0,0.0,0.0,0.0
4.3993714,0.0,0.0,0.0,0.0,0.0
4.4490473,0.0,0.0,0.0,0.0,0.0
4.4988251,0.0,0.0,0.42,0.0,0.0
4.5492303,0.32,0.5733333,1.0977777,0.1511111,0.0
4.5982826,1.0644444,1.1488889,0.4911111,0.8533334,0.9111111
4.6487863,0.4022222,0.3777778,0.0666667,0.1955556,1.2644445
4.6983099,0.0,0.0,0.0,0.0,0.1733333
