Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,6.526544877,9.595709191,-16.12225407,-88.515625,127.648853,-39.13322802
0.00025,5.342595138,10.62214986,-15.964745,-96.02506256,124.4156589,-28.39059629
0.0005,4.114220401,11.56904612,-15.68326652,-102.530571,120.587219,-18.05664799
0.00075,2.869467857,12.44401715,-15.313485,-108.6265869,116.0881623,-7.46157538
0.001,1.620512945,13.20855933,-14.82907227,-114.1533203,111.6085432,2.544777129
0.00125,0.372980141,13.89186627,-14.26484641,-119.2773972,106.5294628,12.74793439
0.0015,-0.858821823,14.45797344,-13.59915162,-123.912323,101.5337709,22.37855211
0.00175,-2.079848241,14.9475001,-12.86765186,-128.0314789,95.73354324,32.29793564
0.002,-3.341002443,15.37271586,-12.03171342,-130.1850433,88.43882475,41.74621858
0.00225,-4.589681522,15.7217724,-11.13209088,-131.4548492,80.19074494,51.2641043
0.0025,-5.829253847,16.00271117,-10.17345732,-131.6139069,70.75910591,60.85480095
0.00275,-7.019517204,16.1778765,-9.158359293,-131.247406,61.11445345,70.13295256
0.003,-8.130848655,16.21849226,-8.087643608,-130.745285,52.00926819,78.73601685
0.00325,-9.158876359,16.16221982,-7.003343458,-130.3375549,42.77396786,87.56358707
0.0035,-10.12868092,16.00017305,-5.871492137,-129.1421967,33.40699194,95.73520471
0.00375,-11.07073412,15.75900625,-4.688272133,-126.3953629,23.21147643,103.1838864
0.004,-11.92690702,15.42983526,-3.502928246,-123.4035873,12.82533298,110.5782544
0.00425,-12.73461914,14.9944646,-2.259845453,-118.9163513,2.377618825,116.5387325
0.0045,-13.4670486,14.47532107,-1.008272473,-113.6731491,-8.277228163,121.9503773
0.00475,-14.05084654,13.84363248,0.20721406,-109.282959,-17.96255231,127.2455113
0.005,-14.57679693,13.1201321,1.456664828,-103.4321594,-27.62716816,131.0593276
0.00525,-15.02284276,12.2984716,2.724371156,-96.56247711,-36.86616745,133.4286446
0.0055,-15.40625556,11.41842376,3.987831791,-88.4412384,-46.42297442,134.8642128
0.00575,-15.69528418,10.45333196,5.241952216,-79.64619446,-55.41881828,135.0650127
0.006,-15.90547333,9.451430845,6.454042485,-70.08712006,-64.72269599,134.809816
0.00625,-16.01780624,8.386911461,7.630894784,-60.04818344,-73.54842893,133.5966124
0.0065,-16.03013499,7.267812839,8.762322152,-49.6408844,-81.85644177,131.4973262
0.00675,-15.93941012,6.115288929,9.824121194,-39.11381149,-89.84225751,128.956069
0.007,-15.74393729,4.928492515,10.81544477,-28.53436852,-97.29250993,125.8268784
0.00725,-15.42764528,3.690502287,11.73714299,-18.24680901,-103.5746923,121.8215013
0.0075,-15.05399778,2.464781776,12.589216,-7.113688469,-110.1558883,117.2695767
0.00775,-14.57002695,1.220867286,13.34915967,3.633577585,-115.8783973,112.2448197
0.008,-13.98203199,-0.020085174,14.00211716,13.91081238,-120.9862249,107.0754125
0.00825,-13.34216966,-1.239882279,14.58205194,24.85171127,-126.0098261,101.1581148
0.0085,-12.57462723,-2.491411925,15.06603915,34.74528503,-129.1909048,94.44561977
0.00875,-11.72090264,-3.743365183,15.46426783,44.30984497,-131.215081,86.90523601
0.009,-10.82510934,-4.984317301,15.80942664,54.47984314,-132.421281,77.9414379
0.00925,-9.877818618,-6.188037185,16.0658558,64.67160034,-133.0396579,68.36805758
0.0095,-8.810334366,-7.37864031,16.18897468,73.09500885,-131.9198206,58.82481176
0.00975,-7.706538546,-8.50366376,16.21020231,81.38091278,-130.4864324,49.10551963
0.01,-6.530864449,-9.591030104,16.12189455,88.62456512,-127.7818502,39.15728512
0.01025,-5.304545469,-10.64201057,15.94655604,95.19961548,-123.7700694,28.57045393
0.0105,-4.076250011,-11.61175515,15.68800516,101.8616409,-119.5000495,17.63840855
0.01075,-2.842885868,-12.4655711,15.30845697,108.0871887,-115.470532,7.383343326
0.011,-1.613837186,-13.21572743,14.82956462,114.0215759,-111.4028253,-2.618750676
0.01125,-0.354420671,-13.90030481,14.25472548,118.8379517,-106.2095609,-12.62839076
0.0115,0.887955664,-14.47783514,13.58987948,123.2703857,-100.9167479,-22.35363782
0.01175,2.119152066,-14.9732855,12.85413344,127.1534195,-94.9235264,-32.22989309
0.012,3.351847627,-15.4023086,12.05046097,130.0696106,-87.75953799,-42.3100726
0.01225,4.566257564,-15.71667236,11.1504148,131.9811707,-80.41469162,-51.56647904
0.0125,5.777009745,-15.98280095,10.2057912,132.7971191,-71.48059736,-61.31652178
0.01275,6.984208918,-16.17150432,9.187295403,132.1008759,-61.46234283,-70.63853303
0.013,8.101436292,-16.22608293,8.124646639,131.5568237,-52.05117713,-79.5056466
0.01325,9.176927355,-16.19562174,7.018694389,130.0963898,-41.9728964,-88.12349337
0.0135,10.1624161,-16.04034431,5.877928216,128.5279236,-32.34970134,-96.17822224
0.01375,11.10533351,-15.79494591,4.689612398,125.7113113,-22.21436171,-103.4969496
0.014,11.95902757,-15.44504069,3.486013121,122.6156235,-12.22873974,-110.3868837
0.01425,12.72642712,-15.00417117,2.277744041,119.134964,-2.179674845,-116.9552891
0.0145,13.43555445,-14.47106566,1.035511214,114.4020309,8.039190535,-122.4412215
0.01475,14.01684167,-13.82879985,-0.188041827,110.0074387,17.50150766,-127.5089463
0.015,14.56694157,-13.11968452,-1.447257053,103.6347885,27.61010927,-131.2448978
0.01525,15.01930597,-12.31240929,-2.70689668,96.7047348,37.16672281,-133.8714576
0.0155,15.38917802,-11.41924456,-3.969933468,88.84140015,46.37779391,-135.2191941
0.01575,15.67184737,-10.45203872,-5.219808647,80.20090485,55.28519058,-135.4860954
0.016,15.85453421,-9.422635818,-6.431898395,71.16871643,63.86248354,-135.0312
0.01625,15.96434364,-8.351346767,-7.612996876,61.16128159,72.53031063,-133.6915922
0.0165,15.97873953,-7.247902492,-8.730837036,50.83106232,81.13840511,-131.9694674
0.01675,15.93124231,-6.117802419,-9.813439886,39.34542847,89.86273675,-129.2081652
0.017,15.71760023,-4.90604376,-10.81155647,29.06066132,96.70761691,-125.7682782
0.01725,15.43094272,-3.692169924,-11.73877279,18.17640305,103.6597801,-121.8361831
0.0175,15.05308643,-2.455448537,-12.5976379,7.069125175,110.0032496,-117.0723748
0.01775,14.5496388,-1.196725927,-13.35291288,-3.276217222,115.2990271,-112.0228098
0.018,13.94643918,0.067073344,-14.01351252,-13.31599903,119.8538998,-106.5379007
0.01825,13.30486661,1.283486033,-14.58835264,-24.17550087,124.9141072,-100.7386063
0.0185,12.55974419,2.510899288,-15.07064348,-34.46952438,128.7048885,-94.23536412
0.01875,11.73271066,3.747197472,-15.47990813,-44.61717224,131.2183636,-86.60119138
0.019,10.81444692,4.997034263,-15.81148119,-54.26492691,132.091,-77.82607314
0.01925,9.814178018,6.226985629,-16.04116365,-63.25029755,131.8187947,-68.56849718
0.0195,8.806437003,7.383318574,-16.18975558,-72.97317505,131.7796498,-58.8064747
