Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,6.713080572,12.07000505,-18.78308562,-108.2276993,143.0104799,-34.78278062
0.00025,5.318487003,13.20094963,-18.51943664,-116.6444016,139.0850757,-22.44067412
0.0005,3.85855572,14.2197745,-18.07833022,-123.253006,134.6373299,-11.38432395
0.00075,2.405529985,15.14763372,-17.55316371,-129.8708954,129.6522803,0.218615131
0.001,0.973662327,15.93206076,-16.90572309,-136.2639465,125.0888622,11.17508432
0.00125,-0.482700341,16.62932898,-16.14662864,-141.4217682,119.4316681,21.99010011
0.0015,-1.924989767,17.22209399,-15.29710422,-145.9912567,113.1777812,32.81347547
0.00175,-3.359065061,17.73362087,-14.37455581,-149.7592163,105.7467616,44.01245469
0.002,-4.815092212,18.1575692,-13.34247699,-151.6503296,96.94827048,54.70205911
0.00225,-6.290928948,18.49943238,-12.20850343,-151.5180817,86.62520687,64.89287479
0.0025,-7.730590672,18.74356054,-11.01296987,-150.4819336,75.4348374,75.0470962
0.00275,-9.046730724,18.85695026,-9.810219532,-150.3832855,64.61805316,85.76523236
0.003,-10.32337758,18.84975819,-8.52638061,-148.9010162,53.36138847,95.53962777
0.00325,-11.48997979,18.74398438,-7.254004591,-147.8518677,41.78081609,106.0710516
0.0035,-12.59204816,18.51423937,-5.922191213,-145.67659,30.04583586,115.6307541
0.00375,-13.62447875,18.16518333,-4.540704584,-142.364563,18.15643179,124.2081312
0.004,-14.57910473,17.72431396,-3.145209224,-138.166626,5.718905108,132.4477209
0.00425,-15.43065902,17.13197361,-1.701314588,-133.1560669,-5.871283002,139.0273499
0.0045,-16.13150785,16.41270292,-0.281195073,-128.6388855,-16.61267023,145.2515557
0.00475,-16.77195933,15.60246711,1.169492225,-122.4005814,-27.72938243,150.1299638
0.005,-17.3159292,14.69957069,2.616358509,-115.2627487,-38.79380703,154.0565557
0.00525,-17.75756371,13.6786304,4.078933311,-107.1041946,-49.13389564,156.2380903
0.0055,-18.14430045,12.5722246,5.572075851,-96.84577942,-59.54505741,156.3908368
0.00575,-18.42345057,11.39304491,7.030405657,-85.90148163,-69.70208316,155.6035648
0.006,-18.62340389,10.15674609,8.466657794,-73.60677338,-79.92366553,153.5304389
0.00625,-18.69323381,8.858676116,9.834557694,-61.24578857,-89.55001032,150.7957989
0.0065,-18.63164137,7.5056024,11.12603897,-48.91524887,-98.49048353,147.4057324
0.00675,-18.45207284,6.138142809,12.31393003,-36.5915184,-107.3976477,143.9891661
0.007,-18.15929674,4.727526899,13.43176984,-23.98122215,-115.5480817,139.5293038
0.00725,-17.7578567,3.311411655,14.44644504,-11.3034296,-123.458988,134.7624176
0.0075,-17.20371188,1.855524085,15.34818779,0.456260413,-129.9304461,129.4741857
0.00775,-16.56708456,0.435177479,16.13190708,12.48209476,-136.6679142,124.1858195
0.008,-15.79377168,-0.990669107,16.78444079,23.54496956,-142.2734586,118.728489
0.00825,-14.93135647,-2.432170645,17.36352712,34.83428955,-146.6688462,111.8345567
0.0085,-13.9993861,-3.894827467,17.89421357,46.76557159,-149.6517766,102.886205
0.00875,-12.92689324,-5.357908009,18.28480125,57.16515732,-150.8477349,93.68257757
0.009,-11.85672735,-6.757099159,18.61382651,69.13214874,-152.2949178,83.16276901
0.00925,-10.70544882,-8.149097866,18.85454668,80.73000336,-152.09067,71.36066662
