t,i
0.00145000,-4.315
0.00145500,-4.339
0.00146000,-4.313
0.00146500,-4.333
0.00147000,-4.329
0.00147500,-4.341
0.00148000,-4.337
0.00148500,-4.339
0.00149000,-4.347
0.00149500,-4.356
0.00150000,-4.354
0.00150500,-4.358
0.00151000,-4.365
0.00151500,-4.378
0.00152000,-4.381
0.00152500,-4.388
0.00153000,-4.389
0.00153500,-4.410
0.00154000,-4.418
0.00154500,-4.384
0.00155000,-4.385
0.00155500,-4.389
0.00156000,-4.389
0.00156500,-4.404
0.00157000,-4.387
0.00157500,-4.401
0.00158000,-4.417
0.00158500,-4.422
0.00159000,-4.394
0.00159500,-4.397
0.00160000,-4.423
0.00160500,-4.425
0.00161000,-4.402
0.00161500,-4.391
0.00162000,-4.404
0.00162500,-4.390
0.00163000,-4.443
0.00163500,-4.421
0.00164000,-4.422
0.00164500,-4.431
0.00165000,-4.426
0.00165500,-4.410
0.00166000,-4.411
0.00166500,-4.421
0.00167000,-4.414
0.00167500,-4.468
0.00168000,-4.450
0.00168500,-4.436
0.00169000,-4.459
0.00169500,-4.458
0.00170000,-4.447
0.00170500,-4.467
0.00171000,-4.466
0.00171500,-4.435
0.00172000,-4.440
0.00172500,-4.464
0.00173000,-4.458
0.00173500,-4.447
0.00174000,-4.445
0.00174500,-4.456
0.00175000,-4.461
0.00175500,-4.462
0.00176000,-4.451
0.00176500,-4.454
0.00177000,-4.435
0.00177500,-4.455
0.00178000,-4.459
0.00178500,-4.469
0.00179000,-4.468
0.00179500,-4.472
0.00180000,-4.446
0.00180500,-4.452
0.00181000,-4.456
0.00181500,-4.449
0.00182000,-4.473
0.00182500,-4.472
0.00183000,-4.473
0.00183500,-4.448
0.00184000,-4.457
0.00184500,-4.458
0.00185000,-4.479
0.00185500,-4.460
0.00186000,-4.454
0.00186500,-4.473
0.00187000,-4.477
0.00187500,-4.467
0.00188000,-4.480
0.00188500,-4.460
0.00189000,-4.486
0.00189500,-4.465
0.00190000,-4.473
0.00190500,-4.463
0.00191000,-4.487
0.00191500,-4.476
0.00192000,-4.485
0.00192500,-4.493
0.00193000,-4.478
0.00193500,-4.481
0.00194000,-4.486
0.00194500,-4.488
0.00195000,-4.502
0.00195500,-4.504
0.00196000,-4.492
0.00196500,-4.489
0.00197000,-4.489
0.00197500,-4.484
0.00198000,-4.501
0.00198500,-4.511
0.00199000,-4.505
0.00199500,-4.495
0.00200000,-4.513
0.00200500,-4.521
0.00201000,-4.507
0.00201500,-4.487
0.00202000,-4.493
0.00202500,-4.526
0.00203000,-4.500
0.00203500,-4.515
0.00204000,-4.544
0.00204500,-4.522
0.00205000,-4.515
0.00205500,-4.524
0.00206000,-4.514
0.00206500,-4.533
0.00207000,-4.531
0.00207500,-4.525
0.00208000,-4.551
0.00208500,-4.510
0.00209000,-4.543
0.00209500,-4.547
0.00210000,-4.538
0.00210500,-4.550
0.00211000,-4.556
0.00211500,-4.517
0.00212000,-4.522
0.00212500,-4.524
0.00213000,-4.503
0.00213500,-4.501
0.00214000,-4.506
0.00214500,-4.524
0.00215000,-4.503
0.00215500,-4.529
0.00216000,-4.516
0.00216500,-4.516
0.00217000,-4.505
0.00217500,-4.494
0.00218000,-4.497
0.00218500,-4.517
0.00219000,-4.528
0.00219500,-4.523
0.00220000,-4.492
0.00220500,-4.507
0.00221000,-4.482
0.00221500,-4.507
0.00222000,-4.508
0.00222500,-4.512
0.00223000,-4.518
0.00223500,-4.496
0.00224000,-4.501
0.00224500,-4.503
0.00225000,-4.507
0.00225500,-4.493
0.00226000,-4.489
0.00226500,-4.503
0.00227000,-4.525
0.00227500,-4.513
0.00228000,-4.506
0.00228500,-4.497
0.00229000,-4.512
0.00229500,-4.532
0.00230000,-4.535
0.00230500,-4.518
0.00231000,-4.517
0.00231500,-4.510
0.00232000,-4.509
0.00232500,-4.513
0.00233000,-4.511
0.00233500,-4.537
0.00234000,-4.550
0.00234500,-4.521
0.00235000,-4.530
0.00235500,-4.521
0.00236000,-4.531
0.00236500,-4.520
0.00237000,-4.528
0.00237500,-4.519
0.00238000,-4.506
0.00238500,-4.510
0.00239000,-4.510
0.00239500,-4.525
0.00240000,-4.540
0.00240500,-4.518
0.00241000,-4.535
0.00241500,-4.519
0.00242000,-4.535
0.00242500,-4.525
0.00243000,-4.504
0.00243500,-4.489
0.00244000,-4.492
0.00244500,-4.501
0.00245000,-4.509
0.00245500,-4.527
0.00246000,-4.517
0.00246500,-4.550
0.00247000,-4.558
0.00247500,-4.545
0.00248000,-4.528
0.00248500,-4.557
0.00249000,-4.558
0.00249500,-4.541
0.00250000,-4.550
0.00250500,-4.534
0.00251000,-4.542
0.00251500,-4.562
0.00252000,-4.570
0.00252500,-4.531
0.00253000,-4.548
0.00253500,-4.568
0.00254000,-4.541
0.00254500,-4.530
0.00255000,-4.539
0.00255500,-4.561
0.00256000,-4.564
0.00256500,-4.578
0.00257000,-4.581
0.00257500,-4.557
0.00258000,-4.545
0.00258500,-4.563
0.00259000,-4.561
0.00259500,-4.564
0.00260000,-4.566
0.00260500,-4.569
0.00261000,-4.578
0.00261500,-4.570
0.00262000,-4.549
0.00262500,-4.550
0.00263000,-4.562
0.00263500,-4.584
0.00264000,-4.582
0.00264500,-4.580
0.00265000,-4.581
0.00265500,-4.570
0.00266000,-4.568
0.00266500,-4.570
0.00267000,-4.562
0.00267500,-4.578
0.00268000,-4.561
0.00268500,-4.580
0.00269000,-4.575
0.00269500,-4.593
0.00270000,-4.587
0.00270500,-4.574
0.00271000,-4.584
0.00271500,-4.584
0.00272000,-4.566
0.00272500,-4.603
0.00273000,-4.589
0.00273500,-4.594
0.00274000,-4.580
0.00274500,-4.604
0.00275000,-4.596
0.00275500,-4.590
0.00276000,-4.612
0.00276500,-4.612
0.00277000,-4.576
0.00277500,-4.567
0.00278000,-4.567
0.00278500,-4.598
0.00279000,-4.596
0.00279500,-4.600
0.00280000,-4.614
0.00280500,-4.581
0.00281000,-4.605
0.00281500,-4.574
0.00282000,-4.595
0.00282500,-4.591
0.00283000,-4.606
0.00283500,-4.589
0.00284000,-4.574
0.00284500,-4.571
0.00285000,-4.580
0.00285500,-4.548
0.00286000,-4.567
0.00286500,-4.589
0.00287000,-4.586
0.00287500,-4.549
0.00288000,-4.541
0.00288500,-4.566
0.00289000,-4.540
0.00289500,-4.579
0.00290000,-4.588
0.00290500,-4.582
0.00291000,-4.579
0.00291500,-4.569
0.00292000,-4.566
0.00292500,-4.541
0.00293000,-4.550
0.00293500,-4.531
0.00294000,-4.510
0.00294500,-4.513
0.00295000,-4.520
0.00295500,-4.534
0.00296000,-4.523
