Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.01575,-10.21270557,8.485134148,1.727571426,-51.26930618,-31.42872489,82.69803108
0.016,-10.47119505,7.883485544,2.587709509,-46.13240814,-36.65199979,82.78440793
0.01625,-10.68223603,7.252643871,3.429592163,-40.40289307,-42.1378532,82.54074626
0.0165,-10.84245935,6.584145812,4.25831354,-34.07373047,-47.60905833,81.68278879
0.01675,-10.90017084,5.848797811,5.051373029,-28.26964378,-52.0274456,80.29708939
0.017,-10.88794684,5.080025325,5.807921518,-22.38472176,-56.14737133,78.53209309
0.01725,-10.83286066,4.305751929,6.527108733,-15.916049,-60.58340781,76.49945682
0.0175,-10.65822106,3.482399818,7.175821243,-10.56856346,-63.83155182,74.40011528
0.01775,-10.47766032,2.652277577,7.825382745,-3.702132463,-67.40087666,71.10300912
0.018,-10.19779589,1.810308408,8.387487486,2.246787548,-70.38413091,68.13734336
0.01825,-9.895418977,0.971301216,8.924117761,9.136790276,-73.5006793,64.36388902
0.0185,-9.511062212,0.144563561,9.366498652,15.29321861,-76.36234747,61.06912886
0.01875,-9.071528534,-0.685981809,9.757510343,21.47156143,-78.73633037,57.26476894
0.019,-8.557481798,-1.577453469,10.13493527,27.51341248,-79.26304565,51.74963317
0.01925,-7.986452243,-2.441846425,10.42829867,33.14450836,-79.5878984,46.44339004
0.0195,-7.361867231,-3.288046519,10.64991375,38.43060303,-79.44460916,41.01400613
0.01975,-6.708785724,-4.119014679,10.8278004,43.95656967,-78.83646808,34.87989841
0.02,-5.979242533,-4.937713981,10.91695651,48.38331604,-77.22858478,28.84526874
0.02025,-5.265224062,-5.702678615,10.96790268,53.70788193,-75.96284469,22.25496277
0.0205,-4.489032137,-6.412639753,10.90167189,57.7775383,-74.38439609,16.60685779
0.02075,-3.674529417,-7.092984345,10.76751376,61.27933121,-72.08618836,10.80685716
0.021,-2.888789785,-7.74202042,10.6308102,65.84211731,-69.48940287,3.647285563
0.02125,-2.061631293,-8.322090795,10.38372209,69.23029327,-66.69072969,-2.539563581
0.0215,-1.184282351,-8.874658488,10.05894084,71.38129425,-62.75782606,-8.623468194
0.02175,-0.346602423,-9.357838326,9.704440749,74.21070099,-59.06004956,-15.15065143
0.022,0.489171973,-9.777554219,9.288382246,76.65206909,-55.13971868,-21.51235041
0.02225,1.321732513,-10.14395901,8.822226497,78.6844101,-50.75242523,-27.93198487
0.0225,2.18039984,-10.44943712,8.269037283,79.34766388,-45.77000365,-33.57766023
0.02275,3.003203488,-10.68975879,7.686555303,80.10210419,-40.68521647,-39.41688772
0.023,3.826220986,-10.86746063,7.041239645,79.89620209,-35.14997594,-44.74622615
0.02325,4.620582738,-10.98296651,6.362383767,79.36296082,-29.34404051,-50.01892031
0.0235,5.3811807,-11.0400847,5.658903999,78.54626465,-23.21733934,-55.3289253
0.02375,6.131460637,-11.01089079,4.879430156,76.50801849,-17.12025763,-59.38776087
