spi_time,water_temp_filtered,coil_temp_filtered,die_temp_filtered,temp_sensor_filtered_value,coil_temp_estimate,referenceSpeed_rpm,outputSpeed_rpm,dqCommand_imag,dqCommand_real,measurement_running,water_temp_estimate,T_mot_ode_16bit
0.0,0.19685039370078738,0.26315789473684204,0.28421052631578947,0.5058043117744611,0.37630662020905925,0.0,0.00044682752457551384,0.12974133524179532,0.6361123906034086,0.0,0.00023507287259050304,
10.0,0.1889763779527559,0.2583732057416268,0.28421052631578947,0.5058043117744611,0.37630662020905925,0.0,0.00044682752457551384,0.12974133524179532,0.6361123906034086,0.0,0.0002938410907381288,
20.0,0.3779527559055119,0.24880382775119614,0.5078947368421052,0.0,0.0,0.5955056179775281,0.5924932975871313,0.4627338717922503,0.4758175955780747,1.0,0.0,
30.0,0.4330708661417323,0.24880382775119614,0.5447368421052632,0.4195688225538972,0.37456445993031356,0.5955056179775281,0.5922698838248436,0.46140476433902466,0.47673883003224327,1.0,0.0008815232722143864,
40.0,0.4330708661417323,0.2727272727272727,0.5447368421052632,0.4676616915422886,0.37456445993031356,0.5955056179775281,0.5922698838248436,0.4635517840711584,0.4748963611239061,1.0,0.0017042783262811471,
50.0,0.4251968503937008,0.28229665071770327,0.5552631578947369,0.5124378109452736,0.37630662020905925,0.5955056179775281,0.5911528150134048,0.4627338717922503,0.4758175955780747,1.0,0.0025858015984955335,
60.0,0.4330708661417323,0.2727272727272727,0.5552631578947369,0.5058043117744611,0.37630662020905925,0.5955056179775281,0.5931635388739945,0.46028013495552605,0.47719944725932756,1.0,0.0034085566525622942,
70.0,0.4251968503937008,0.26315789473684204,0.5552631578947369,0.5107794361525705,0.3780487804878049,0.5955056179775281,0.5922698838248436,0.4617114814436152,0.476278212805159,1.0,0.00429007992477668,
80.0,0.4330708661417323,0.28229665071770327,0.55,0.5223880597014926,0.3780487804878049,0.6179775280898877,0.6143878462913315,0.49422349453021164,0.45370796867802865,1.0,0.005171603196991067,
90.0,0.4251968503937008,0.29186602870813394,0.55,0.527363184079602,0.38153310104529614,0.6179775280898877,0.6150580875781948,0.4899294550659442,0.45693228926761864,1.0,0.0061118946873530795,
100.0,0.4251968503937008,0.30622009569377984,0.5552631578947369,0.5290215588723052,0.3832752613240418,0.6179775280898877,0.6146112600536192,0.49095184541457926,0.45601105481345006,1.0,0.007052186177715091,
110.0,0.4251968503937008,0.32535885167464107,0.5552631578947369,0.5339966832504146,0.38501742160278746,0.6179775280898877,0.6152815013404825,0.4913608015540334,0.4555504375863658,1.0,0.00805124588622473,
