Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,14.82491095,2.407968691,-17.23287964,-34.77700424,145.849329,-111.0723248
0.00025,13.88779507,3.855816626,-17.74361169,-46.27818298,148.7884148,-102.5102318
0.0005,12.86276125,5.292664681,-18.15542593,-57.52842331,150.5514127,-93.02298936
0.00075,11.74133279,6.722741796,-18.46407459,-68.16371155,150.7653001,-82.6015886
0.001,10.57555815,8.096971911,-18.67253006,-79.00428009,150.516419,-71.51213891
0.00125,9.329459239,9.447083451,-18.77654269,-89.15107727,148.7296228,-59.57854551
0.0015,8.008502317,10.75657763,-18.76507995,-98.4161377,145.5452351,-47.12909737
0.00175,6.628701417,11.99118295,-18.61988437,-106.748848,141.5319211,-34.7830731
0.002,5.278151318,13.0899734,-18.36812472,-115.7977676,138.3165101,-22.51874247
0.00225,3.834775021,14.10837737,-17.94315239,-122.5537186,133.798578,-11.24485941
0.0025,2.427909731,15.0028081,-17.43071783,-129.8531647,129.602701,0.250463646
0.00275,0.967251827,15.80966212,-16.77691395,-135.3740387,124.2429738,11.13106491
0.003,-0.464937207,16.50016091,-16.0352237,-140.8249512,118.7432898,22.08166138
0.00325,-1.914439247,17.09334557,-15.17890633,-144.9184875,112.2996796,32.61880792
0.0035,-3.338338028,17.60149127,-14.26315324,-148.6366577,104.8987508,43.73790689
0.00375,-4.802018195,18.02205176,-13.22003357,-150.0121002,96.02102321,53.99107701
0.004,-6.237942602,18.36560724,-12.12766464,-150.6548309,85.89605293,64.758778
0.00425,-7.63181501,18.5915427,-10.95972769,-150.4200134,75.34582221,75.07419122
0.0045,-8.965823033,18.69435665,-9.728533615,-149.5231628,64.58357363,84.93958921
0.00475,-10.20887417,18.70366519,-8.494791015,-148.8000183,53.27333555,95.52668276
0.005,-11.36446708,18.58900529,-7.224538202,-147.7485352,41.97109409,105.7774411
0.00525,-12.48474501,18.37364759,-5.888902573,-144.9870605,29.88295221,115.1041083
0.0055,-13.51757207,18.03178324,-4.514211169,-141.5110321,17.9262188,123.5848133
0.00575,-14.46886053,17.57356486,-3.104704324,-137.080368,5.935378577,131.1449895
0.006,-15.30721821,16.99137856,-1.684160357,-132.3167419,-5.62810621,137.9448482
0.00625,-16.04234286,16.30553395,-0.263191086,-126.9886932,-17.11539205,144.1040853
0.0065,-16.65854286,15.51052993,1.148012925,-121.3536911,-28.19040887,149.5441
0.00675,-17.19787947,14.59663236,2.601247106,-114.1361771,-38.84365671,152.9798338
0.007,-17.62173546,13.56130894,4.060426518,-106.241333,-48.58674655,154.8280796
0.00725,-18.01180243,12.47351785,5.538284584,-95.96147156,-59.1579685,155.1194401
0.0075,-18.29346619,11.30364569,6.989820496,-84.96965027,-69.28028844,154.2499387
0.00775,-18.45054763,10.06565542,8.384892202,-73.76430511,-78.90969635,152.6740015
0.008,-18.55419126,8.810739809,9.743451449,-60.84049225,-89.3445419,150.1850341
0.00825,-18.49555879,7.461474686,11.0340841,-48.48101807,-98.12038624,146.6014043
0.0085,-18.30535193,6.101632013,12.20371992,-36.53684616,-106.8234995,143.3603456
0.00875,-18.04004991,4.726132646,13.31391726,-23.53125191,-115.5645024,139.0957543
