t,i
0.00000000,-15.005
0.00000500,-15.005
0.00001000,-14.990
0.00001500,-14.952
0.00002000,-14.921
0.00002500,-14.973
0.00003000,-15.037
0.00003500,-15.105
0.00004000,-15.164
0.00004500,-15.201
0.00005000,-15.193
0.00005500,-15.195
0.00006000,-15.200
0.00006500,-15.129
0.00007000,-15.060
0.00007500,-15.076
0.00008000,-15.151
0.00008500,-15.196
0.00009000,-15.243
0.00009500,-15.262
0.00010000,-15.275
0.00010500,-15.274
0.00011000,-15.258
0.00011500,-15.196
0.00012000,-15.137
0.00012500,-15.163
0.00013000,-15.222
0.00013500,-15.266
0.00014000,-15.303
0.00014500,-15.328
0.00015000,-15.316
0.00015500,-15.314
0.00016000,-15.304
0.00016500,-15.224
0.00017000,-15.134
0.00017500,-15.135
0.00018000,-15.187
0.00018500,-15.240
0.00019000,-15.279
0.00019500,-15.312
0.00020000,-15.324
0.00020500,-15.336
0.00021000,-15.341
0.00021500,-15.287
0.00022000,-15.225
0.00022500,-15.229
0.00023000,-15.240
0.00023500,-15.272
0.00024000,-15.290
0.00024500,-15.298
0.00025000,-15.290
0.00025500,-15.309
0.00026000,-15.322
0.00026500,-15.275
0.00027000,-15.201
0.00027500,-15.196
0.00028000,-15.248
0.00028500,-15.283
0.00029000,-15.301
0.00029500,-15.340
0.00030000,-15.357
0.00030500,-15.359
0.00031000,-15.361
0.00031500,-15.327
0.00032000,-15.261
0.00032500,-15.269
0.00033000,-15.317
0.00033500,-15.369
0.00034000,-15.394
0.00034500,-15.412
0.00035000,-15.399
0.00035500,-15.391
0.00036000,-15.380
0.00036500,-15.333
0.00037000,-15.269
0.00037500,-15.272
0.00038000,-15.343
0.00038500,-15.383
0.00039000,-15.409
0.00039500,-15.440
0.00040000,-15.430
0.00040500,-15.412
0.00041000,-15.411
0.00041500,-15.377
0.00042000,-15.311
0.00042500,-15.296
0.00043000,-15.332
0.00043500,-15.382
0.00044000,-15.417
0.00044500,-15.433
0.00045000,-15.428
0.00045500,-15.435
0.00046000,-15.449
0.00046500,-15.391
0.00047000,-15.306
0.00047500,-15.291
0.00048000,-15.330
0.00048500,-15.378
0.00049000,-15.406
0.00049500,-15.457
0.00050000,-15.477
0.00050500,-15.480
0.00051000,-15.468
0.00051500,-15.436
0.00052000,-15.364
0.00052500,-15.311
0.00053000,-15.340
0.00053500,-15.407
0.00054000,-15.459
0.00054500,-15.477
0.00055000,-15.475
0.00055500,-15.477
0.00056000,-15.477
0.00056500,-15.431
0.00057000,-15.349
0.00057500,-15.333
0.00058000,-15.383
0.00058500,-15.438
0.00059000,-15.481
0.00059500,-15.506
0.00060000,-15.506
0.00060500,-15.486
0.00061000,-15.489
0.00061500,-15.459
0.00062000,-15.386
0.00062500,-15.346
0.00063000,-15.394
0.00063500,-15.451
0.00064000,-15.480
0.00064500,-15.496
0.00065000,-15.488
0.00065500,-15.491
0.00066000,-15.515
0.00066500,-15.481
0.00067000,-15.396
0.00067500,-15.353
0.00068000,-15.406
0.00068500,-15.449
0.00069000,-15.481
0.00069500,-15.507
0.00070000,-15.526
0.00070500,-15.520
0.00071000,-15.528
0.00071500,-15.489
0.00072000,-15.398
0.00072500,-15.338
0.00073000,-15.367
0.00073500,-15.446
0.00074000,-15.483
0.00074500,-15.515
0.00075000,-15.546
0.00075500,-15.539
0.00076000,-15.543
0.00076500,-15.507
0.00077000,-15.415
0.00077500,-15.369
0.00078000,-15.411
0.00078500,-15.475
0.00079000,-15.523
0.00079500,-15.551
0.00080000,-15.562
0.00080500,-15.547
0.00081000,-15.533
0.00081500,-15.512
0.00082000,-15.419
0.00082500,-15.367
0.00083000,-15.419
0.00083500,-15.496
0.00084000,-15.538
0.00084500,-15.549
0.00085000,-15.572
0.00085500,-15.560
0.00086000,-15.554
0.00086500,-15.531
0.00087000,-15.462
0.00087500,-15.404
0.00088000,-15.433
0.00088500,-15.504
0.00089000,-15.533
0.00089500,-15.567
0.00090000,-15.573
0.00090500,-15.578
0.00091000,-15.597
0.00091500,-15.572
0.00092000,-15.467
0.00092500,-15.407
0.00093000,-15.443
0.00093500,-15.488
0.00094000,-15.533
0.00094500,-15.576
0.00095000,-15.596
0.00095500,-15.604
0.00096000,-15.605
0.00096500,-15.563
0.00097000,-15.468
0.00097500,-15.414
0.00098000,-15.427
0.00098500,-15.494
0.00099000,-15.567
0.00099500,-15.602
0.00100000,-15.615
0.00100500,-15.617
0.00101000,-15.613
0.00101500,-15.581
0.00102000,-15.489
0.00102500,-15.401
0.00103000,-15.449
0.00103500,-15.541
0.00104000,-15.576
0.00104500,-15.597
0.00105000,-15.625
0.00105500,-15.617
0.00106000,-15.596
0.00106500,-15.572
0.00107000,-15.499
0.00107500,-15.430
0.00108000,-15.457
0.00108500,-15.531
0.00109000,-15.584
0.00109500,-15.617
0.00110000,-15.626
0.00110500,-15.623
0.00111000,-15.641
0.00111500,-15.620
0.00112000,-15.525
0.00112500,-15.448
0.00113000,-15.467
0.00113500,-15.526
0.00114000,-15.572
0.00114500,-15.609
0.00115000,-15.620
0.00115500,-15.639
0.00116000,-15.633
0.00116500,-15.604
0.00117000,-15.533
0.00117500,-15.441
0.00118000,-15.440
0.00118500,-15.512
0.00119000,-15.594
0.00119500,-15.628
0.00120000,-15.641
0.00120500,-15.657
0.00121000,-15.658
0.00121500,-15.625
0.00122000,-15.531
0.00122500,-15.451
0.00123000,-15.459
0.00123500,-15.547
0.00124000,-15.599
0.00124500,-15.629
0.00125000,-15.657
0.00125500,-15.644
0.00126000,-15.631
0.00126500,-15.597
0.00127000,-15.523
0.00127500,-15.435
0.00128000,-15.451
0.00128500,-15.539
0.00129000,-15.604
0.00129500,-15.625
0.00130000,-15.644
0.00130500,-15.649
0.00131000,-15.639
0.00131500,-15.620
0.00132000,-15.547
0.00132500,-15.462
0.00133000,-15.459
0.00133500,-15.531
0.00134000,-15.576
0.00134500,-15.612
0.00135000,-15.638
0.00135500,-15.642
0.00136000,-15.646
0.00136500,-15.629
0.00137000,-15.555
0.00137500,-15.449
0.00138000,-15.435
0.00138500,-15.497
0.00139000,-15.563
0.00139500,-15.597
0.00140000,-15.634
0.00140500,-15.650
0.00141000,-15.662
0.00141500,-15.636
0.00142000,-15.552
0.00142500,-15.451
0.00143000,-15.433
0.00143500,-15.488
0.00144000,-15.551
0.00144500,-15.594
0.00145000,-15.631
0.00145500,-15.644
0.00146000,-15.644
0.00146500,-15.625
0.00147000,-15.551
0.00147500,-15.446
0.00148000,-15.423
0.00148500,-15.496
0.00149000,-15.570
0.00149500,-15.589
0.00150000,-15.618
0.00150500,-15.649
0.00151000,-15.634
0.00151500,-15.621
0.00152000,-15.557
0.00152500,-15.457
0.00153000,-15.440
0.00153500,-15.493
0.00154000,-15.539
0.00154500,-15.581
0.00155000,-15.609
0.00155500,-15.594
0.00156000,-15.615
0.00156500,-15.629
0.00157000,-15.567
0.00157500,-15.467
