# Time (seconds),f0
0.0078125,953.7745971679688
0.0234375,953.696044921875
0.0390625,953.6985473632812
0.0546875,953.6885986328125
0.0703125,953.6842041015625
0.0859375,953.6840209960938
0.1015625,953.6951293945312
0.1171875,953.7064819335938
0.1328125,953.6950073242188
0.1484375,953.6943359375
0.1640625,953.6845092773438
0.1796875,953.6859741210938
0.1953125,953.6936645507812
0.2109375,953.6931762695312
0.2265625,953.696044921875
0.2421875,953.7020874023438
0.2578125,953.6876831054688
0.2734375,953.6870727539062
0.2890625,953.7062377929688
0.3046875,953.690185546875
0.3203125,953.69873046875
0.3359375,953.687255859375
0.3515625,953.7015991210938
0.3671875,953.7081909179688
0.3828125,953.6993408203125
0.3984375,953.7015380859375
0.4140625,953.7012329101562
0.4296875,953.6918334960938
0.4453125,953.7063598632812
0.4609375,953.697998046875
0.4765625,953.7229614257812
0.4921875,953.7228393554688
0.5078125,953.6942138671875
0.5234375,953.7169799804688
0.5390625,953.7172241210938
0.5546875,953.723876953125
0.5703125,953.7023315429688
0.5859375,953.7072143554688
0.6015625,953.714111328125
0.6171875,953.6961669921875
0.6328125,953.6869506835938
0.6484375,953.7033081054688
0.6640625,953.7379760742188
0.6796875,953.7321166992188
0.6953125,953.7329711914062
0.7109375,953.7452392578125
0.7265625,953.7476196289062
0.7421875,953.7473754882812
0.7578125,953.7463989257812
0.7734375,953.7556762695312
0.7890625,953.7406616210938
0.8046875,953.75732421875
0.8203125,953.771240234375
0.8359375,953.7484130859375
0.8515625,953.7506713867188
0.8671875,953.7564086914062
0.8828125,953.7896118164062
0.8984375,953.7423095703125
0.9140625,953.7637939453125
0.9296875,953.7583618164062
0.9453125,953.7647705078125
0.9609375,953.7830200195312
0.9765625,953.8084716796875
0.9921875,953.7637939453125
1.0078125,953.7592163085938
1.0234375,953.7752685546875
1.0390625,953.7559814453125
1.0546875,953.774169921875
1.0703125,953.7952880859375
1.0859375,953.7752685546875
1.1015625,953.7781982421875
1.1171875,953.7836303710938
1.1328125,953.780517578125
1.1484375,953.7836303710938
1.1640625,953.77734375
1.1796875,953.7838134765625
1.1953125,953.7872314453125
1.2109375,953.78857421875
1.2265625,953.7916870117188
1.2421875,953.7908935546875
1.2578125,953.8094482421875
1.2734375,953.79638671875
1.2890625,953.7958984375
1.3046875,953.7783203125
1.3203125,953.7922973632812
1.3359375,953.7955932617188
1.3515625,953.7681884765625
1.3671875,953.7759399414062
1.3828125,953.791015625
1.3984375,953.8130493164062
1.4140625,953.7850341796875
1.4296875,953.7911987304688
1.4453125,953.7777709960938
1.4609375,953.7709350585938
1.4765625,953.7985229492188
1.4921875,953.7769165039062
1.5078125,953.7720336914062
1.5234375,953.7990112304688
1.5390625,953.7889404296875
1.5546875,953.796142578125
1.5703125,953.7938232421875
1.5859375,953.7999877929688
1.6015625,953.7770385742188
1.6171875,953.7799682617188
1.6328125,953.7991943359375
1.6484375,953.7943725585938
1.6640625,953.7852783203125
1.6796875,953.7815551757812
1.6953125,953.7667846679688
1.7109375,953.7711791992188
1.7265625,953.7823486328125
1.7421875,953.7833251953125
1.7578125,953.7681884765625
1.7734375,953.7662353515625
1.7890625,953.7609252929688
1.8046875,953.7611694335938
1.8203125,953.760498046875
1.8359375,953.7598876953125
1.8515625,953.7703857421875
1.8671875,953.7599487304688
1.8828125,953.7604370117188
1.8984375,953.7363891601562
1.9140625,953.7525024414062
1.9296875,953.7530517578125
1.9453125,953.7520751953125
1.9609375,953.7369995117188
1.9765625,953.750732421875
1.9921875,953.7508544921875
2.0078125,953.7522583007812
2.0234375,953.7357788085938
2.0390625,953.734130859375
2.0546875,953.7418823242188
2.0703125,953.7338256835938
2.0859375,953.7353515625
2.1015625,953.728515625
2.1171875,953.7427368164062
2.1328125,953.7363891601562
2.1484375,953.7406616210938
2.1640625,953.719970703125
2.1796875,953.7427368164062
2.1953125,953.7400512695312
2.2109375,953.7431640625
2.2265625,953.7484130859375
2.2421875,953.739501953125
2.2578125,953.7379760742188
2.2734375,953.74169921875
2.2890625,953.7431030273438
2.3046875,953.7272338867188
2.3203125,953.7424926757812
2.3359375,953.7388916015625
2.3515625,953.7398071289062
2.3671875,953.712646484375
2.3828125,953.7387084960938
2.3984375,953.7332763671875
2.4140625,953.7362060546875
2.4296875,953.7265625
2.4453125,953.7266845703125
2.4609375,953.7313232421875
2.4765625,953.7329711914062
2.4921875,953.74169921875
2.5078125,953.7342529296875
2.5234375,953.7335205078125
2.5390625,953.7193603515625
2.5546875,953.7310791015625
2.5703125,953.7338256835938
2.5859375,953.7184448242188
2.6015625,953.7329711914062
2.6171875,953.734130859375
2.6328125,953.7274169921875
2.6484375,953.7280883789062
2.6640625,953.7403564453125
2.6796875,953.7349243164062
2.6953125,953.7387084960938
2.7109375,953.7353515625
2.7265625,953.7387084960938
2.7421875,953.708740234375
2.7578125,953.741943359375
2.7734375,953.7406616210938
2.7890625,953.7569580078125
2.8046875,953.7654418945312
2.8203125,953.7456665039062
2.8359375,953.7798461914062
2.8515625,953.756591796875
2.8671875,953.7681274414062
2.8828125,953.7763671875
2.8984375,953.7678833007812
2.9140625,953.784912109375
2.9296875,953.7615356445312
2.9453125,953.7640991210938
2.9609375,953.7813110351562
2.9765625,953.76513671875
2.9921875,953.7801513671875
3.0078125,953.7609252929688
3.0234375,953.763427734375
3.0390625,953.7788696289062
3.0546875,953.7875366210938
3.0703125,953.7799072265625
3.0859375,953.7902221679688
3.1015625,953.8055419921875
3.1171875,953.7877807617188
3.1328125,953.782470703125
3.1484375,953.8035888671875
3.1640625,953.7781982421875
3.1796875,953.7947387695312
3.1953125,953.7938232421875
3.2109375,953.7647705078125
3.2265625,953.7949829101562
3.2421875,953.8065185546875
3.2578125,953.7774047851562
3.2734375,953.7940673828125
3.2890625,953.8115234375
3.3046875,953.7843627929688
3.3203125,953.7770385742188
3.3359375,953.7742919921875
3.3515625,953.7780151367188
3.3671875,953.7711791992188
3.3828125,953.7908325195312
3.3984375,953.7776489257812
3.4140625,953.79443359375
3.4296875,953.7918701171875
3.4453125,953.783935546875
3.4609375,953.8071899414062
3.4765625,953.8056030273438
3.4921875,953.8008422851562
3.5078125,953.77734375
3.5234375,953.797607421875
3.5390625,953.7715454101562
3.5546875,953.8055419921875
3.5703125,953.7654418945312
3.5859375,953.7868041992188
3.6015625,953.8030395507812
3.6171875,953.7966918945312
3.6328125,953.77734375
3.6484375,953.767333984375
3.6640625,953.8029174804688
3.6796875,953.7877197265625
3.6953125,953.7755737304688
3.7109375,953.77734375
3.7265625,953.79638671875
3.7421875,953.7916870117188
3.7578125,953.7799072265625
3.7734375,953.7816772460938
3.7890625,953.783203125
3.8046875,953.7880859375
3.8203125,953.7730102539062
3.8359375,953.786376953125
3.8515625,953.7771606445312
3.8671875,953.7858276367188
3.8828125,953.7708129882812
3.8984375,953.7565307617188
3.9140625,953.7822265625
3.9296875,953.775390625
3.9453125,953.778564453125
3.9609375,953.7633666992188
3.9765625,953.7564697265625
3.9921875,953.7561645507812
4.0078125,953.7728881835938
4.0234375,953.7553100585938
4.0390625,953.7648315429688
4.0546875,953.7543334960938
4.0703125,953.7435913085938
4.0859375,953.7520141601562
4.1015625,953.7433471679688
4.1171875,953.74560546875
4.1328125,953.7533569335938
