t,i
0.00148000,7.515
0.00148500,7.513
0.00149000,7.505
0.00149500,7.505
0.00150000,7.493
0.00150500,7.499
0.00151000,7.473
0.00151500,7.469
0.00152000,7.461
0.00152500,7.457
0.00153000,7.440
0.00153500,7.459
0.00154000,7.441
0.00154500,7.400
0.00155000,7.369
0.00155500,7.401
0.00156000,7.387
0.00156500,7.369
0.00157000,7.356
0.00157500,7.312
0.00158000,7.313
0.00158500,7.307
0.00159000,7.282
0.00159500,7.248
0.00160000,7.244
0.00160500,7.243
0.00161000,7.261
0.00161500,7.238
0.00162000,7.233
0.00162500,7.228
0.00163000,7.208
0.00163500,7.191
0.00164000,7.171
0.00164500,7.179
0.00165000,7.134
0.00165500,7.105
0.00166000,7.116
0.00166500,7.116
0.00167000,7.104
0.00167500,7.093
0.00168000,7.085
0.00168500,7.057
0.00169000,7.041
0.00169500,7.020
0.00170000,6.983
0.00170500,6.981
0.00171000,6.986
0.00171500,6.984
0.00172000,6.977
0.00172500,6.986
0.00173000,6.975
0.00173500,6.953
0.00174000,6.935
0.00174500,6.950
0.00175000,6.925
0.00175500,6.921
0.00176000,6.885
0.00176500,6.880
0.00177000,6.861
0.00177500,6.860
0.00178000,6.843
0.00178500,6.822
0.00179000,6.842
0.00179500,6.812
0.00180000,6.791
0.00180500,6.758
0.00181000,6.761
0.00181500,6.747
0.00182000,6.742
0.00182500,6.725
0.00183000,6.720
0.00183500,6.729
0.00184000,6.699
0.00184500,6.689
0.00185000,6.664
0.00185500,6.639
0.00186000,6.654
0.00186500,6.642
0.00187000,6.625
0.00187500,6.604
0.00188000,6.605
0.00188500,6.594
0.00189000,6.570
0.00189500,6.556
0.00190000,6.562
0.00190500,6.540
0.00191000,6.536
0.00191500,6.523
0.00192000,6.528
0.00192500,6.514
0.00193000,6.467
0.00193500,6.485
0.00194000,6.469
0.00194500,6.463
0.00195000,6.449
0.00195500,6.452
0.00196000,6.440
0.00196500,6.412
0.00197000,6.412
0.00197500,6.410
0.00198000,6.382
0.00198500,6.369
0.00199000,6.354
0.00199500,6.330
0.00200000,6.364
0.00200500,6.335
0.00201000,6.344
0.00201500,6.313
0.00202000,6.302
0.00202500,6.297
0.00203000,6.275
0.00203500,6.273
0.00204000,6.283
0.00204500,6.260
0.00205000,6.261
0.00205500,6.259
0.00206000,6.246
0.00206500,6.219
0.00207000,6.233
0.00207500,6.225
0.00208000,6.206
0.00208500,6.200
0.00209000,6.190
0.00209500,6.184
0.00210000,6.183
0.00210500,6.165
0.00211000,6.160
0.00211500,6.149
0.00212000,6.126
0.00212500,6.126
0.00213000,6.097
0.00213500,6.124
0.00214000,6.088
0.00214500,6.072
0.00215000,6.078
0.00215500,6.052
0.00216000,6.045
0.00216500,6.045
0.00217000,6.028
0.00217500,6.038
0.00218000,6.021
0.00218500,6.011
0.00219000,6.011
0.00219500,5.986
0.00220000,5.965
0.00220500,5.966
0.00221000,5.975
0.00221500,5.948
0.00222000,5.945
0.00222500,5.923
0.00223000,5.921
0.00223500,5.916
0.00224000,5.907
0.00224500,5.926
0.00225000,5.897
0.00225500,5.891
0.00226000,5.887
0.00226500,5.875
0.00227000,5.859
0.00227500,5.869
0.00228000,5.826
0.00228500,5.840
0.00229000,5.830
0.00229500,5.830
0.00230000,5.823
0.00230500,5.804
0.00231000,5.820
0.00231500,5.798
0.00232000,5.793
0.00232500,5.773
0.00233000,5.772
0.00233500,5.748
0.00234000,5.747
0.00234500,5.756
0.00235000,5.750
0.00235500,5.728
0.00236000,5.729
0.00236500,5.733
0.00237000,5.718
0.00237500,5.707
0.00238000,5.698
0.00238500,5.677
0.00239000,5.672
0.00239500,5.671
0.00240000,5.648
0.00240500,5.657
0.00241000,5.662
0.00241500,5.652
0.00242000,5.664
0.00242500,5.639
0.00243000,5.629
0.00243500,5.622
0.00244000,5.617
0.00244500,5.622
0.00245000,5.612
0.00245500,5.591
0.00246000,5.586
0.00246500,5.558
0.00247000,5.578
0.00247500,5.569
0.00248000,5.521
0.00248500,5.539
0.00249000,5.549
0.00249500,5.534
0.00250000,5.523
0.00250500,5.532
0.00251000,5.506
0.00251500,5.487
0.00252000,5.483
0.00252500,5.480
0.00253000,5.443
0.00253500,5.447
0.00254000,5.454
0.00254500,5.434
0.00255000,5.416
0.00255500,5.429
0.00256000,5.418
0.00256500,5.423
0.00257000,5.388
0.00257500,5.371
0.00258000,5.386
0.00258500,5.370
0.00259000,5.383
0.00259500,5.368
0.00260000,5.362
0.00260500,5.323
0.00261000,5.332
0.00261500,5.307
0.00262000,5.300
0.00262500,5.297
0.00263000,5.305
0.00263500,5.301
0.00264000,5.297
0.00264500,5.293
0.00265000,5.266
0.00265500,5.257
0.00266000,5.242
0.00266500,5.243
0.00267000,5.229
0.00267500,5.228
0.00268000,5.207
0.00268500,5.229
0.00269000,5.225
0.00269500,5.205
0.00270000,5.188
0.00270500,5.202
0.00271000,5.196
0.00271500,5.188
0.00272000,5.192
0.00272500,5.185
0.00273000,5.162
0.00273500,5.160
0.00274000,5.172
0.00274500,5.130
0.00275000,5.105
0.00275500,5.117
0.00276000,5.131
0.00276500,5.100
0.00277000,5.096
0.00277500,5.088
0.00278000,5.072
0.00278500,5.093
0.00279000,5.071
0.00279500,5.064
0.00280000,5.068
0.00280500,5.075
0.00281000,5.041
0.00281500,5.034
0.00282000,5.040
0.00282500,5.017
0.00283000,5.024
0.00283500,5.028
0.00284000,5.011
0.00284500,4.993
0.00285000,4.987
0.00285500,4.962
0.00286000,4.950
0.00286500,4.956
0.00287000,4.935
0.00287500,4.937
0.00288000,4.958
0.00288500,4.956
0.00289000,4.964
0.00289500,4.932
0.00290000,4.940
0.00290500,4.912
0.00291000,4.893
0.00291500,4.893
0.00292000,4.882
0.00292500,4.855
0.00293000,4.857
0.00293500,4.854
0.00294000,4.849
0.00294500,4.865
0.00295000,4.836
0.00295500,4.818
0.00296000,4.815
0.00296500,4.808
0.00297000,4.822
0.00297500,4.794
0.00298000,4.784
0.00298500,4.776
0.00299000,4.800
0.00299500,4.775
0.00300000,4.761
0.00300500,4.782
0.00301000,4.756
0.00301500,4.737
0.00302000,4.734
0.00302500,4.743
0.00303000,4.724
0.00303500,4.721
0.00304000,4.745
0.00304500,4.733
0.00305000,4.697
0.00305500,4.691
0.00306000,4.692
0.00306500,4.703
0.00307000,4.675
0.00307500,4.685
0.00308000,4.672
0.00308500,4.669
0.00309000,4.659
0.00309500,4.643
0.00310000,4.641
0.00310500,4.619
0.00311000,4.621
0.00311500,4.599
0.00312000,4.595
0.00312500,4.586
0.00313000,4.563
0.00313500,4.557
0.00314000,4.554
0.00314500,4.527
0.00315000,4.560
0.00315500,4.532
0.00316000,4.505
0.00316500,4.528
0.00317000,4.492
0.00317500,4.455
0.00318000,4.456
0.00318500,4.434
0.00319000,4.432
0.00319500,4.441
0.00320000,4.408
0.00320500,4.420
0.00321000,4.411
0.00321500,4.409
0.00322000,4.420
0.00322500,4.365
0.00323000,4.361
0.00323500,4.358
0.00324000,4.348
0.00324500,4.352
0.00325000,4.347
0.00325500,4.361
0.00326000,4.326
0.00326500,4.307
0.00327000,4.309
0.00327500,4.298
0.00328000,4.273
0.00328500,4.276
0.00329000,4.240
0.00329500,4.240
0.00330000,4.250
0.00330500,4.245
0.00331000,4.230
0.00331500,4.211
0.00332000,4.187
0.00332500,4.197
0.00333000,4.165
0.00333500,4.198
0.00334000,4.157
0.00334500,4.157
0.00335000,4.150
0.00335500,4.133
0.00336000,4.134
0.00336500,4.121
0.00337000,4.129
0.00337500,4.117
0.00338000,4.106
0.00338500,4.083
0.00339000,4.069
0.00339500,4.061
0.00340000,4.063
0.00340500,4.050
0.00341000,4.009
0.00341500,4.003
0.00342000,3.985
0.00342500,3.953
0.00343000,3.955
0.00343500,3.926
0.00344000,3.935
0.00344500,3.915
0.00345000,3.918
0.00345500,3.868
0.00346000,3.878
0.00346500,3.877
0.00347000,3.884
0.00347500,3.840
0.00348000,3.866
0.00348500,3.818
0.00349000,3.825
0.00349500,3.820
0.00350000,3.787
0.00350500,3.769
0.00351000,3.712
0.00351500,3.745
0.00352000,3.733
0.00352500,3.738
0.00353000,3.709
0.00353500,3.690
0.00354000,3.674
0.00354500,3.675
0.00355000,3.635
0.00355500,3.628
0.00356000,3.617
0.00356500,3.605
0.00357000,3.596
0.00357500,3.579
0.00358000,3.551
0.00358500,3.529
0.00359000,3.513
0.00359500,3.505
0.00360000,3.504
0.00360500,3.476
0.00361000,3.463
0.00361500,3.459
0.00362000,3.438
0.00362500,3.404
0.00363000,3.402
0.00363500,3.378
0.00364000,3.347
0.00364500,3.345
0.00365000,3.338
0.00365500,3.324
0.00366000,3.292
0.00366500,3.291
0.00367000,3.276
0.00367500,3.265
0.00368000,3.255
0.00368500,3.217
0.00369000,3.212
0.00369500,3.193
0.00370000,3.189
0.00370500,3.192
0.00371000,3.165
0.00371500,3.141
0.00372000,3.134
0.00372500,3.107
0.00373000,3.086
0.00373500,3.107
0.00374000,3.054
0.00374500,3.037
0.00375000,3.030
0.00375500,3.000
0.00376000,2.994
0.00376500,2.976
0.00377000,2.981
0.00377500,2.947
0.00378000,2.955
0.00378500,2.933
0.00379000,2.905
0.00379500,2.893
0.00380000,2.880
0.00380500,2.875
0.00381000,2.842
0.00381500,2.830
0.00382000,2.807
0.00382500,2.806
0.00383000,2.800
0.00383500,2.782
0.00384000,2.766
0.00384500,2.741
0.00385000,2.732
0.00385500,2.708
0.00386000,2.693
0.00386500,2.667
0.00387000,2.670
0.00387500,2.652
0.00388000,2.627
0.00388500,2.604
0.00389000,2.612
0.00389500,2.590
0.00390000,2.557
0.00390500,2.562
0.00391000,2.543
0.00391500,2.537
0.00392000,2.529
0.00392500,2.487
0.00393000,2.493
0.00393500,2.450
0.00394000,2.450
0.00394500,2.431
0.00395000,2.440
0.00395500,2.388
0.00396000,2.374
0.00396500,2.345
0.00397000,2.320
0.00397500,2.296
0.00398000,2.303
0.00398500,2.285
0.00399000,2.271
0.00399500,2.246
0.00400000,2.216
0.00400500,2.192
0.00401000,2.189
0.00401500,2.186
0.00402000,2.178
0.00402500,2.146
0.00403000,2.126
0.00403500,2.119
0.00404000,2.078
0.00404500,2.052
0.00405000,2.047
0.00405500,2.048
0.00406000,2.019
0.00406500,1.993
0.00407000,1.996
0.00407500,1.986
0.00408000,1.966
0.00408500,1.929
0.00409000,1.962
0.00409500,1.910
0.00410000,1.876
0.00410500,1.878
0.00411000,1.861
