# Time (seconds),Pressure (normalized),Temp (normalized),Temperature (slope)
0.0078125,0.6697533017113095,0.3883883666992187,0.0
0.0234375,0.6697216942196801,0.388134765625,0.0
0.0390625,0.6698088873000372,0.3883135986328125,0.0
0.0546875,0.6698339553106406,0.3877474975585937,0.0
0.0703125,0.669565109979538,0.38806030273437486,0.0
0.0859375,0.6696984427315849,0.38798614501953127,0.0
0.1015625,0.6698655628022694,0.38758361816406234,0.0
0.1171875,0.6696355910528273,0.38803070068359374,0.0
0.1328125,0.6696759178524926,0.38890991210937487,0.10430908203122158
0.1484375,0.6697409493582596,0.38810516357421876,-0.00592041015625
0.1640625,0.6697572980608258,0.3883438110351561,0.006042480468721578
0.1796875,0.669662838890439,0.38846282958984374,0.14306640625
0.1953125,0.6697413126627604,0.38846282958984374,0.08050537109377842
0.2109375,0.6698325020926332,0.388134765625,0.02972412109375
0.2265625,0.6698859078543526,0.38856719970703124,0.19671630859377842
0.2421875,0.6697100684756324,0.38826904296875,0.04766845703125
0.2578125,0.6697307768322166,0.38855224609375,-0.07153320312497158
0.2734375,0.6697351364862358,0.38806030273437486,-0.008972167968778422
0.2890625,0.6696948096865699,0.38810516357421876,-0.04772949218747158
0.3046875,0.6696588425409227,0.38749420166015613,-0.19372558593752842
0.3203125,0.6696966262090773,0.3875982666015625,-0.17291259765625
0.3359375,0.6696835472470238,0.38798614501953127,-0.02972412109375
0.3515625,0.6697264171782,0.388134765625,-0.08648681640625
0.3671875,0.6697358630952381,0.388134765625,-0.02685546875
0.3828125,0.6698455810546882,0.387896728515625,-0.131103515625
0.3984375,0.6696555728004092,0.38810516357421876,0.008972167968778422
0.4140625,0.6697939918154762,0.38820953369140637,0.02087402343752842
0.4296875,0.6697547549293155,0.3882839965820313,0.15795898437502842
0.4453125,0.6696831839425224,0.387911376953125,0.0626220703125
0.4609375,0.6697431291852679,0.3879559326171875,-0.00604248046875
0.4765625,0.6696711948939739,0.38798614501953127,-0.02972412109375
0.4921875,0.6696533929734003,0.3878814697265625,-0.0506591796875
0.5078125,0.6698928106398809,0.3877178955078125,-0.0357666015625
0.5234375,0.6697184244791666,0.38749420166015613,-0.12219238281252842
0.5390625,0.6697075253441214,0.3879559326171875,-0.05072021484377842
0.5546875,0.6697333199637276,0.38810516357421876,-0.0357666015625
0.5703125,0.6696802775065104,0.38806030273437486,0.02978515624997158
0.5859375,0.6696762811569941,0.38806030273437486,0.02087402343747158
0.6015625,0.6696835472470238,0.38806030273437486,0.014831542968721578
0.6171875,0.6696762811569941,0.38801574707031233,0.02685546874997158
0.6328125,0.6698797316778273,0.38777709960937484,0.011840820312471578
0.6484375,0.6697264171782,0.38798614501953127,0.09838867187502842
0.6640625,0.6697009858630952,0.387762451171875,-0.0386962890625
0.6796875,0.6696860903785342,0.38782196044921874,-0.056640625
0.6953125,0.6696726481119785,0.388134765625,0.014892578125028422
0.7109375,0.6697576613653273,0.3881649780273439,0.020935058593806843
0.7265625,0.6698753720238095,0.38798614501953127,-0.014831542968721578
0.7421875,0.6696497599283854,0.38820953369140637,0.03875732421880684
0.7578125,0.6699236915225074,0.387896728515625,0.02392578125002842
0.7734375,0.6696882702055431,0.387613525390625,-0.07452392578125
0.7890625,0.6696432204473586,0.3878814697265625,0.0238037109375
0.8046875,0.6696479434058786,0.38773254394531237,-0.01788330078127842
0.8203125,0.6697147914341525,0.38773254394531237,-0.08044433593752842
0.8359375,0.6696671985444569,0.38756866455078126,-0.11926269531252842
0.8515625,0.669723147437686,0.387479248046875,-0.10137939453125
0.8671875,0.6699407668340773,0.3880755615234375,-0.02679443359377842
0.8828125,0.6697424025762642,0.3875982666015625,-0.0596923828125
0.8984375,0.6696068899972099,0.3883135986328125,0.1400146484375
0.9140625,0.6695999872116809,0.3878369140625,-0.0089111328125
0.9296875,0.6697347731817336,0.38767303466796876,-0.011901855468721578
0.9453125,0.6696334112258191,0.38797119140625,0.04772949218752842
0.9609375,0.6697002592540929,0.3879559326171875,0.07745361328125
0.9765625,0.6697442190987724,0.3877923583984375,0.0626220703125
0.9921875,0.6697344098772321,0.3877923583984375,-0.056640625
1.0078125,0.66969008672805,0.38798614501953127,0.07757568359375
1.0234375,0.6697191510881689,0.38782196044921874,-0.09832763671875
1.0390625,0.6696911766415551,0.3878369140625,0.0
1.0546875,0.6697711036318824,0.38806030273437486,0.07745361328122158
1.0703125,0.6696762811569941,0.38782196044921874,-0.02984619140625
1.0859375,0.6696911766415551,0.3876580810546875,-0.0595703125
1.1015625,0.6697209676106771,0.387911376953125,0.0238037109375
