# Time (seconds),Pressure (normalized),Temp (normalized)
0.0078125,0.6414853050595238,0.4744631958007812
0.0234375,0.6414954775855655,0.47460968017578126
0.0390625,0.6416324433826265,0.47509490966796875
0.0546875,0.6415510631742931,0.47521270751953126
0.0703125,0.6414606003534227,0.4744631958007812
0.0859375,0.6415452503022694,0.47468353271484376
0.1015625,0.6414453415643594,0.4742718505859376
0.1171875,0.6415176391601562,0.474801025390625
0.1328125,0.6415964762369785,0.4753741455078125
0.1484375,0.6414980207170758,0.47459533691406236
0.1640625,0.6415368942987358,0.47521270751953126
0.1796875,0.6416059221540179,0.4749334716796875
0.1953125,0.6416019258045015,0.4745806884765625
0.2109375,0.6415968395414806,0.4744631958007812
0.2265625,0.641531081426712,0.47508056640625
0.2421875,0.6415583292643229,0.47460968017578126
0.2578125,0.6416081019810261,0.4744631958007812
0.2734375,0.6415884835379464,0.47474212646484376
0.2890625,0.6416633242652523,0.474727783203125
0.3046875,0.6416273571196056,0.4745806884765625
0.3203125,0.641632080078125,0.4744631958007812
0.3359375,0.6415703183128714,0.47509490966796875
0.3515625,0.6415975661504836,0.47460968017578126
0.3671875,0.6415972028459821,0.4755947875976563
0.3828125,0.641615731375558,0.4753741455078125
0.3984375,0.6416015625,0.47508056640625
0.4140625,0.6416041056315104,0.47499237060546873
0.4296875,0.6416317167736235,0.47474212646484376
0.4453125,0.6415924798874628,0.4744631958007812
0.4609375,0.6416237240745908,0.4749774169921875
0.4765625,0.6416204543340773,0.4750506591796875
0.4921875,0.6416073753720238,0.4744631958007812
0.5078125,0.6415594191778273,0.47496246337890624
0.5234375,0.6415706816173735,0.47474212646484376
0.5390625,0.6415387108212426,0.4744631958007812
0.5546875,0.6416346232096354,0.4749481201171875
0.5703125,0.6415884835379464,0.47436004638671875
0.5859375,0.6416150047665551,0.4750506591796875
0.6015625,0.6416037423270096,0.47474212646484376
0.6171875,0.6415176391601562,0.4748599243164064
0.6328125,0.6416008358909977,0.47462463378906233
0.6484375,0.6416008358909977,0.474757080078125
0.6640625,0.6415637788318452,0.47471282958984373
0.6796875,0.6415594191778273,0.47460968017578126
0.6953125,0.6415368942987358,0.4753741455078125
0.7109375,0.6415056501116071,0.47430114746093766
0.7265625,0.6415285382952008,0.47474212646484376
0.7421875,0.6416204543340773,0.4744631958007812
0.7578125,0.6415383475167404,0.4753741455078125
0.7734375,0.6416266305106026,0.47519775390625
0.7890625,0.6416596912202381,0.47510986328125
0.8046875,0.6417254493350074,0.47496246337890624
0.8203125,0.6417232695079985,0.47460968017578126
0.8359375,0.6417432512555811,0.4749481201171875
0.8515625,0.6417694091796882,0.47503631591796874
0.8671875,0.6416389828636533,0.47521270751953126
0.8828125,0.6418373471214658,0.4744631958007812
0.8984375,0.641876220703125,0.47533020019531236
0.9140625,0.6418068295433408,0.474801025390625
0.9296875,0.6418493361700142,0.4748892211914064
