Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,17.97869684,-13.62939179,-4.349305053,104.201088,51.37008628,-155.5711742
0.00025,18.34562273,-12.4810985,-5.86452423,93.858078,61.19360365,-155.0516817
0.0005,18.57907352,-11.25749369,-7.32157983,83.47809601,70.50452293,-153.9826189
0.00075,18.76293246,-10.00977123,-8.753161226,71.20700073,80.7026172,-151.9096179
0.001,18.84295947,-8.709585232,-10.13337424,58.23239899,90.66370592,-148.8961049
0.00125,18.79109907,-7.365819475,-11.42527959,45.36388397,100.1408793,-145.5047633
0.0015,18.6068936,-5.988628539,-12.61826506,32.72129059,109.1075073,-141.8287979
0.00175,18.28320631,-4.554742935,-13.72846337,20.37248993,116.8478918,-137.2203817
0.002,17.83260364,-3.113664542,-14.7189391,8.423820496,124.1567191,-132.5805396
0.00225,17.26151129,-1.648045734,-15.61346555,-3.335939407,130.5256677,-127.1897283
0.0025,16.59946045,-0.212890535,-16.38656991,-15.17782497,136.9785337,-121.8007087
0.00275,15.82782876,1.207455671,-17.03528443,-26.61818886,142.8582807,-116.2400918
0.003,14.95698533,2.667573934,-17.62455926,-38.20070648,146.97443,-108.7737235
0.00325,13.96015214,4.157308851,-18.11746099,-48.99853897,149.0702236,-100.0716847
0.0035,12.90932254,5.624196676,-18.53351922,-60.3492775,150.4237382,-90.07446066
0.00375,11.79847731,7.04538983,-18.84386714,-71.76257324,151.1952596,-79.43268636
0.004,10.56913556,8.453890056,-19.02302562,-81.76045227,150.1089554,-68.34850312
0.00425,9.291274685,9.826425501,-19.11770019,-91.80091095,147.8975237,-56.09661279
0.0045,7.962208709,11.12322645,-19.08543516,-101.3171921,145.0849127,-43.76772059
0.00475,6.566671486,12.35021793,-18.91688942,-109.7359009,141.2564886,-31.52058774
0.005,5.153721877,13.45112399,-18.60484587,-117.7051926,137.6594346,-19.95424204
0.00525,3.714516825,14.44794748,-18.1624643,-124.9340897,133.6583079,-8.724218282
0.0055,2.269008561,15.34026542,-17.60927398,-131.7151184,129.258895,2.456223406
0.00575,0.827796973,16.12300211,-16.95079909,-138.0611725,124.4983994,13.56277311
0.006,-0.620058093,16.82534705,-16.20528895,-143.6691742,118.6194932,25.04968096
0.00625,-2.068324955,17.40795513,-15.33963017,-148.175705,112.295974,35.879731
0.0065,-3.547903173,17.89705971,-14.34915654,-150.7228851,104.7125825,46.01030267
0.00675,-5.022186098,18.32100492,-13.29881883,-152.2360992,95.51915083,56.71694842
0.007,-6.515451498,18.65652373,-12.14107223,-151.6689453,84.90312904,66.76581627
0.00725,-7.961083113,18.89303534,-10.93195223,-150.4577026,73.50765756,76.95004507
0.0075,-9.281124734,18.98315615,-9.702031417,-150.093399,62.7792135,87.31418554
0.00775,-10.57299505,18.9937344,-8.420739358,-148.3200989,50.7366827,97.58341618
0.008,-11.76933721,18.88118896,-7.111851751,-146.3817749,38.70450076,107.6772741
0.00825,-12.85921725,18.61590522,-5.756687969,-144.1702576,27.35958668,116.8106709
0.0085,-13.8938281,18.24950102,-4.355672918,-140.5525513,15.40780941,125.1447419
0.00875,-14.85749101,17.7730903,-2.915599295,-135.7044678,3.197225358,132.5072424
0.009,-15.66624611,17.15747982,-1.491233706,-131.4690704,-8.013370045,139.4824405
0.00925,-16.37135564,16.43397921,-0.062623573,-126.6144714,-19.08301133,145.6974828
0.0095,-16.99994275,15.61654894,1.383393817,-120.4127045,-30.35702278,150.7697272
0.00975,-17.56264246,14.69926757,2.863374894,-112.4291611,-41.66876795,154.097929
0.01,-18.03914146,13.66394368,4.375197784,-102.967041,-52.37051523,155.3375562
0.01025,-18.40050605,12.52749604,5.87301,-92.84041595,-62.39396923,155.2343852
0.0105,-18.66916259,11.31319915,7.355963442,-81.58474731,-72.1606573,153.7454046
0.01075,-18.81748132,10.03035986,8.787121468,-69.96175385,-81.45157126,151.4133251
0.011,-18.86272423,8.721712553,10.14101168,-57.82435226,-91.0034554,148.8278077
0.01125,-18.80793084,7.366946399,11.44098444,-44.94714355,-100.2546469,145.2017905
0.0115,-18.6220173,5.992293708,12.6297236,-32.36450577,-109.2571185,141.6216243
0.01175,-18.30120378,4.586331507,13.71487228,-20.14261246,-117.54966,137.6922725
0.012,-17.86166576,3.138061512,14.72360425,-7.84447813,-124.8143877,132.6588658
0.01225,-17.28884717,1.68090535,15.60794182,3.816601038,-131.3391642,127.5225631
0.0125,-16.61617439,0.248288575,16.36788581,15.3690052,-137.7725497,122.4035445
0.01275,-15.83185797,-1.18771378,17.01957175,26.5965786,-143.2731014,116.6765228
0.013,-14.95592337,-2.64910046,17.60502383,38.05636597,-147.3336735,109.2773075
0.01325,-13.97984526,-4.124450688,18.10429595,49.2959137,-149.8612282,100.5653145
0.0135,-12.9591293,-5.5824524,18.5415817,61.38345337,-151.6159152,90.23246183
0.01375,-11.82629404,-7.029454639,18.85574868,72.42715454,-151.7480474,79.32089285
0.014,-10.57664352,-8.457840539,19.03448406,82.04802704,-150.1370895,68.08906244
0.01425,-9.297892667,-9.818107233,19.1159999,91.97845459,-148.1468385,56.16838392
0.0145,-7.959111975,-11.13013961,19.08925159,101.3542175,-144.9723376,43.61812004
0.01475,-6.547451025,-12.35966931,18.90712033,109.3659515,-140.9700927,31.60414113
0.015,-5.104032465,-13.48934473,18.59337719,116.7374268,-136.5949397,19.8575129
0.01525,-3.688563443,-14.47474613,18.16330957,124.489212,-132.9687036,8.47949152
0.0155,-2.232915784,-15.38102406,17.61393985,131.0951996,-128.2171629,-2.878036696
0.01575,-0.785764673,-16.16502979,16.95079446,137.2789307,-123.372027,-13.90690362
0.016,0.666847214,-16.8428353,16.17598808,142.5627594,-117.907507,-24.65525237
0.01625,2.100711772,-17.41571464,15.31500287,147.3577271,-111.8685607,-35.48916636
0.0165,3.580208768,-17.92851104,14.34830228,150.067688,-103.834382,-46.23330602
