Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.00000,3.849378586,-4.729548049,0.880169464,30.33773613,3.212240653,-33.54997678
0.00025,4.086337401,-4.588232781,0.50189538,28.77048302,6.217487122,-34.98797014
0.00050,4.265299627,-4.398260913,0.132961286,27.73988152,8.559338866,-36.29922038
0.00075,4.436690762,-4.187557193,-0.249133569,26.10297585,11.10451376,-37.20748961
0.00100,4.609826603,-3.963314146,-0.646512457,23.63315964,14.02826787,-37.66142751
0.00125,4.736780468,-3.711569466,-1.025211002,21.45702553,16.68000824,-38.13703377
0.00150,4.84392154,-3.418784397,-1.425137143,18.76737976,18.95598253,-37.72336229
0.00175,4.89848637,-3.106113502,-1.792372868,16.56650352,20.96606051,-37.53256403
0.00200,4.95389541,-2.794711615,-2.159183795,13.60120773,23.45965722,-37.06086495
0.00225,4.964419575,-2.449462398,-2.514957177,10.80185699,25.39078339,-36.19264039
0.00250,4.938509523,-2.081365362,-2.857144161,8.032029152,26.97262308,-35.00465223
0.00275,4.895997104,-1.726384282,-3.169612822,5.041144848,28.97717693,-34.01832178
0.00300,4.804748971,-1.346017565,-3.458731407,2.396411419,30.39006296,-32.78647438
0.00325,4.710530473,-0.965227596,-3.745302877,-0.903823614,31.95999821,-31.05617459
0.00350,4.582348848,-0.584014252,-3.998334596,-4.033792973,33.40242501,-29.36863204
0.00375,4.39217775,-0.204493669,-4.187684081,-6.214879036,34.49341403,-28.278535
0.00400,4.235537879,0.172911529,-4.408449408,-9.922798157,35.88776011,-25.96496195
0.00425,4.023300112,0.555394138,-4.57869425,-12.85209751,36.73252425,-23.88042673
0.00450,3.744883612,0.952684951,-4.697568562,-14.75013924,36.70303459,-21.95289535
0.00475,3.458834788,1.352937494,-4.811772281,-17.01908112,36.39093084,-19.37184973
0.00500,3.164674878,1.74007386,-4.904748738,-19.49079132,36.03707511,-16.54628379
0.00525,2.853032961,2.105209258,-4.958242219,-21.81180763,35.68619477,-13.87438714
0.00550,2.532023522,2.462305636,-4.994329158,-24.25122833,35.08233235,-10.83110401
0.00575,2.186308526,2.79570826,-4.982016786,-26.24120903,34.35495151,-8.113742478
0.00600,1.82655734,3.1214955,-4.94805284,-28.12498665,33.23032228,-5.105335633
0.00625,1.451441806,3.423588935,-4.875030741,-29.69348907,31.95292665,-2.25943758
0.00650,1.11183975,3.682526108,-4.794365858,-32.08576202,31.22434658,0.861415445
0.00675,0.697162616,3.961771793,-4.658934409,-32.81285477,28.99067651,3.82217826
0.00700,0.27519083,4.218593519,-4.49378435,-33.2624054,26.51012591,6.752279485
0.00725,-0.080796241,4.403911539,-4.323115298,-34.9428978,25.22039723,9.722500571
0.00750,-0.478878973,4.570190052,-4.091311079,-35.35718918,23.31472954,12.04245964
0.00775,-0.852824209,4.718274468,-3.865450258,-36.18263626,21.23687372,14.94576254
0.00800,-1.217115424,4.834204368,-3.617088944,-36.88301468,19.11970975,17.76330493
0.00825,-1.612052441,4.92728611,-3.315233669,-36.40812683,16.473192,19.93493483
0.00850,-1.977408661,4.980173501,-3.00276484,-36.14699173,14.0559987,22.09099303
0.00875,-2.347863877,5.031791701,-2.683927824,-35.42444992,10.86941506,24.55503486
0.00900,-2.686652177,5.032637858,-2.345985681,-34.78474426,8.110648467,26.6740958
0.00925,-3.012427464,4.990328448,-1.977900984,-33.74751663,5.506231707,28.24128493
0.00950,-3.34204589,4.941248557,-1.599202667,-32.08741379,2.252077907,29.83533588
0.00975,-3.597977502,4.838435301,-1.2404578,-31.44807243,-0.186091689,31.63416412
0.01000,-3.827231601,4.715312955,-0.888081354,-30.81349945,-2.766134829,33.57963428
0.01025,-4.069729885,4.568074324,-0.498344439,-29.06586456,-5.694388952,34.76025351
0.01050,-4.269855894,4.396718863,-0.126862969,-27.62231255,-8.5384647,36.16077725
0.01075,-4.463265405,4.202939029,0.260326376,-25.52999878,-11.56662299,37.09662177
0.01100,-4.598254139,3.960502685,0.637751454,-23.92355728,-13.86896257,37.79251985
0.01125,-4.745630288,3.696065314,1.049564974,-21.12132454,-16.42922506,37.5505496
0.01150,-4.821748563,3.412165123,1.40958344,-19.31354332,-18.63943496,37.95297828
0.01175,-4.915754242,3.111764072,1.803990171,-16.17341995,-21.17110252,37.34452247
0.01200,-4.969921932,2.791054178,2.178867754,-13.1679287,-23.48097983,36.64890853
0.01225,-4.982084317,2.463151832,2.518932485,-10.44962215,-25.75191701,36.20153917
0.01250,-4.962105493,2.098862732,2.86324276,-7.547164917,-27.45414843,35.00131335
0.01275,-4.915850833,1.721034546,3.194816287,-4.479861259,-29.00281524,33.4826765
0.01300,-4.816528206,1.342782897,3.47374531,-2.058618069,-30.39306812,32.45168619
0.01325,-4.691294447,0.968762673,3.722531774,0.376117259,-31.8601733,31.48405604
0.01350,-4.589849547,0.590511134,3.999338413,4.179900646,-33.55620622,29.37630558
0.01375,-4.415402593,0.206336441,4.209066153,6.810305119,-34.67614111,27.865836
0.01400,-4.203195173,-0.185031097,4.388226269,9.162735939,-35.39524718,26.23251124
0.01425,-3.980340558,-0.5666673,4.547007858,11.79238987,-36.17313932,24.38074945
0.01450,-3.752826055,-0.95126519,4.704091244,14.92129517,-36.75660043,21.83530526
0.01475,-3.476958009,-1.348979221,4.82593723,17.44099236,-36.56912772,19.12813536
0.01500,-3.186185296,-1.73357708,4.919762375,19.98802757,-36.29041742,16.30238985
0.01525,-2.877511147,-2.097443259,4.974954406,22.38384819,-35.9879816,13.60413341
0.01550,-2.539099099,-2.45580908,4.99490818,24.38096237,-35.23422345,10.85326108
0.01575,-2.180271345,-2.803173621,4.983444966,26.12915993,-34.14716174,8.018001812
0.01600,-1.80183133,-3.126422356,4.928253685,27.49790573,-32.93027383,5.432368096
0.01625,-1.468306758,-3.424284616,4.892591374,30.12108231,-32.03864835,1.91756604
0.01650,-1.083765263,-3.701415204,4.785180467,31.46761703,-30.63370945,-0.833907584
0.01675,-0.711041243,-3.958237121,4.669278364,33.12350464,-29.12926611,-3.994238533
0.01700,-0.297525868,-4.204903883,4.502429751,33.72449875,-26.90599538,-6.818503368
0.01725,0.1038084,-4.413492791,4.30968439,34.38811111,-24.84585254,-9.542258574
0.01750,0.478114589,-4.580193899,4.10207931,35.42281342,-23.1052819,-12.31753152
0.01775,0.873757095,-4.715162468,3.841405372,35.57889175,-21.11432593,-14.46456582
0.01800,1.243547168,-4.837015702,3.593468534,36.16996384,-18.847511,-17.32245283
0.01825,1.617255008,-4.93052054,3.313265531,36.24822617,-16.35153898,-19.89668718
0.01850,1.984687789,-4.996947391,3.012259602,36.03053665,-13.66428594,-22.36625071
0.01875,2.335696556,-5.024449166,2.68875261,35.64031601,-11.0763693,-24.56394671
