# Time (seconds),Pressure,Temp,Pressure (high-pass),Temperature (high-pass)
0.0078125,967.8135986328124,26.499526977539062,0.0,0.0
0.0234375,967.5889892578124,26.49505615234375,-0.22022247314453125,-0.004435896873474121
0.0390625,967.5934448242188,26.48983764648437,-0.2115527093409355,-0.00957897771150229
0.0546875,967.5927734375,26.493194580078125,-0.20807909418351755,-0.006173434398078825
0.0703125,967.5785522460938,26.492820739746094,-0.2179584831368402,-0.00649612414628109
0.0859375,967.5961303710938,26.49840545654297,-0.19646667926701866,-0.000904286979487523
0.1015625,967.594970703125,26.49542999267578,-0.19376645764134537,-0.0038494402931839033
0.1171875,967.5952758789062,26.48798370361328,-0.18968274119879425,-0.011207481470091096
0.1328125,967.5963134765624,26.48275756835937,-0.18496066808279465,-0.01630522909334431
0.1484375,967.584716796875,26.479782104492188,-0.19271833707159658,-0.019130062546775406
0.1640625,967.5966186523438,26.471954345703125,-0.1772849096965956,-0.02674721335664998
0.1796875,967.5939331054688,26.48798370361328,-0.1764554085916643,-0.010634122200819718
0.1953125,967.595703125,26.468978881835938,-0.17127356505534408,-0.02940738972833401
0.2109375,967.595458984375,26.48275756835937,-0.16816775049130683,-0.015506603961110699
0.2265625,967.59326171875,26.468978881835938,-0.16703757439529454,-0.02905649915263453
0.2421875,967.5935668945312,26.46786499023437,-0.16347590645364107,-0.02993468457643189
0.2578125,967.5953979492188,26.48089599609375,-0.1584877257550943,-0.016771618727076998
0.2734375,967.5723876953124,26.478286743164062,-0.1779530972462453,-0.01922945859694636
0.2890625,967.6019287109376,26.46786499023437,-0.14551340815182812,-0.02941956143658686
0.3046875,967.5899047851562,26.475685119628903,-0.15446043287977318,-0.021430686479227745
0.3203125,967.6016845703124,26.46786499023437,-0.13989391632276238,-0.029022293874746197
0.3359375,967.6021118164062,26.468978881835938,-0.13674271182594566,-0.027690367880421007
0.3515625,967.5948486328124,26.458541870117188,-0.14119328027493339,-0.0378295094460519
0.3671875,967.5991821289062,26.46227264404297,-0.13418674152126187,-0.03383233914901851
0.3828125,967.599609375,26.465255737304688,-0.13114700528240064,-0.0306082361538067
0.3984375,967.5932006835938,26.45966339111328,-0.13486906198772886,-0.035917765295639725
0.4140625,967.5816040039062,26.45519256591797,-0.14360508265815497,-0.040073054627740134
0.4296875,967.5982666015624,26.464134216308597,-0.12446313959185318,-0.030888190141510563
0.4453125,967.5942993164062,26.460037231445312,-0.12592201801464853,-0.03471185332507076
0.4609375,967.5999145507812,26.464134216308597,-0.11795704177166044,-0.03037568980192873
0.4765625,967.59912109375,26.460037231445312,-0.11643115312313057,-0.034203356894391135
0.4921875,967.5987548828124,26.458541870117188,-0.1145161655439324,-0.0354198219864017
0.5078125,967.5930786132812,26.46040344238281,-0.11784492657750434,-0.0332960758948353
0.5234375,967.604248046875,26.44922637939453,-0.10459198726141494,-0.04412569248558995
0.5390625,967.59326171875,26.456687927246094,-0.11332092641407598,-0.03637770600407464
0.5546875,967.5983276367188,26.453697204589844,-0.10614065281163221,-0.03906086281141441
0.5703125,967.6005249023438,26.44438934326172,-0.10191324290565262,-0.04799084348220006
0.5859375,967.5994873046876,26.44438934326172,-0.10094008195710558,-0.04761591501749507
0.6015625,967.606201171875,26.446250915527344,-0.09238585901255192,-0.045396886949120585
0.6171875,967.6076049804688,26.45445251464844,-0.08920505724654504,-0.036904699641866046
0.6328125,967.6005859375,26.446250915527344,-0.09434472325801835,-0.04475390580387639
0.6484375,967.595458984375,26.45445251464844,-0.09752887020363232,-0.036266741786821655
0.6640625,967.59326171875,26.463394165039062,-0.09777835973818583,-0.02711161411966856
0.6796875,967.6162109375,26.457801818847656,-0.0733676343282923,-0.03244846062114348
0.6953125,967.6010131835938,26.443641662597656,-0.08683559549558595,-0.04624448705183681
0.7109375,967.606689453125,26.44178009033203,-0.07957418287912787,-0.047730230729044365
0.7265625,967.587646484375,26.446250915527344,-0.09669103538635682,-0.042921441427999696
0.7421875,967.5923461914062,26.439170837402344,-0.09019462272317469,-0.04961088268149183
0.7578125,967.598876953125,26.438804626464844,-0.08202980121916426,-0.04958664757509368
0.7734375,967.5848388671876,26.436935424804688,-0.0941915612355615,-0.05105385041310129
0.7890625,967.5987548828124,26.44438934326172,-0.07870766386054129,-0.043259307487662824
0.8046875,967.5994873046876,26.44960021972656,-0.07645228804028648,-0.037751177655458434
0.8203125,967.5884399414062,26.44811248779297,-0.08579067375671912,-0.03893235560788355
0.8359375,967.597412109375,26.435073852539062,-0.07531814434685202,-0.05156496749568262
0.8515625,967.5985107421876,26.452957153320312,-0.07276991169953817,-0.03341852869322537
0.8671875,967.5857543945312,26.446250915527344,-0.08385582460289243,-0.039811291748019784
0.8828125,967.6185913085938,26.44811248779297,-0.050022447443893725,-0.03765323729894021
0.8984375,967.5986328125,26.44140625,-0.06861412823423052,-0.04401291669275409
0.9140625,967.5924072265624,26.44886016845703,-0.07337800100447112,-0.03627338106200639
0.9296875,967.5999755859376,26.439170837402344,-0.06452429706621388,-0.045603628428281695
0.9453125,967.5720825195312,26.439170837402344,-0.09061233684224135,-0.045247350081186966
0.9609375,967.589111328125,26.436935424804688,-0.0721463499623951,-0.04711180359541345
0.9765625,967.6114501953124,26.439170837402344,-0.048834680377012774,-0.04452579419308833
0.9921875,967.5902709960938,26.439170837402344,-0.06864642100981655,-0.044177936425953135
1.0078125,967.5902709960938,26.44252014160156,-0.0673056705994668,-0.040509658537466464
1.0234375,967.5919189453124,26.431716918945312,-0.0643753440101591,-0.05091199930938828
1.0390625,967.5982055664062,26.435813903808597,-0.056954177546799656,-0.04644927214574324
1.0546875,967.605224609375,26.440284729003903,-0.048959838980863424,-0.041650490333637435
1.0703125,967.6033325195312,26.44178009033203,-0.049858727089713284,-0.03984141706015265
1.0859375,967.5797729492188,26.42724609375,-0.07198434628105588,-0.05395060572310584
1.1015625,967.578125,26.431716918945312,-0.07219416472833018,-0.04909321974242076
1.1171875,967.6201171875,26.431716918945312,-0.029612094860567595,-0.048709678963181346
1.1328125,967.589599609375,26.436569213867188,-0.0589552653100327,-0.04351474822848189
1.1484375,967.5900268554688,26.435813903808597,-0.05738489384100376,-0.04392419845670403
1.1640625,967.5973510742188,26.44178009033203,-0.049082927530662346,-0.037661464965040636
1.1796875,967.5980224609376,26.436569213867188,-0.04746600290536662,-0.042537401262464414
1.1953125,967.5961303710938,26.43246459960937,-0.0483940675002259,-0.04627762477402797
1.2109375,967.5963134765624,26.43060302734375,-0.04726934167945274,-0.04776310956277641
1.2265625,967.5979614257812,26.417564392089844,-0.0447303496390532,-0.06032673118530241
1.2421875,967.5868530273438,26.42762756347656,-0.054748147528130175,-0.04987087573766047
1.2578125,967.59521484375,26.42054748535156,-0.04548034809215551,-0.056506024535607935
1.2734375,967.5864868164062,26.42054748535156,-0.053149618103134344,-0.056064571218922055
1.2890625,967.6109008789062,26.417564392089844,-0.028174314282750856,-0.05858635460188211
1.3046875,967.5880126953124,26.420166015625,-0.050065183464994334,-0.05554735035526548
1.3203125,967.5870971679688,26.41607666015625,-0.049984993800649136,-0.059170794059763665
1.3359375,967.5842895507812,26.41607666015625,-0.05176150530473933,-0.0587085222311714
1.3515625,967.5982055664062,26.41607666015625,-0.037106319959434586,-0.05824986190124193
1.3671875,967.596435546875,26.40898895263672,-0.03811703598501026,-0.0648271196596717
1.3828125,967.585205078125,26.41011047363281,-0.04838368628315948,-0.06320789867402254
1.3984375,967.5884399414062,26.41607666015625,-0.04426701005263567,-0.05679451127440416
1.4140625,967.5975341796876,26.39446258544922,-0.03448580357257924,-0.07779601890345589
1.4296875,967.58984375,26.396697998046875,-0.04135247870431158,-0.0749702890690358
1.4453125,967.5943603515624,26.397071838378903,-0.03611642641646995,-0.0740136639812512
1.4609375,967.6119995117188,26.397071838378903,-0.01811638215349376,-0.07343543223139903
1.4765625,967.5943603515624,26.39595031738281,-0.0350571918741025,-0.07397447703040427
1.4921875,967.593017578125,26.397445678710938,-0.03568902848894595,-0.07191287261085222
1.5078125,967.5870971679688,26.401168823242188,-0.04079675429670715,-0.06765699582897966
1.5234375,967.58740234375,26.39073944091797,-0.03970072737263308,-0.07747632832387552
1.5390625,967.5863037109376,26.396697998046875,-0.040002497681371096,-0.07095903860750852
1.5546875,967.59130859375,26.39930725097656,-0.034314067703576256,-0.0678158029772149
1.5703125,967.5823974609376,26.39633178710937,-0.04238095831840383,-0.0702382100721799
1.5859375,967.5924072265624,26.381423950195312,-0.031738942836341266,-0.08448084349415907
1.6015625,967.6079711914062,26.385154724121094,-0.015859060453522034,-0.08011920964987596
1.6171875,967.6071166992188,26.39521026611328,-0.016387116065970986,-0.06951629525411107
1.6328125,967.6154174804688,26.378448486328125,-0.007928398589115204,-0.08560402757802166
1.6484375,967.5831909179688,26.381423950195312,-0.03937068450534298,-0.08198302805684321
1.6640625,967.599365234375,26.374343872070312,-0.022743314034642026,-0.08836730066479603
1.6796875,967.5985717773438,26.368385314941406,-0.023077068506040632,-0.09358893702968984
1.6953125,967.6010131835938,26.37806701660156,-0.02023262197758413,-0.08325171009321153
1.7109375,967.5728149414062,26.374343872070312,-0.047484948849387365,-0.08629536357270595
1.7265625,967.5918579101562,26.375457763671875,-0.02788647267561828,-0.08451599172136781
1.7421875,967.5930786132812,26.39110565185547,-0.026144953739049015,-0.06833007147888637
1.7578125,967.58154296875,26.374343872070312,-0.036944649085285164,-0.08442707117604087
1.7734375,967.590576171875,26.364280700683597,-0.02736630053141198,-0.09375203754273542
1.7890625,967.5712280273438,26.36801147460937,-0.04580205355750877,-0.08931797249495332
1.8046875,967.59912109375,26.35944366455078,-0.017559202245934102,-0.09712104987734449
1.8203125,967.6024169921876,26.361305236816406,-0.013984723655767084,-0.0945152629428776
1.8359375,967.6075439453124,26.364280700683597,-0.008684767200293209,-0.09082464439540772
1.8515625,967.5932006835938,26.364280700683597,-0.022578262729098242,-0.09011507686106768
1.8671875,967.5687866210938,26.361305236816406,-0.04607450637695365,-0.09236327087882046
1.8828125,967.5941162109376,26.360565185546875,-0.02033974238202063,-0.09237595244406904
1.8984375,967.5903930664062,26.36316680908203,-0.023592908653313316,-0.08907296696431288
1.9140625,967.59375,26.361305236816406,-0.019840741171719856,-0.09022411314220236
1.9296875,967.5892944335938,26.35533905029297,-0.02382177032063737,-0.09543881294950296
1.9453125,967.5823974609376,26.360565185546875,-0.03011876752805165,-0.0895078911511007
1.9609375,967.5708618164062,26.364280700683597,-0.04084084932389942,-0.08512212307676492
1.9765625,967.5907592773438,26.35944366455078,-0.02053433783203218,-0.08925635327825532
1.9921875,967.59326171875,26.361305236816406,-0.0176797109487552,-0.0867120092859679
2.0078125,967.5831298828124,26.365402221679688,-0.027268352611258706,-0.08196959454438613
2.0234375,967.5975341796876,26.332618713378903,-0.012612804647460507,-0.11385659422919403
2.0390625,967.5933227539062,26.34751892089844,-0.016495632178248343,-0.09818328993848624
2.0546875,967.6115112304688,26.357574462890625,0.0016597810173379912,-0.08743924991547303
2.0703125,967.61328125,26.335220336914062,0.003362812256568759,-0.10893561514287953
2.0859375,967.59130859375,26.34677124023437,-0.018246370477982055,-0.09662389376145697
2.1015625,967.59375,26.33448028564453,-0.015496273520398063,-0.10806395109855416
