# Time (seconds),f0
0.0078125,931.026611328125
0.0234375,931.0180053710938
0.0390625,931.0106201171875
0.0546875,931.002685546875
0.0703125,931.0112915039062
0.0859375,931.0104370117188
0.1015625,931.022705078125
0.1171875,931.0177001953125
0.1328125,931.0079345703125
0.1484375,931.010986328125
0.1640625,931.0039672851562
0.1796875,931.0227661132812
0.1953125,931.0012817382812
0.2109375,930.9994506835938
0.2265625,930.9990234375
0.2421875,931.0179443359375
0.2578125,931.0245971679688
0.2734375,931.0073852539062
0.2890625,931.0245971679688
0.3046875,931.0150756835938
0.3203125,931.0092163085938
0.3359375,931.020751953125
0.3515625,931.0213623046875
0.3671875,931.0115356445312
0.3828125,931.0045776367188
0.3984375,931.0045166015625
0.4140625,931.0048217773438
0.4296875,930.9937133789062
0.4453125,931.0104370117188
0.4609375,931.0133666992188
0.4765625,931.0100708007812
0.4921875,931.0213623046875
0.5078125,931.0109252929688
0.5234375,931.02685546875
0.5390625,931.0185546875
0.5546875,931.0185546875
0.5703125,931.0189819335938
0.5859375,931.021240234375
0.6015625,930.9990234375
0.6171875,931.0045776367188
0.6328125,931.0221557617188
0.6484375,931.0101928710938
0.6640625,930.9990234375
0.6796875,931.0096435546875
0.6953125,930.9924926757812
0.7109375,931.0147705078125
0.7265625,930.9986572265625
0.7421875,931.0103149414062
0.7578125,931.00146484375
0.7734375,931.0087890625
0.7890625,931.0005493164062
0.8046875,931.005615234375
0.8203125,931.0062255859375
0.8359375,930.9937133789062
0.8515625,931.009521484375
0.8671875,931.0195922851562
0.8828125,931.0177001953125
0.8984375,931.009033203125
0.9140625,931.016357421875
0.9296875,930.9880981445312
0.9453125,930.9989013671875
0.9609375,930.9925537109375
0.9765625,931.004638671875
0.9921875,931.0023803710938
1.0078125,931.0076293945312
1.0234375,931.0118408203125
1.0390625,931.001220703125
1.0546875,931.0023803710938
1.0703125,931.0076293945312
1.0859375,930.9938354492188
1.1015625,930.9970092773438
1.1171875,931.0068359375
1.1328125,930.993408203125
1.1484375,931.001220703125
