Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.01575,-11.42910038,18.65846533,-7.229364948,-147.3670349,41.62310134,105.7439336
0.016,-12.53335436,18.41095258,-5.877598213,-144.8771362,30.25152466,114.6256116
0.01625,-13.56066752,18.06781728,-4.50714976,-141.6257629,18.35002888,123.2757341
0.0165,-14.50897264,17.61298468,-3.104012038,-137.3852692,6.298435216,131.0868339
0.01675,-15.34774327,17.03418315,-1.686439885,-132.7183685,-5.361715966,138.0800845
0.017,-16.07019773,16.32929955,-0.259101817,-127.6606064,-16.43462295,144.0952293
0.01725,-16.70079879,15.54402689,1.156771903,-121.7927551,-27.84409696,149.6368521
0.0175,-17.23971757,14.62843738,2.611280189,-114.6365891,-38.51886148,153.1554505
0.01775,-17.72881627,13.63203606,4.096780207,-105.364563,-49.54713731,154.9117003
0.018,-18.10535916,12.5268988,5.578460358,-95.33699036,-59.77662029,155.1136106
0.01825,-18.39255046,11.35533595,7.037214503,-84.2069931,-69.99624778,154.2032409
0.0185,-18.55901309,10.10507524,8.45393786,-72.673172,-79.5569617,152.2301337
0.01875,-18.60080354,8.812505329,9.788298211,-61.09901047,-88.91818121,150.0171917
0.019,-18.57100637,7.472546848,11.09845952,-48.05854797,-98.17380053,146.2323485
0.01925,-18.40372102,6.113126005,12.29059502,-35.50456619,-107.1536057,142.6581719
0.0195,-18.12617196,4.719858243,13.40631371,-22.66492462,-115.5716041,138.2365288
0.01975,-17.68703703,3.277087409,14.40994962,-10.83673191,-122.5253512,133.3620831
0.02,-17.13243506,1.831354723,15.30108034,0.755865157,-128.9996064,128.2437412
0.02025,-16.49576297,0.423277225,16.07248574,12.59607697,-135.7840991,123.1880221
0.0205,-15.75170041,-0.989876907,16.74157732,24.22920418,-141.6637355,117.4345313
0.02075,-14.88843866,-2.432224168,17.32066282,35.39312744,-145.8581483,110.4650209
0.021,-13.94119131,-3.896150633,17.83734194,46.8093338,-148.5258331,101.7164993
0.02125,-12.9267398,-5.324112759,18.25085256,58.34080887,-150.6390039,92.29819501
0.0215,-11.82435635,-6.73726662,18.56162297,69.43268585,-151.4209834,81.9882975
0.02175,-10.64333913,-8.123342251,18.76668138,80.05271912,-150.9461152,70.89339609
0.022,-9.37651322,-9.495031565,18.87154479,89.90794373,-148.702133,58.7941893
0.02225,-8.062342293,-10.80325792,18.86560021,99.4371109,-145.6869645,46.24985357
0.0225,-6.660897458,-12.03997968,18.70087714,107.3179626,-141.5663345,34.2483719
0.02275,-5.26415058,-13.16204075,18.42619133,115.4217987,-137.6569861,22.23518736
0.023,-3.819881352,-14.16732549,17.98720684,122.1470718,-133.4583987,11.31132681
0.02325,-2.389691303,-15.06937434,17.45906564,128.982254,-129.0240864,0.041832402
0.0235,-1.01597119,-15.84872476,16.86469595,136.6820374,-124.8987042,-11.78333314
0.02375,0.470949189,-16.5489558,16.07800661,140.8873291,-118.8857713,-22.00155783
0.024,1.866607719,-17.12098791,15.25438019,146.3526917,-113.3058786,-33.04681307
0.02425,3.357124414,-17.63928388,14.28215947,148.5204163,-105.2864576,-43.2339587
0.0245,4.773257977,-18.05942209,13.28616411,151.2545471,-96.82180857,-54.43273855
0.02475,6.201226493,-18.37082637,12.16959987,151.996521,-87.41190488,-64.58461611
0.025,7.576025912,-18.58745221,11.0114263,152.3257294,-77.22725593,-75.09847344
0.02525,8.934975512,-18.72157447,9.786598961,151.1388092,-65.72826247,-85.41054674
0.0255,10.24499381,-18.76303827,8.51804446,149.0137329,-53.33397514,-95.67975777
0.02575,11.44035391,-18.68941846,7.249064541,147.3160706,-40.95874769,-106.3573229
0.026,12.58648343,-18.48760158,5.901118156,144.0542755,-28.39874595,-115.6555296
0.02625,13.64692278,-18.14023334,4.493310567,139.8772125,-16.30550408,-123.5717084
0.0265,14.5693858,-17.66974747,3.100361669,136.1682434,-4.716833063,-131.4514103
0.02675,15.37179227,-17.04863814,1.676845879,132.1224365,5.889865326,-138.0123018
0.027,16.08232952,-16.35221611,0.269886588,127.4288559,17.03717498,-144.4660309
0.02725,16.70452012,-15.54324882,-1.161271302,121.6000595,27.93893171,-149.5389912
0.0275,17.251499,-14.62935069,-2.622148315,114.2396011,38.70020963,-152.9398108
0.02775,17.71562657,-13.61095025,-4.104676317,105.4570313,49.12163384,-154.5786651
0.028,18.07608696,-12.49100461,-5.585082346,95.74758911,58.9381482,-154.6857373
0.02825,18.30309298,-11.28940011,-7.013692871,85.99261475,68.12547153,-154.1180863
0.0285,18.494468,-10.07848702,-8.415980981,74.12508392,78.58907469,-152.7141586
0.02875,18.58548729,-8.791416633,-9.794070655,61.31827545,88.40538757,-149.723663
0.029,18.53443094,-7.460767083,-11.07366386,48.91382599,97.67116924,-146.5849952
0.02925,18.38539541,-6.103885941,-12.28150947,35.9122963,106.828088,-142.7403843
0.0295,18.14513809,-4.730079789,-13.4150583,22.24153137,115.8862021,-138.1277334
0.02975,17.69835047,-3.290270913,-14.40807956,10.63177872,122.8422463,-133.474025
0.03,17.1119808,-1.823383505,-15.28859729,-0.282081008,128.684273,-128.402192
0.03025,16.45795481,-0.400497423,-16.05745739,-11.76540375,135.0563453,-123.2909416
0.0305,15.74652658,0.996154715,-16.7426813,-24.12200928,141.4819706,-117.3599614
0.03075,14.89551278,2.419886727,-17.3153995,-35.46820831,146.1183927,-110.6501844
0.031,13.93973823,3.873657979,-17.81339621,-46.5862999,148.9211187,-102.3348188
0.03125,12.9160229,5.324045408,-18.2400683,-58.03815079,150.5495583,-92.51140755
0.0315,11.79967514,6.749891211,-18.54956635,-68.85182953,150.9893715,-82.13754196
0.03175,10.61227248,8.131313888,-18.74358636,-79.26078796,150.5535986,-71.29281065
