# Time (seconds),f0
0.0078125,952.7116088867188
0.0234375,952.7036743164062
0.0390625,952.6987915039062
0.0546875,952.6976318359375
0.0703125,952.7047729492188
0.0859375,952.7059326171875
0.1015625,952.7014770507812
0.1171875,952.7132568359375
0.1328125,952.7026977539062
0.1484375,952.7018432617188
0.1640625,952.7028198242188
0.1796875,952.691162109375
0.1953125,952.7052612304688
0.2109375,952.7042236328125
0.2265625,952.6959228515625
0.2421875,952.70263671875
0.2578125,952.7144165039062
0.2734375,952.70703125
0.2890625,952.6886596679688
0.3046875,952.6998901367188
0.3203125,952.7114868164062
0.3359375,952.6967163085938
0.3515625,952.6919555664062
0.3671875,952.6994018554688
0.3828125,952.7171020507812
0.3984375,952.731201171875
0.4140625,952.6971435546875
0.4296875,952.7081298828125
0.4453125,952.7055053710938
0.4609375,952.7139892578125
0.4765625,952.7115478515625
0.4921875,952.7045288085938
0.5078125,952.7070922851562
0.5234375,952.7056884765625
0.5390625,952.7081909179688
0.5546875,952.7109985351562
0.5703125,952.7229614257812
0.5859375,952.70654296875
0.6015625,952.6990356445312
0.6171875,952.712646484375
0.6328125,952.7068481445312
0.6484375,952.711669921875
0.6640625,952.7059326171875
0.6796875,952.7197265625
0.6953125,952.71240234375
0.7109375,952.7095947265625
0.7265625,952.71240234375
0.7421875,952.7119140625
0.7578125,952.7153930664062
0.7734375,952.6990356445312
0.7890625,952.6939086914062
0.8046875,952.7052612304688
0.8203125,952.698974609375
0.8359375,952.7049560546875
0.8515625,952.7098388671875
0.8671875,952.6912841796875
0.8828125,952.70849609375
0.8984375,952.7119140625
0.9140625,952.7119140625
0.9296875,952.7169799804688
0.9453125,952.712646484375
0.9609375,952.7182006835938
0.9765625,952.7056274414062
0.9921875,952.706298828125
1.0078125,952.7174682617188
1.0234375,952.7056274414062
1.0390625,952.718505859375
1.0546875,952.7129516601562
1.0703125,952.7095336914062
1.0859375,952.7059326171875
1.1015625,952.7005004882812
1.1171875,952.7177124023438
1.1328125,952.7240600585938
1.1484375,952.733154296875
1.1640625,952.7702026367188
1.1796875,952.8432006835938
1.1953125,952.8165283203125
1.2109375,952.8563232421875
1.2265625,952.8602905273438
1.2421875,952.822021484375
1.2578125,952.782470703125
1.2734375,952.857177734375
1.2890625,952.8096923828125
1.3046875,952.8136596679688
1.3203125,952.8139038085938
1.3359375,952.8245239257812
1.3515625,952.8087158203125
1.3671875,952.7794189453125
1.3828125,952.7954711914062
1.3984375,952.8322143554688
1.4140625,952.8258666992188
1.4296875,952.861083984375
1.4453125,952.8606567382812
1.4609375,952.8896484375
1.4765625,952.822021484375
1.4921875,952.7837524414062
1.5078125,952.8208618164062
1.5234375,952.817138671875
1.5390625,952.8303833007812
1.5546875,952.822021484375
1.5703125,952.84375
1.5859375,952.8359375
1.6015625,952.8426513671875
1.6171875,952.8558349609375
1.6328125,952.8413696289062
1.6484375,952.8450317382812
1.6640625,952.8909301757812
1.6796875,952.7883911132812
1.6953125,952.8519287109375
1.7109375,952.8309936523438
1.7265625,952.8148193359375
1.7421875,952.8755493164062
1.7578125,952.8251342773438
1.7734375,952.80859375
1.7890625,952.8048706054688
1.8046875,952.8259887695312
1.8203125,952.7705078125
1.8359375,952.7817993164062
1.8515625,952.7664794921875
1.8671875,952.7550659179688
1.8828125,952.74365234375
1.8984375,952.745849609375
1.9140625,952.7423706054688
1.9296875,952.7423095703125
1.9453125,952.733642578125
1.9609375,952.7400512695312
1.9765625,952.7313232421875
1.9921875,952.7163696289062
2.0078125,952.7387084960938
2.0234375,952.7357788085938
2.0390625,952.735107421875
2.0546875,952.7345581054688
2.0703125,952.7423095703125
2.0859375,952.7286376953125
2.1015625,952.7264404296875
2.1171875,952.7283935546875
2.1328125,952.7345581054688
2.1484375,952.7279663085938
2.1640625,952.7210083007812
2.1796875,952.734375
2.1953125,952.7274169921875
2.2109375,952.7138671875
2.2265625,952.7272338867188
2.2421875,952.7373046875
2.2578125,952.7210083007812
2.2734375,952.7196655273438
2.2890625,952.71484375
2.3046875,952.7216186523438
2.3203125,952.72216796875
2.3359375,952.7135009765625
2.3515625,952.7197265625
2.3671875,952.7227172851562
