# Time (seconds),Pressure (normalized),Temp (normalized),Temperature (slope)
0.0078125,0.6412851242792039,0.4609393310546875,0.0
0.0234375,0.6414242699032738,0.46127777099609374,0.0
0.0390625,0.6414006551106771,0.46060150146484374,0.0
0.0546875,0.6413341703869048,0.4602337646484375,0.0
0.0703125,0.6413850330171131,0.4608367919921875,0.0
0.0859375,0.6413334437779025,0.4611599731445313,0.0
0.1015625,0.6413988385881689,0.4607046508789063,0.0
0.1171875,0.6413279942103794,0.460380859375,0.0
0.1328125,0.6413229079473586,0.4608660888671875,-0.0146484375
0.1484375,0.6414624168759301,0.46151275634765626,0.0469970703125
0.1640625,0.6413116455078118,0.46105743408203126,0.0911865234375
0.1796875,0.6414685930524546,0.461424560546875,0.2381591796875
0.1953125,0.6413675944010416,0.46118957519531234,0.07055664062497158
0.2109375,0.6414526076543906,0.46118957519531234,0.005920410156221578
0.2265625,0.64149184454055,0.46149841308593764,0.15875244140627842
0.2421875,0.6413828531901048,0.46138031005859376,0.19989013671875
0.2578125,0.6413483392624628,0.46120391845703124,0.06756591796875
0.2734375,0.6413247244698668,0.461395263671875,-0.02349853515625
0.2890625,0.6414980207170758,0.46158660888671876,0.1058349609375
0.3046875,0.6413694109235492,0.461424560546875,0.0
0.3203125,0.6413675944010416,0.46120391845703124,0.0028686523437784217
0.3359375,0.6413385300409227,0.46143920898437485,0.0499267578125
0.3515625,0.6413109188988095,0.4612338256835937,-0.05291748046877842
0.3671875,0.641357421875,0.46138031005859376,0.0
0.3828125,0.6414308093843,0.46120391845703124,0.0
0.3984375,0.6413955688476562,0.46095428466796873,-0.08819580078125
0.4140625,0.6413955688476562,0.4613513183593749,-0.04705810546877842
0.4296875,0.6414373488653273,0.46143920898437485,0.0029296874999715783
0.4453125,0.6414210001627604,0.46120391845703124,0.0
0.4609375,0.6414457048688617,0.46143920898437485,0.0
0.4765625,0.6414845784505215,0.46102752685546877,-0.041259765625
0.4921875,0.6414322626023072,0.46120391845703124,-0.0352783203125
0.5078125,0.6414704095749628,0.4612921142578125,0.01763916015625
0.5234375,0.6413443429129464,0.4609100341796875,-0.00885009765625
0.5390625,0.6413701375325521,0.4611749267578125,-0.03527832031247158
0.5546875,0.6413992018926711,0.4615567016601561,0.02349853515625
0.5703125,0.6414224533807664,0.46124816894531234,0.008850097656221578
0.5859375,0.6413646879650298,0.46101318359375,-0.08520507812497158
0.6015625,0.641357421875,0.461365966796875,0.06768798828125
0.6171875,0.6412487938290551,0.461424560546875,0.04412841796875
0.6328125,0.6412498837425595,0.46158660888671876,0.05889892578125
0.6484375,0.6415085565476191,0.4617041015625,0.1588134765625
0.6640625,0.6414246332077753,0.46180694580078124,0.12640380859375
0.6796875,0.6414620535714286,0.46165985107421875,0.02062988281252842
0.6953125,0.641434805733817,0.46141021728515613,0.03240966796875
0.7109375,0.6414380754743311,0.46190948486328126,0.17926025390625
0.7265625,0.6413494291759666,0.4616448974609376,0.05578613281252842
0.7421875,0.6413457961309523,0.46173309326171874,0.06170654296875
0.7578125,0.6413679577055431,0.46180694580078124,0.0440673828125
0.7734375,0.6413832164946056,0.46143920898437485,-0.05297851562502842
0.7890625,0.6413959321521571,0.46149841308593764,-0.06170654296872158
0.8046875,0.6413897559756324,0.4619833374023439,0.06469726562502842
0.8203125,0.6413363502139143,0.46158660888671876,0.03527832031252842
0.8359375,0.6413981119791666,0.4615716552734375,-0.06756591796875
0.8515625,0.6413657778785342,0.462071533203125,0.08532714843747158
0.8671875,0.6413981119791666,0.46180694580078124,0.0147705078125
0.8828125,0.6413516090029762,0.461424560546875,-0.07647705078125
0.8984375,0.6414776756649926,0.4617041015625,0.05297851562502842
0.9140625,0.6415350777762276,0.46180694580078124,0.06170654296872158
0.9296875,0.6415899367559523,0.4615716552734375,-0.08233642578127842
0.9453125,0.6416041056315104,0.46158660888671876,0.0
0.9609375,0.64154052734375,0.4619537353515625,0.076416015625
0.9765625,0.6416738600957961,0.46196838378906235,-0.02062988281252842
0.9921875,0.6417417980375737,0.46143920898437485,-0.07354736328127842
1.0078125,0.6418264479864211,0.462071533203125,0.12939453125
1.0234375,0.6418823968796503,0.46183624267578127,0.02642822265625
1.0390625,0.6418496994745164,0.46229217529296873,0.0970458984375
1.0546875,0.6418035598028273,0.46177734375,0.0411376953125
1.0703125,0.6417279924665179,0.462174072265625,0.11749267578125
1.0859375,0.64198012579055,0.46240966796875,0.0911865234375
1.1015625,0.6417875744047619,0.462144775390625,0.03527832031252842
1.1171875,0.6418297177269345,0.4619833374023439,0.10882568359380684
1.1328125,0.6417203630719867,0.4625567626953124,0.09704589843747158
1.1484375,0.6418075561523438,0.4622039794921875,0.07354736328125
