Time (seconds),Left,Center,Up,Right,Down
0.0173943,0.0,0.0,0.0,0.0,0.0
0.0682883,0.0,0.0,0.0,0.0,0.0
0.1187551,0.0,0.0,0.0,0.0,0.0
0.1691198,0.0,0.0,0.0,0.0,0.0
0.2194841,0.0,0.0,0.0,0.0,0.0
0.2703941,0.0,0.0,0.0,0.0,0.0
0.3206568,0.0,0.0,0.0,0.0,0.0
0.371006,0.0,0.0,0.0,0.0,0.0
0.4222336,0.0,0.0,0.0,0.0,0.0
0.4727564,0.0,0.0,0.0,0.0,0.0
0.5228276,0.0,0.0,0.0,0.0,0.0
0.5737224,0.0,0.0,0.0,0.0,0.0
0.623888,0.0,0.0,0.0,0.0,0.0
0.6741965,0.0,0.0,0.0,0.0,0.0
0.7253778,0.0,0.0,0.0,0.0,0.0
0.7758861,0.0,0.0,0.0,0.0,0.0
0.8265402,0.0,0.0,0.0,0.0,0.0
0.8769629,0.0,0.0,0.0,0.0,0.0
0.9275899,0.0,0.0,0.0,0.0,0.0
0.9782977,0.0,0.0,0.0,0.0,0.0
1.0289171,0.0,0.0,0.0,0.0,0.0
1.0794985,0.0,0.0,0.0,0.0,0.0
1.1296532,0.0,0.0,0.0,0.0,0.0
1.1800647,0.0,0.0,0.0,0.0,0.0
1.2302897,0.0,0.0,0.0,0.0,0.0
1.2804186,0.0,0.0,0.0,0.0,0.0
1.331888,0.0,0.0,0.0,0.0,0.0
1.3823445,0.0,0.0,0.0,0.0,0.0
1.4327843,0.0,0.0,0.0,0.0,0.0
1.482945,0.0,0.0,0.0,0.0,0.0
1.5340796,0.0,0.0,0.0,0.0,0.0
1.5841303,0.0,0.0,0.0,0.0,0.0
1.6351364,0.0,0.0,0.0,0.0,0.0
1.6860917,0.0,0.0,0.0,0.0,0.0
1.7365215,0.0,0.0,0.0,0.0,0.0
1.7864611,0.0,0.0,0.0,0.0,0.0
1.8372867,0.0,0.0,0.0,0.0,0.0
1.8882468,0.0,0.0,0.0,0.0,0.0
1.9386687,0.0,0.0,0.0,0.0,0.0
1.989713,0.0,0.0,0.0,0.0,0.0
2.039747,0.0,0.0,0.0,0.0,0.0
2.0901299,0.0,0.0,0.0,0.0,0.0
2.140451,0.0,0.0,0.0,0.0,0.0
2.190954,0.0,0.0,0.0,0.0,0.0
2.2421277,0.0,0.0,0.0,0.0,0.0
2.2930725,0.0,0.0,0.0,0.0,0.0
2.343281,0.0,0.0,0.0,0.0,0.0
2.393909,0.0,0.0,0.0,0.0,0.0
2.4441633,0.0,0.0,0.0,0.0,0.0
2.494415,0.0,0.0,0.0,0.0,0.0
2.5448251,0.0,0.0,0.0,0.0,0.0
2.5963137,0.0,0.0,0.0,0.0,0.0
2.6460273,0.0,0.0,0.0,0.0,0.0
2.6967971,0.0,0.0,0.0,0.0,0.0
2.7478206,0.0,0.0,0.0,0.0,0.0
2.7985997,0.0,0.0,0.0,0.0,0.0
2.8489261,0.0,0.0,0.0,0.0,0.0
2.8993332,0.0,0.0,0.0,0.0,0.0
2.9498348,0.0,0.0,0.0,0.0,0.0
3.0006604,0.0,0.0,0.0,0.0,0.0
3.0501842,0.0,0.0,0.0,0.0,0.0
3.1017811,0.0,0.0,0.0,0.0,0.0
3.1525712,0.0,0.0,0.0,0.0,0.0
3.2027719,0.0,0.0,0.0,0.0,0.0
3.2534723,0.0,0.0,0.0,0.0,0.0
3.3038237,0.0,0.0,0.0,0.0,0.0
3.3547201,0.0,0.0,0.0,0.0,0.0
3.4057462,0.0,0.0,0.0,0.0,0.0
3.4554591,0.0,0.0,0.0,0.0,0.0
3.5062613,0.0,0.0,0.0,0.0,0.0
3.5567415,0.0,0.0,0.0,0.0,0.0
3.6070516,0.0,0.0,0.0,0.0,0.0
3.6575649,0.0,0.0,0.0,0.0,0.0
3.7081409,0.0,0.0,0.0,0.0,0.0
3.7594032,0.0,0.0,0.0,0.0,0.0
3.8102443,0.0,0.0,0.0,0.0,0.0
3.8600173,0.0,0.0,0.0,0.0,0.0
3.9108202,0.0,0.0,0.0,0.0,0.0
3.9618466,0.0,0.0,0.0,0.0,0.0
4.0127254,0.0,0.0,0.0,0.0,0.0
4.0624049,0.0,0.0,0.0,0.0,0.0
4.1138105,0.0,0.0,0.0,0.0,0.0
4.1643877,0.0,0.0,0.0,0.0,0.0
4.2142453,0.0,0.0,0.0,0.0,0.0
4.2652493,0.0,0.0,0.0,0.0,0.0
4.3161414,0.0,0.0,0.0,0.0,0.0
4.366574,0.0,0.0,0.0,0.0,0.0
4.4168344,0.0,0.0,0.0,0.0,0.0
4.4672432,0.0,0.0,0.0,0.0,0.0
4.5173848,0.0,0.0,0.0,0.0,0.0
4.5688801,0.0,0.0,0.0,0.0,0.0
4.6187096,0.0,0.0,0.0,0.0,0.0
4.6699791,0.0,0.0,0.0,0.0,0.0
4.7204089,0.0,0.0,0.0,0.0,0.0
4.7708397,0.0,0.0,0.0,0.0,0.0
4.8203733,0.0,0.0,0.0,0.0,0.0
4.8717601,0.0,0.0,0.0,0.0,0.0
