spi_time,die_temp_filtered,dqCommand_combined,outputSpeed_rpm
0.0,0.0053619302949061,0.4203318229118014,0.0004473272198613
10.0,0.0,0.4203318229118014,0.0004473272198613
20.0,0.1823056300268096,0.3767000737323492,0.2420040259449787
30.0,0.2654155495978553,0.5134752846361337,0.6933571907850592
40.0,0.2841823056300269,0.5170627371313639,0.6933571907850592
50.0,0.2949061662198392,0.5118684244326681,0.6944755088347125
60.0,0.2949061662198392,0.511836885404473,0.6946991724446432
70.0,0.2949061662198392,0.5151326541746134,0.6924625363453366
80.0,0.3083109919571046,0.514175517136792,0.6935808543949898
90.0,0.3083109919571046,0.5145538233235196,0.6944755088347125
100.0,0.3083109919571046,0.5158029448286489,0.6938045180049205
110.0,0.3083109919571046,0.5163483401466313,0.6935808543949898
120.0,0.3083109919571046,0.514175517136792,0.6942518452247819
130.0,0.3217158176943701,0.515095282232735,0.6938045180049205
140.0,0.3217158176943701,0.5158418658603628,0.6933571907850592
150.0,0.3270777479892762,0.5163483401466313,0.6935808543949898
160.0,0.3217158176943701,0.5168951951749623,0.6931335271751285
170.0,0.3270777479892762,0.5140138241246524,0.6935808543949898
180.0,0.3324396782841824,0.5170627371313639,0.6938045180049205
190.0,0.3324396782841824,0.5129049270018134,0.6938045180049205
200.0,0.3324396782841824,0.513635960660203,0.6940281816148512
210.0,0.3404825737265416,0.5140138241246524,0.6929098635651979
220.0,0.3458445040214478,0.5124025847901416,0.6953701632744352
230.0,0.3324396782841824,0.5145538233235196,0.6938045180049205
240.0,0.3324396782841824,0.5124025847901416,0.6944755088347125
250.0,0.3404825737265416,0.5158418658603628,0.6940281816148512
260.0,0.3458445040214478,0.5124025847901416,0.6931335271751285
270.0,0.3458445040214478,0.5170627371313639,0.6935808543949898
280.0,0.3458445040214478,0.5163483401466313,0.6915678819056139
290.0,0.3404825737265416,0.5145538233235196,0.6933571907850592
300.0,0.3458445040214478,0.5158029448286489,0.6929098635651979
310.0,0.3404825737265416,0.5151326541746134,0.6933571907850592
320.0,0.3458445040214478,0.5145538233235196,0.6935808543949898
330.0,0.3538873994638071,0.5134752846361337,0.6933571907850592
340.0,0.3538873994638071,0.5140138241246524,0.6944755088347125
350.0,0.3538873994638071,0.513635960660203,0.6926861999552673
360.0,0.3458445040214478,0.5129720991439319,0.6940281816148512
370.0,0.3538873994638071,0.5140138241246524,0.6935808543949898
380.0,0.3538873994638071,0.5129720991439319,0.6940281816148512
390.0,0.3538873994638071,0.513635960660203,0.6933571907850592
400.0,0.3538873994638071,0.512370176347969,0.6953701632744352
410.0,0.3538873994638071,0.5145903258514205,0.6938045180049205
420.0,0.3538873994638071,0.5124025847901416,0.6933571907850592
430.0,0.359249329758713,0.5140138241246524,0.6926861999552673
440.0,0.3646112600536192,0.5129720991439319,0.6926861999552673
450.0,0.359249329758713,0.5091923263422187,0.6958174904942965
460.0,0.359249329758713,0.5124025847901416,0.6949228360545738
470.0,0.3646112600536192,0.5124025847901416,0.6940281816148512
480.0,0.3646112600536192,0.5134752846361337,0.6935808543949898
490.0,0.359249329758713,0.513635960660203,0.6933571907850592
500.0,0.3726541554959784,0.5118684244326681,0.6929098635651979
510.0,0.359249329758713,0.5102457708360751,0.6949228360545738
520.0,0.3646112600536192,0.513635960660203,0.6951464996645045
530.0,0.3646112600536192,0.5129382048579635,0.6944755088347125
540.0,0.359249329758713,0.5145903258514205,0.6929098635651979
550.0,0.3646112600536192,0.514175517136792,0.6931335271751285
