spi_time,coil_temp_filtered
67200.0,0.79
67210.0,0.81
67220.0,0.8049999999999999
67230.0,0.79
67240.0,0.79
67250.0,0.7150000000000001
67260.0,0.7350000000000001
67270.0,0.7750000000000001
67280.0,0.7350000000000001
67290.0,0.69
67300.0,0.69
67310.0,0.71
67320.0,0.6799999999999999
67330.0,0.7
67340.0,0.7150000000000001
67350.0,0.685
67360.0,0.665
67370.0,0.69
67380.0,0.7
67390.0,0.675
67400.0,0.675
67410.0,0.71
67420.0,0.7150000000000001
67430.0,0.665
67440.0,0.72
67450.0,0.6950000000000001
67460.0,0.72
67470.0,0.7050000000000001
67480.0,0.74
67490.0,0.7550000000000001
67500.0,0.7350000000000001
67510.0,0.78
67520.0,0.7550000000000001
67530.0,0.8
67540.0,0.79
67550.0,0.8300000000000001
67560.0,0.8600000000000001
67570.0,0.8300000000000001
67580.0,0.8400000000000001
67590.0,0.8400000000000001
67600.0,0.8500000000000001
67610.0,0.855
67620.0,0.8700000000000001
67630.0,0.8600000000000001
67640.0,0.8600000000000001
67650.0,0.8800000000000001
67660.0,0.855
67670.0,0.8700000000000001
67680.0,0.8300000000000001
67690.0,0.8500000000000001
67700.0,0.845
67710.0,0.8300000000000001
67720.0,0.8400000000000001
67730.0,0.8200000000000001
67740.0,0.8200000000000001
67750.0,0.835
67760.0,0.8400000000000001
67770.0,0.8049999999999999
67780.0,0.8
67790.0,0.8
67800.0,0.7750000000000001
67810.0,0.7450000000000001
67820.0,0.74
67830.0,0.77
67840.0,0.7650000000000001
67850.0,0.79
67860.0,0.7650000000000001
67870.0,0.74
67880.0,0.7650000000000001
67890.0,0.7350000000000001
67900.0,0.6950000000000001
67910.0,0.69
67920.0,0.72
67930.0,0.6950000000000001
67940.0,0.685
67950.0,0.7350000000000001
67960.0,0.6950000000000001
67970.0,0.665
67980.0,0.6950000000000001
67990.0,0.7
68000.0,0.7050000000000001
68010.0,0.7350000000000001
68020.0,0.7
68030.0,0.685
68040.0,0.7050000000000001
68050.0,0.71
68060.0,0.72
68070.0,0.7650000000000001
68080.0,0.73
68090.0,0.74
68100.0,0.78
68110.0,0.7650000000000001
68120.0,0.8200000000000001
68130.0,0.75
68140.0,0.8049999999999999
68150.0,0.7550000000000001
68160.0,0.8049999999999999
68170.0,0.7850000000000001
68180.0,0.825
68190.0,0.815
68200.0,0.8400000000000001
68210.0,0.8600000000000001
68220.0,0.855
68230.0,0.885
68240.0,0.8800000000000001
68250.0,0.8900000000000001
68260.0,0.9000000000000001
68270.0,0.8900000000000001
68280.0,0.905
