Time (seconds),X,Y,Z
0.0,0.0023942016996443,1.7118542194366455,9.619902610778809
0.02,-0.1173158809542656,1.5298948287963867,9.713275909423828
0.04,-0.0502782352268695,1.6112977266311646,9.785101890563965
0.06,-0.0239420160651206,1.4053963422775269,9.780313491821287
0.08,-0.0311246216297149,1.4700398445129397,9.737217903137209
0.1,-0.0383072271943092,1.5849615335464478,9.725247383117676
0.12,0.0167594123631715,1.623268723487854,9.77791976928711
0.14,-0.0023942016996443,1.723825216293335,9.861717224121094
0.16,-0.0119710080325603,1.577778935432434,9.852140426635742
0.18,-0.1101332753896713,1.4437036514282229,9.952696800231934
0.2,-0.150834709405899,1.321599364280701,9.921571731567385
0.22,-0.0622492432594299,1.482010841369629,9.952696800231934
0.24,-0.1436520963907241,1.4101848602294922,9.888052940368652
0.26,-0.2106897532939911,1.7549498081207275,9.93354320526123
0.28,-0.1460463106632232,1.3886369466781616,9.701305389404297
0.3,-0.1340752989053726,1.623268723487854,9.619902610778809
0.32,-0.2011129409074783,1.5682021379470823,9.72285270690918
0.34,-0.0766144543886184,1.4245500564575195,9.5408935546875
0.36,-0.0766144543886184,1.644816517829895,9.622296333312988
0.38,-0.0670376494526863,1.6136919260025024,9.68694019317627
0.4,-0.1053448766469955,1.5107412338256836,9.775525093078612
0.42,-0.1101332753896713,1.6927006244659424,9.761159896850586
0.44,-0.0933738648891449,1.7717092037200928,9.780313491821287
0.46,-0.0670376494526863,1.525106430053711,9.804255485534668
0.48,-0.0646434426307678,1.4437036514282229,9.86889934539795
0.5,-0.0814028605818748,1.5610195398330688,9.847352027893066
0.52,-0.1101332753896713,1.5538369417190552,9.792284965515137
0.54,-0.1268926858901977,1.5873557329177856,9.765948295593262
0.56,-0.1292868852615356,1.599326729774475,9.794678688049316
0.58,-0.071826048195362,1.4915876388549805,9.770736694335938
0.6,-0.1244984865188598,1.5729905366897583,9.670180320739746
0.62,-0.0047884033992886,1.498770236968994,9.624691009521484
0.64,-0.1101332753896713,1.4628572463989258,9.560047149658203
0.66,0.0047884033992886,1.644816517829895,9.557653427124023
0.68,-0.0670376494526863,1.86508309841156,9.497797966003418
0.7,0.0215478148311376,1.869871497154236,9.397241592407228
0.72,-0.1412578970193863,1.7549498081207275,9.495404243469238
0.74,-0.3112462162971496,2.300827741622925,9.327810287475586
0.76,1.6927006244659424,3.622427225112915,3.869029998779297
0.78,3.7014358043670654,4.364629745483398,8.070854187011719
0.8,-0.9289502501487732,0.9624691009521484,10.72841739654541
0.82,-0.4165911078453064,0.7134721279144287,11.480196952819824
0.84,-1.429338455200195,0.2753331959247589,11.276689529418944
0.86,-0.9552865028381348,0.4046200811862945,11.379640579223633
0.88,1.3455413579940796,3.069366693496704,10.326191902160645
0.9,-0.237025961279869,0.8355764150619507,9.830592155456545
0.92,-0.8259995579719543,3.380612850189209,9.880870819091797
0.94,1.6304513216018677,-1.4915876388549805,9.296685218811035
0.96,0.4022258818149566,0.2920926213264465,8.192957878112793
0.98,-0.3663128614425659,3.8714241981506343,8.341399192810059
1.0,-0.2585737705230713,2.827552318572998,8.564059257507324
1.02,0.1316810995340347,1.482010841369629,8.698134422302246
1.04,-0.1747767180204391,1.7310078144073486,9.241618156433104
1.06,-0.1484405100345611,2.319981336593628,9.742006301879885
1.08,-0.181959331035614,2.1164743900299072,9.928754806518556
1.1,0.1867477297782898,1.9297266006469729,9.72285270690918
1.12,0.3447650372982025,2.1092917919158936,9.442731857299805
1.14,0.0814028605818748,1.7286136150360107,9.509769439697266
1.16,-0.0526724383234977,1.86508309841156,9.555258750915527
1.18,-0.0766144543886184,2.049436569213867,9.428366661071776
1.2,-0.0622492432594299,2.406172752380371,9.29189682006836
1.22,-0.0143652101978659,1.968033790588379,9.32302188873291
1.24,0.0430956296622753,2.0661959648132324,9.330204010009766
1.26,-0.0239420160651206,2.7748796939849854,9.191340446472168
1.28,-0.2298433631658554,2.7533318996429443,8.87051773071289
1.3,-0.2585737705230713,2.5785553455352783,8.561665534973145
1.32,-0.3926490843296051,3.0813376903533936,8.259995460510254
1.34,-0.6440402865409851,3.457227230072021,7.812280178070068
1.36,-0.8906430602073669,3.5266590118408203,7.469909191131592
1.38,-1.1516109704971311,3.1220390796661377,6.971915245056152
1.4,-1.0534487962722778,3.205836057662964,6.5265936851501465
1.42,-1.1516109704971311,3.567360639572144,6.04775333404541
1.44,-1.2832920551300049,3.552995204925537,5.853823184967041
1.46,-1.7525556087493896,3.227383852005005,5.640739440917969
1.48,-2.166752576828003,4.165910720825195,5.272032260894775
1.5,-2.911349296569824,4.357447147369385,4.869806289672852
1.52,-3.993528366088867,4.707000732421875,3.806780815124512
1.54,-5.631162166595459,4.721365928649902,2.274491548538208
1.56,-7.642292022705078,2.937685489654541,0.0694318488240242
1.58,-9.892841339111328,0.1867477297782898,-2.7126305103302
1.6,-13.146561622619627,-3.663128614425659,-4.565742492675781
1.62,-17.879898071289062,-8.949525833129883,-6.809109687805176
1.64,-20.623653411865234,-10.795455932617188,-5.468356609344482
1.66,-23.724143981933597,-7.778761386871338,-4.774038314819336
1.68,-25.9483585357666,-3.667917013168335,-7.137115478515625
1.7,-30.73197364807129,-3.1531636714935303,-7.960720539093018
1.72,-35.18279266357422,-6.229712963104248,-3.5003228187561035
1.74,-33.61698532104492,-6.172252178192139,-0.7158663272857666
1.76,-32.218772888183594,-10.06043529510498,-0.608127236366272
1.78,-27.502195358276367,-10.903194427490234,-2.8107926845550537
