spi_time,coil_temp_filtered
37800.0,0.135
37810.0,0.135
37820.0,0.14
37830.0,0.135
37840.0,0.135
37850.0,0.13
37860.0,0.13
37870.0,0.135
37880.0,0.135
37890.0,0.135
37900.0,0.135
37910.0,0.13
37920.0,0.13
37930.0,0.135
37940.0,0.13
37950.0,0.13
37960.0,0.14
37970.0,0.135
37980.0,0.135
37990.0,0.135
38000.0,0.14
38010.0,0.13
38020.0,0.135
38030.0,0.135
38040.0,0.135
38050.0,0.13
38060.0,0.135
38070.0,0.13
38080.0,0.13
38090.0,0.135
38100.0,0.13
38110.0,0.135
38120.0,0.13
38130.0,0.14
38140.0,0.13
38150.0,0.13
38160.0,0.13
38170.0,0.135
38180.0,0.13
38190.0,0.135
38200.0,0.135
38210.0,0.13
38220.0,0.13
38230.0,0.135
38240.0,0.135
38250.0,0.13
38260.0,0.13
38270.0,0.135
38280.0,0.135
38290.0,0.135
38300.0,0.13
38310.0,0.13
38320.0,0.13
38330.0,0.13
38340.0,0.135
38350.0,0.135
38360.0,0.135
38370.0,0.135
38380.0,0.13
38390.0,0.135
38400.0,0.135
38410.0,0.13
38420.0,0.135
38430.0,0.125
38440.0,0.13
38450.0,0.135
38460.0,0.13
38470.0,0.13
38480.0,0.13
38490.0,0.13
38500.0,0.135
38510.0,0.135
38520.0,0.13
38530.0,0.13
38540.0,0.13
38550.0,0.13
38560.0,0.135
38570.0,0.135
38580.0,0.13
38590.0,0.135
38600.0,0.135
38610.0,0.13
38620.0,0.135
38630.0,0.135
38640.0,0.135
38650.0,0.13
38660.0,0.13
38670.0,0.13
38680.0,0.13
38690.0,0.135
38700.0,0.135
38710.0,0.125
38720.0,0.13
38730.0,0.125
38740.0,0.13
38750.0,0.13
38760.0,0.135
38770.0,0.135
38780.0,0.135
38790.0,0.14
38800.0,0.13
38810.0,0.135
38820.0,0.13
38830.0,0.135
38840.0,0.135
38850.0,0.13
38860.0,0.13
38870.0,0.135
38880.0,0.135
38890.0,0.14
38900.0,0.13
38910.0,0.13
38920.0,0.135
38930.0,0.13
38940.0,0.13
38950.0,0.13
38960.0,0.14
38970.0,0.13
38980.0,0.135
38990.0,0.135
39000.0,0.135
39010.0,0.14
39020.0,0.135
39030.0,0.13
39040.0,0.13
39050.0,0.135
39060.0,0.13
39070.0,0.13
39080.0,0.135
39090.0,0.13
39100.0,0.13
39110.0,0.135
39120.0,0.13
39130.0,0.135
39140.0,0.135
39150.0,0.13
39160.0,0.135
39170.0,0.135
39180.0,0.135
39190.0,0.135
39200.0,0.13
39210.0,0.13
39220.0,0.14
39230.0,0.135
39240.0,0.135
39250.0,0.14
39260.0,0.135
39270.0,0.135
39280.0,0.135
39290.0,0.13
39300.0,0.13
39310.0,0.13
39320.0,0.13
39330.0,0.14
39340.0,0.135
39350.0,0.135
39360.0,0.13
39370.0,0.13
39380.0,0.13
39390.0,0.13
39400.0,0.13
39410.0,0.13
39420.0,0.13
39430.0,0.13
39440.0,0.13
39450.0,0.135
39460.0,0.135
39470.0,0.135
39480.0,0.135
39490.0,0.14
39500.0,0.135
39510.0,0.135
39520.0,0.13
39530.0,0.135
39540.0,0.13
39550.0,0.135
39560.0,0.135
39570.0,0.135
39580.0,0.13
39590.0,0.13
39600.0,0.13
39610.0,0.13
39620.0,0.13
39630.0,0.13
39640.0,0.14
39650.0,0.13
39660.0,0.13
39670.0,0.125
39680.0,0.135
39690.0,0.135
39700.0,0.13
39710.0,0.13
39720.0,0.135
39730.0,0.13
39740.0,0.135
39750.0,0.135
39760.0,0.13
39770.0,0.13
39780.0,0.135
39790.0,0.135
39800.0,0.135
39810.0,0.13
39820.0,0.135
39830.0,0.13
39840.0,0.13
39850.0,0.13
39860.0,0.13
39870.0,0.13
39880.0,0.13
39890.0,0.13
39900.0,0.13
39910.0,0.13
39920.0,0.135
39930.0,0.135
39940.0,0.13
39950.0,0.135
39960.0,0.14
39970.0,0.135
39980.0,0.135
39990.0,0.13
40000.0,0.135
