# Time (seconds),Pressure (envelope),Temperature (high-pass)
0.0078125,0.0,0.0
0.0234375,0.03827150911092758,0.010567426681518555
0.0390625,0.07193816316430457,0.003921860828995705
0.0546875,0.09966356009440958,0.012641898400033824
0.0703125,0.11989274123113625,0.01582842237951354
0.0859375,0.13620575970113025,0.00366879691017985
0.1015625,0.14991185385298275,-0.0003642844156246383
0.1171875,0.16297166817616268,0.00036526138547543496
0.1328125,0.17244612474191157,0.013488423444051989
0.1484375,0.17670019290959524,0.0002570294727455291
0.1640625,0.1825601592727013,0.005364629603359816
0.1796875,0.18749599025615746,0.0049517987301435085
0.1953125,0.1891837219706626,0.014390489740435441
0.2109375,0.19159217111200297,0.004800687101468526
0.2265625,0.19169085014031212,-0.003987495375273653
0.2421875,0.19022439103980776,-0.0003001345524857868
0.2578125,0.1877948813554245,5.799037337084201e-05
0.2734375,0.18642747737313448,-0.0021301319536135566
0.2890625,0.18475538431174254,0.0015351484275534233
0.3046875,0.1825464689460846,0.015375870572711392
0.3203125,0.17988149643759438,-0.0007846381855785012
0.3359375,0.17809098781595814,0.0028701305255260934
0.3515625,0.17584185078831333,0.017071342827481573
0.3671875,0.1738653508546336,0.0030701178896208603
0.3828125,0.17116667852502618,0.010350979834054641
0.3984375,0.16785075852908296,0.010270112804100506
0.4140625,0.16688622311555307,0.00288503030737175
0.4296875,0.16578470560928985,0.002506710883430685
0.4453125,0.16428336358414133,0.004674796481843657
0.4609375,0.16029587969051842,0.012654682124107808
0.4765625,0.15456306810277268,-0.0012968980722405377
0.4921875,0.14864750720008565,0.01621458816147836
0.5078125,0.14119624424065244,0.002590976323883609
0.5234375,0.13535852617747623,0.01534096985983524
0.5390625,0.12726417676315036,0.011572479807526292
0.5546875,0.11987101497164543,0.016947458107061664
0.5703125,0.11330489864779447,0.011349667792568852
0.5859375,0.11027620587539722,0.011631918217371862
0.6015625,0.10467573019325074,0.015545462706242574
0.6171875,0.0973762067133395,0.03219866816727901
0.6328125,0.09059153464258007,0.01663343113188276
0.6484375,0.07982136225484115,0.03363391696425566
0.6640625,0.06951935896354841,0.027534843985499435
0.6796875,0.058997785391921256,0.04410195219518087
0.6953125,0.05189503732709717,0.04119881671202563
0.7109375,0.04970676249144924,0.0664022824536552
0.7265625,0.04228800239930609,0.06734448407007676
0.7421875,0.04017324074905414,0.08285874005771987
0.7578125,0.034287977507593596,0.08658674470539651
0.7734375,0.02989279677555089,0.09612193231924238
0.7890625,0.03492696629756521,0.10922369521524544
0.8046875,0.03260797119349767,0.11712106220513974
0.8203125,0.038322869148125265,0.12751531999705534
0.8359375,0.034032027891850454,0.13964512222272418
0.8515625,0.02977155239454466,0.1538678296456979
0.8671875,0.028244326565881873,0.1708937912732189
0.8828125,0.031382932586382764,0.17758266080856444
0.8984375,0.027796474072504823,0.19624009989038171
0.9140625,0.028896287129785925,0.1965388632625107
0.9296875,0.029745997002133526,0.21688009616518755
0.9453125,0.034528472818494804,0.22246785828468418
0.9609375,0.03648135431322799,0.22948050525059926
0.9765625,0.03802298523566217,0.23935273501838594
0.9921875,0.04073447354522485,0.2713954504674625
1.0078125,0.03559732467639753,0.2918861359015814
1.0234375,0.03909328057456559,0.3030875712526644
1.0390625,0.038312896674644076,0.32005294297231046
1.0546875,0.033124334980780455,0.33505388357286847
1.0703125,0.028073408243605262,0.3477499600477927
1.0859375,0.025511039388034593,0.3650779671043054
1.1015625,0.023364450993241245,0.3804689891127033
1.1171875,0.02011688493632488,0.3869739520731308
1.1328125,0.021174522264673177,0.40728838029255954
1.1484375,0.019862296267301186,0.4216077940390548
1.1640625,0.018538456387949407,0.4380030066428411
1.1796875,0.01942511216511216,0.4597355199462072
1.1953125,0.01933808197448198,0.4638044635617362
1.2109375,0.018026379505535088,0.4860621028120171
1.2265625,0.01616076532251534,0.49757842757413684
1.2421875,0.021829279655178595,0.5181263778622522
1.2578125,0.02191399288153688,0.5359552083071151
1.2734375,0.018663230866444502,0.5452498540300255
1.2890625,0.016615089554335737,0.5293250433303598
1.3046875,0.017619058144496505,0.5547194417764771
1.3203125,0.015553383838015954,0.571543258870296
1.3359375,0.015031310426593194,0.5787431233754319
1.3515625,0.013280320136871518,0.6037514430711965
1.3671875,0.013249923859294365,0.6169069088441681
1.3828125,0.012653282213418089,0.6146307730206786
1.3984375,0.011438498481793988,0.6225992056449385
1.4140625,0.009921761789014782,0.6541836876542106
1.4296875,0.009751925820306432,0.686634175011104
1.4453125,0.009866862973077989,0.7180893035266429
1.4609375,0.009548466189054111,0.7172254891016614
1.4765625,0.00982630551117528,0.7251191003356396
1.4921875,0.008819954537902632,0.7413308001361791
1.5078125,0.00753039167417314,0.7475675493897249
1.5234375,0.009825466688410119,0.7588576124232098
1.5390625,0.009599622398778455,0.7642383034165441
1.5546875,0.010827225782458866,0.7637406497590256
1.5703125,0.011416953405763191,0.7734433909977874
1.5859375,0.01179517207021626,0.7681351341246057
1.6015625,0.012530238662103137,0.7898395093737527
1.6171875,0.011307996469752661,0.7927829152300845
1.6328125,0.010961141369329007,0.8095636110103008
1.6484375,0.013326208445019243,0.8094309834264202
1.6640625,0.012502400080814352,0.8042049234019366
1.6796875,0.01181078485583599,0.8092313385282566
1.6953125,0.013474754634241427,0.8087455266984769
1.7109375,0.01490369085658056,0.8199285564886729
1.7265625,0.014198280901976768,0.8291923297061068
1.7421875,0.013277510588715302,0.8281796529283163
1.7578125,0.011295704283809266,0.84214036229341
1.7734375,0.012310355302467612,0.8297172629206315
1.7890625,0.012056271595061533,0.8454827092804145
1.8046875,0.010200060699810587,0.8472571330184877
1.8203125,0.010082668245587288,0.8548615718634665
1.8359375,0.010637368010175088,0.8441785469833363
1.8515625,0.009476849007821328,0.8488775285956471
1.8671875,0.009039543055709599,0.8495429503540599
1.8828125,0.010679240109377203,0.8629506996738066
1.8984375,0.012778491078707675,0.875542140702656
1.9140625,0.011699050475356392,0.8792693944099348
1.9296875,0.010611400293566296,0.8713100525224498
1.9453125,0.010978952483812596,0.8699683310351567
1.9609375,0.010062001678411517,0.8766686388165326
1.9765625,0.010170374478071622,0.8822114111199291
1.9921875,0.010032630527695898,0.8986567966905596
2.0078125,0.011552447060870233,0.8941946294480445
2.0234375,0.012924098843860305,0.8864668944966105
2.0390625,0.01184072316607315,0.8948550568236904
2.0546875,0.01042869634736761,0.8907935103783196
2.0703125,0.013389705347335372,0.896218362332764
2.0859375,0.014847491262053513,0.8837512680790027
2.1015625,0.012885103739733826,0.8907072465792716
2.1171875,0.011213005722984344,0.9081687383891328
2.1328125,0.01288116692394633,0.8959716317369875
2.1484375,0.013483189472707699,0.9163215042238697
2.1640625,0.01451980721978003,0.910260362005662
2.1796875,0.012759698909964486,0.8987736143731091
