Time (seconds),X,Y,Z
0.0,2.233790159225464,-6.224924564361572,-6.184223175048828
0.02,2.322375535964966,-6.366182327270508,-5.961562156677246
0.04,2.4013843536376958,-7.000645637512207,-6.162675380706787
0.06,2.80361008644104,-6.8809356689453125,-5.959167957305908
0.08,2.9520506858825684,-8.018181800842285,-5.408501625061035
0.1,2.389413356781006,-9.502586364746094,-4.666299343109131
0.12,2.0374655723571777,-10.30703830718994,-3.581725835800171
0.14,2.2218191623687744,-10.134655952453612,-3.2082302570343018
0.16,2.652775526046753,-9.29429054260254,-4.10366153717041
0.18,2.468421936035156,-9.469067573547363,-4.599261283874512
0.2,1.968033790588379,-8.947132110595703,-3.93367338180542
0.22,1.5442601442337036,-10.24239444732666,-2.873042106628418
0.24,1.5753847360610962,-11.987768173217772,-2.279279947280884
0.26,1.3670891523361206,-11.338939666748049,-2.827552318572998
0.28,1.314416766166687,-11.444284439086914,-3.442862033843994
0.3,1.256955862045288,-10.74996566772461,-3.469198226928711
0.32,1.0414776802062988,-10.249577522277832,-3.4189200401306152
0.34,1.4077905416488647,-9.437943458557127,-3.6559460163116455
0.36,1.4748282432556152,-8.731653213500977,-3.811569213867188
0.38,1.2832920551300049,-9.344569206237791,-3.406949043273926
0.4,1.0342950820922852,-9.761159896850586,-3.2848446369171143
0.42,1.000776290893555,-9.852140426635742,-3.066972494125366
0.44,0.9193734526634216,-9.5624418258667,-2.6862943172454834
0.46,1.05105459690094,-9.758766174316406,-2.8203697204589844
0.48,1.1061211824417114,-9.763554573059082,-2.9712042808532715
0.5,1.2856862545013428,-9.47146224975586,-3.337517261505127
0.52,1.3455413579940796,-9.346963882446287,-2.7964274883270264
0.54,1.1827356815338137,-9.457097053527832,-2.631227731704712
0.56,1.2761094570159912,-9.287108421325684,-2.28406834602356
0.58,1.2856862545013428,-9.651026725769045,-2.8395233154296875
0.6,1.256955862045288,-9.50498104095459,-3.112462282180786
0.62,1.3263877630233765,-9.224859237670898,-2.889801502227783
0.64,1.4053963422775269,-9.284713745117188,-3.0095114707946777
0.66,1.3886369466781616,-9.373299598693848,-3.1747114658355717
0.68,1.460463047027588,-9.42597198486328,-3.129221677780152
0.7,1.4221558570861816,-9.375694274902344,-3.110068082809448
0.72,1.3742717504501345,-9.361329078674316,-3.0334534645080566
0.74,1.2976573705673218,-9.617507934570312,-2.942473888397217
0.76,1.3048399686813354,-9.828198432922363,-3.31118106842041
0.78,1.381454348564148,-9.636661529541016,-3.325546264648437
0.8,1.580173134803772,-9.332598686218262,-3.1914708614349365
0.82,1.45806884765625,-9.248801231384276,-3.126827478408813
0.84,1.4437036514282229,-9.138668060302734,-2.932897090911865
0.86,1.599326729774475,-9.071630477905272,-3.2824504375457764
0.88,1.6304513216018677,-9.344569206237791,-3.378218650817871
0.9,1.53707754611969,-9.469067573547363,-3.19865345954895
0.92,1.4628572463989258,-9.51455783843994,-3.124433279037476
0.94,1.436521053314209,-9.241618156433104,-3.1316158771514893
0.96,1.4508862495422363,-9.339780807495115,-3.3494882583618164
0.98,1.5155296325683594,-9.263166427612305,-3.469198226928711
1.0,1.5442601442337036,-9.442731857299805,-3.533841609954834
1.02,1.577778935432434,-9.363722801208496,-3.332728862762451
1.04,1.4628572463989258,-9.251194953918455,-3.0837318897247314
1.06,1.434126853942871,-9.258378028869627,-2.983175277709961
1.08,1.3407529592514038,-9.196128845214844,-2.9472622871398926
1.1,1.4269442558288574,-9.543288230895996,-3.2154128551483154
1.12,1.5418659448623655,-9.404424667358398,-3.35667085647583
1.14,1.659181833267212,-9.399636268615724,-3.318363666534424
1.16,1.623268723487854,-9.186552047729492,-3.138798475265503
1.18,1.5155296325683594,-9.162610054016112,-3.0861260890960693
1.2,1.5658079385757446,-9.059659004211426,-3.066972494125366
1.22,1.5753847360610962,-9.260771751403809,-3.335123062133789
1.24,1.5083470344543457,-9.478644371032717,-3.770867586135864
1.26,1.5538369417190552,-9.57201862335205,-3.663128614425659
1.28,1.5921441316604614,-9.57201862335205,-3.112462282180786
1.3,1.594538331031799,-9.44991397857666,-2.959233283996582
1.32,1.4269442558288574,-9.299078941345217,-2.964021682739258
1.34,1.3000515699386597,-9.181763648986816,-2.980781078338623
1.36,1.338358759880066,-9.172186851501465,-3.608062028884888
1.38,1.3766659498214722,-9.150638580322266,-3.2297780513763428
1.4,1.1827356815338137,-8.918401718139648,-2.4181437492370605
1.42,1.2330138683319092,-9.172186851501465,-2.3319525718688965
1.44,1.2689268589019775,-9.768342971801758,-2.935291290283203
1.46,1.2521674633026123,-10.017339706420898,-3.354276657104492
1.48,1.1228805780410769,-10.137049674987791,-3.488351821899414
1.5,1.3982137441635132,-9.3828763961792,-2.911349296569824
1.52,1.3694833517074585,-9.2033109664917,-2.956839084625244
1.54,1.45806884765625,-9.239224433898926,-3.047818660736084
1.56,1.4844050407409668,-9.289502143859863,-2.983175277709961
1.58,1.482010841369629,-9.318233489990234,-3.0095114707946777
1.6,1.434126853942871,-9.313444137573242,-3.021482467651367
1.62,1.414973258972168,-9.370905876159668,-3.162740468978882
1.64,1.4939818382263184,-9.241618156433104,-3.160346269607544
1.66,1.429338455200195,-9.370905876159668,-3.287238836288452
1.68,1.400607943534851,-9.308655738830566,-3.287238836288452
1.7,1.3670891523361206,-9.373299598693848,-3.263296842575073
1.72,1.3718775510787964,-9.466673851013184,-3.337517261505127
1.74,1.3000515699386597,-9.502586364746094,-3.117250680923462
1.76,1.2449848651885986,-9.064447402954102,-2.6408045291900635
1.78,1.2066776752471924,-9.217676162719728,-2.6886885166168213
1.8,1.290474772453308,-9.402029991149902,-3.0861260890960693
1.82,1.3407529592514038,-9.469067573547363,-3.514688014984131
1.84,1.5442601442337036,-9.622296333312988,-3.588908433914185
1.86,1.558625340461731,-9.495404243469238,-3.581725835800171
1.88,1.6065093278884888,-9.342175483703612,-3.315969467163086
1.9,1.5083470344543457,-9.14345645904541,-3.0765492916107178
1.92,1.3982137441635132,-9.2033109664917,-3.1914708614349365
1.94,1.316810965538025,-9.32541561126709,-3.3303346633911133
1.96,1.259350061416626,-9.567230224609377,-3.445256233215332
1.98,1.1779472827911377,-9.531316757202148,-3.5242648124694824
2.0,1.1540051698684692,-9.301473617553713,-3.339911460876465
2.02,1.2856862545013428,-9.26795482635498,-3.16513466835022
2.04,1.321599364280701,-9.464279174804688,-3.19865345954895
2.06,1.4652514457702637,-9.311050415039062,-3.2776620388031006
2.08,1.5179238319396973,-9.311050415039062,-3.332728862762451
2.1,1.5514427423477173,-9.181763648986816,-3.315969467163086
2.12,1.522712230682373,-9.030928611755373,-3.45962142944336
2.14,1.4221558570861816,-9.186552047729492,-3.383007049560547
2.16,1.3694833517074585,-9.481039047241213,-3.205836057662964
2.18,1.235408067703247,-9.519346237182615,-3.0550012588500977
2.2,1.3096283674240112,-9.476250648498535,-2.96162748336792
2.22,1.292868971824646,-9.351752281188965,-3.3877954483032227
2.24,1.3048399686813354,-9.260771751403809,-3.4787750244140625
2.26,1.1899182796478271,-9.361329078674316,-3.265691041946411
2.28,1.237802267074585,-9.57441234588623,-3.117250680923462
2.3,1.2186486721038818,-9.526528358459473,-2.9233202934265137
2.32,1.168370485305786,-9.406818389892578,-2.940079689025879
2.34,1.1803414821624756,-9.258378028869627,-2.827552318572998
2.36,1.1563993692398071,-9.497797966003418,-3.485957622528076
2.38,1.237802267074585,-9.442731857299805,-3.313575267791748
2.4,1.213860273361206,-9.387664794921877,-2.8778305053710938
2.42,1.1635819673538208,-9.186552047729492,-2.451662540435791
2.44,1.2473790645599363,-9.411606788635254,-2.892195701599121
2.46,1.216254472732544,-9.53849983215332,-3.313575267791748
2.48,1.292868971824646,-9.418789863586426,-3.332728862762451
2.5,1.280897855758667,-9.402029991149902,-3.220201253890991
2.52,1.3024457693099976,-9.390059471130373,-3.2297780513763428
2.54,1.278503656387329,-9.315838813781738,-3.05260705947876
2.56,1.273715257644653,-9.39245319366455,-3.1747114658355717
2.58,1.273715257644653,-9.490615844726562,-3.361459255218506
2.6,1.2282254695892334,-9.24640655517578,-3.3303346633911133
2.62,1.1755530834197998,-9.363722801208496,-3.287238836288452
2.64,1.1228805780410769,-9.5408935546875,-3.2297780513763428
2.66,1.1635819673538208,-9.430760383605955,-3.3423056602478027
2.68,1.1971008777618408,-9.500192642211914,-3.359065055847168
2.7,1.1779472827911377,-9.373299598693848,-3.3470940589904785
2.72,1.290474772453308,-9.186552047729492,-3.222595453262329
2.74,1.2641384601593018,-9.035717010498049,-3.126827478408813
2.76,1.2210428714752195,-9.35893440246582,-3.25611424446106
2.78,1.3862427473068235,-9.339780807495115,-3.464409828186035
2.8,1.381454348564148,-9.38048267364502,-3.4308910369873047
2.82,1.290474772453308,-9.402029991149902,-3.335123062133789
2.84,1.4628572463989258,-9.330204010009766,-3.57214903831482
2.86,1.4460978507995603,-9.198522567749023,-3.4189200401306152
2.88,1.5658079385757446,-9.148244857788086,-3.56017804145813
2.9,1.5131354331970217,-9.15542697906494,-3.5266590118408203
2.92,1.5322890281677246,-9.282320022583008,-3.5218706130981445
2.94,1.3838485479354858,-9.282320022583008,-3.5649664402008057
2.96,1.3120225667953491,-9.306262016296388,-3.258508443832397
2.98,1.3886369466781616,-9.33499240875244,-3.691859006881714
3.0,1.4844050407409668,-9.17697525024414,-3.665522813796997
3.02,1.50355863571167,-9.248801231384276,-3.612850427627564
3.04,1.4053963422775269,-9.330204010009766,-3.265691041946411
3.06,1.3048399686813354,-9.476250648498535,-2.9759926795959477
3.08,1.2066776752471924,-9.435548782348633,-3.004723072052002
3.1,1.3287819623947144,-9.423578262329102,-3.4332852363586426
3.12,1.292868971824646,-9.399636268615724,-3.519476413726806
3.14,1.436521053314209,-9.284713745117188,-3.064578056335449
3.16,1.2976573705673218,-9.29189682006836,-2.738966703414917
3.18,1.2713210582733154,-9.373299598693848,-2.7246015071868896
3.2,1.357512354850769,-9.421183586120604,-3.19865345954895
3.22,1.2713210582733154,-9.32541561126709,-2.983175277709961
3.24,1.2761094570159912,-9.478644371032717,-3.3279404640197754
3.26,1.3072341680526731,-9.263166427612305,-3.21062445640564
3.28,1.2761094570159912,-9.277531623840332,-3.4763808250427246
3.3,1.2832920551300049,-9.437943458557127,-3.332728862762451
3.32,1.2976573705673218,-9.418789863586426,-3.2082302570343018
3.34,1.280897855758667,-9.361329078674316,-2.964021682739258
3.36,1.259350061416626,-9.330204010009766,-3.066972494125366
3.38,1.3694833517074585,-9.418789863586426,-3.3231520652771
3.4,1.4245500564575195,-9.366117477416992,-3.339911460876465
3.42,1.3646949529647827,-9.275136947631836,-3.361459255218506
3.44,1.3503297567367554,-9.342175483703612,-3.272873640060425
3.46,1.3886369466781616,-9.459490776062012,-3.375824451446533
3.48,1.4484920501708984,-9.445125579833984,-3.354276657104492
3.5,1.37906014919281,-9.253589630126951,-3.3686418533325195
3.52,1.4101848602294922,-9.272743225097656,-3.220201253890991
3.54,1.41257905960083,-9.227252960205078,-3.177105665206909
3.56,1.3958195447921753,-9.32541561126709,-3.181894063949585
3.58,1.3742717504501345,-9.344569206237791,-3.3470940589904785
3.6,1.357512354850769,-9.253589630126951,-3.581725835800171
3.62,1.403002142906189,-9.387664794921877,-3.2297780513763428
3.64,1.45806884765625,-9.29429054260254,-3.3039982318878174
3.66,1.3886369466781616,-9.23682975769043,-3.2752678394317627
3.68,1.4245500564575195,-9.21288776397705,-3.2345664501190186
3.7,1.3431471586227417,-9.255983352661133,-3.3470940589904785
3.72,1.3311761617660522,-9.452308654785156,-3.3016040325164795
3.74,1.3311761617660522,-9.411606788635254,-3.1747114658355717
3.76,1.3024457693099976,-9.394847869873049,-3.2752678394317627
3.78,1.314416766166687,-9.277531623840332,-3.265691041946411
3.8,1.3551181554794312,-9.131484985351562,-3.2297780513763428
3.82,1.3551181554794312,-9.311050415039062,-3.2537200450897217
3.84,1.4053963422775269,-9.433155059814451,-3.248931646347046
3.86,1.4197616577148438,-9.337387084960938,-3.292027235031128
3.88,1.3670891523361206,-9.406818389892578,-3.3518824577331543
3.9,1.357512354850769,-9.406818389892578,-3.361459255218506
3.92,1.4700398445129397,-9.265560150146484,-3.421314239501953
3.94,1.434126853942871,-9.287108421325684,-3.335123062133789
3.96,1.3958195447921753,-9.301473617553713,-3.136404275894165
3.98,1.3646949529647827,-9.349357604980469,-3.1938650608062744
4.0,1.359906554222107,-9.406818389892578,-3.3016040325164795
4.02,1.4460978507995603,-9.490615844726562,-3.423708438873291
4.04,1.4772224426269531,-9.402029991149902,-3.1435868740081787
4.06,1.3407529592514038,-9.346963882446287,-2.631227731704712
4.08,1.261744260787964,-9.387664794921877,-2.3104045391082764
4.1,1.1563993692398071,-9.552865028381348,-2.470816135406494
4.12,1.2545616626739502,-9.66299819946289,-2.8610711097717285
4.14,1.4245500564575195,-9.351752281188965,-3.095702886581421
4.16,1.2330138683319092,-9.210494041442873,-3.1507694721221924
4.18,1.1971008777618408,-9.51455783843994,-2.9975404739379883
4.2,1.1851298809051514,-9.615114212036133,-3.004723072052002
