# Time (seconds),f0
0.0078125,952.950439453125
0.0234375,952.9415893554688
0.0390625,952.9373779296875
0.0546875,952.9356689453125
0.0703125,952.950439453125
0.0859375,952.9379272460938
0.1015625,952.9379272460938
0.1171875,952.9202270507812
0.1328125,952.9458618164062
0.1484375,952.9395751953125
0.1640625,952.9285888671875
0.1796875,952.9255981445312
0.1953125,952.9405517578125
0.2109375,952.9548950195312
0.2265625,952.9403076171875
0.2421875,952.9443359375
0.2578125,952.9348754882812
0.2734375,952.9389038085938
0.2890625,952.9412231445312
0.3046875,952.9417724609375
0.3203125,952.9473876953125
0.3359375,952.9417114257812
0.3515625,952.9383544921875
0.3671875,952.9249267578125
0.3828125,952.9352416992188
0.3984375,952.9100341796875
0.4140625,952.9398193359375
0.4296875,952.9133911132812
0.4453125,952.9328002929688
0.4609375,952.921875
0.4765625,952.9385986328125
0.4921875,952.9351196289062
0.5078125,952.9110717773438
0.5234375,952.935546875
0.5390625,952.9369506835938
0.5546875,952.94091796875
0.5703125,952.9417114257812
0.5859375,952.9401245117188
0.6015625,952.9334106445312
0.6171875,952.9344482421875
0.6328125,952.93505859375
0.6484375,952.941162109375
0.6640625,952.9481811523438
0.6796875,952.9219360351562
0.6953125,952.9458618164062
0.7109375,952.911865234375
0.7265625,952.9362182617188
0.7421875,952.935302734375
0.7578125,952.905517578125
0.7734375,952.9528198242188
0.7890625,952.9412231445312
0.8046875,952.913330078125
0.8203125,952.9422607421875
0.8359375,952.9376220703125
0.8515625,952.9255981445312
0.8671875,952.9356689453125
0.8828125,952.9174194335938
0.8984375,952.9458618164062
0.9140625,952.9366455078125
0.9296875,952.923095703125
0.9453125,952.9400634765625
0.9609375,952.9386596679688
0.9765625,952.9364013671875
0.9921875,952.9418334960938
1.0078125,952.9408569335938
1.0234375,952.9400024414062
1.0390625,952.9121704101562
1.0546875,952.9278564453125
1.0703125,952.9303588867188
1.0859375,952.9359741210938
1.1015625,952.923828125
1.1171875,952.9423828125
1.1328125,952.9398803710938
1.1484375,952.9381103515625
1.1640625,952.936767578125
1.1796875,952.9371948242188
1.1953125,952.9278564453125
1.2109375,952.9385986328125
1.2265625,952.9361572265625
1.2421875,952.947265625
1.2578125,952.9083862304688
1.2734375,952.9624633789062
1.2890625,952.9116821289062
1.3046875,953.0132446289062
1.3203125,952.9907836914062
1.3359375,953.0771484375
1.3515625,953.0496826171875
1.3671875,953.0714111328125
1.3828125,952.9868774414062
1.3984375,953.0569458007812
1.4140625,952.9561767578125
1.4296875,952.9403076171875
1.4453125,953.0123901367188
1.4609375,952.923095703125
1.4765625,952.972412109375
1.4921875,952.918701171875
1.5078125,953.0574951171875
1.5234375,952.9922485351562
1.5390625,952.9194946289062
1.5546875,953.044677734375
1.5703125,952.99169921875
1.5859375,952.9835205078125
1.6015625,952.9415283203125
1.6171875,952.9129638671875
1.6328125,952.9400634765625
1.6484375,952.9442138671875
1.6640625,953.02294921875
1.6796875,952.9578857421875
1.6953125,953.0328979492188
1.7109375,953.0372924804688
1.7265625,953.0128784179688
1.7421875,953.0360107421875
1.7578125,953.1228637695312
1.7734375,953.0140380859375
1.7890625,953.0979614257812
1.8046875,952.9512329101562
1.8203125,953.0137939453125
1.8359375,953.080078125
1.8515625,953.1150512695312
1.8671875,953.1326904296875
1.8828125,953.0706176757812
1.8984375,953.1102294921875
1.9140625,953.1429443359375
1.9296875,953.0905151367188
1.9453125,953.040771484375
1.9609375,953.024169921875
1.9765625,953.0064697265625
1.9921875,953.0477905273438
2.0078125,953.0140380859375
2.0234375,952.9222412109375
2.0390625,953.0087890625
2.0546875,953.0045776367188
2.0703125,952.9947509765625
2.0859375,953.0235595703125
2.1015625,953.0050048828125
2.1171875,953.0479736328125
2.1328125,953.1085815429688
2.1484375,953.0455932617188
2.1640625,953.0658569335938
2.1796875,953.0927124023438
2.1953125,953.0907592773438
2.2109375,953.1161499023438
2.2265625,953.0864868164062
2.2421875,953.1063232421875
2.2578125,952.9815673828125
2.2734375,953.0574951171875
2.2890625,953.2207641601562
2.3046875,953.166015625
2.3203125,953.009521484375
2.3359375,953.1607666015625
2.3515625,953.078125
2.3671875,953.1759033203125
2.3828125,953.279296875
2.3984375,953.1235961914062
2.4140625,953.2073364257812
2.4296875,953.375732421875
2.4453125,953.31982421875
2.4609375,953.2793579101562
2.4765625,953.1085815429688
2.4921875,953.6510009765625
2.5078125,953.1190185546875
2.5234375,953.319091796875
2.5390625,953.3505859375
2.5546875,953.3637084960938
2.5703125,953.3419799804688
2.5859375,953.462646484375
2.6015625,953.6192016601562
2.6171875,953.4027099609375
2.6328125,953.3717041015625
2.6484375,954.1337280273438
2.6640625,953.568115234375
2.6796875,953.5809326171875
2.6953125,953.5916137695312
2.7109375,953.4515991210938
2.7265625,953.6229248046875
2.7421875,953.2807006835938
2.7578125,953.1369018554688
2.7734375,953.4263305664062
2.7890625,953.3720092773438
2.8046875,953.189208984375
2.8203125,953.1184692382812
2.8359375,953.043701171875
2.8515625,953.0192260742188
2.8671875,953.015625
2.8828125,953.0220336914062
2.8984375,953.0162963867188
2.9140625,953.001220703125
2.9296875,953.0195922851562
2.9453125,953.0132446289062
2.9609375,952.9923095703125
2.9765625,953.0001220703125
2.9921875,953.0060424804688
3.0078125,953.0064697265625
3.0234375,952.9982299804688
3.0390625,952.9806518554688
3.0546875,953.0011596679688
3.0703125,952.98974609375
3.0859375,952.9905395507812
3.1015625,952.9702758789062
3.1171875,952.9775390625
