Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,-6.44273695,-11.80049641,18.24323336,105.07827,-137.5561205,32.47785053
0.00025,-5.065449767,-12.90140207,17.96685184,112.6531677,-133.4282695,20.77510177
0.0005,-3.694951027,-13.87791687,17.5728679,120.1944046,-129.6015223,9.407117696
0.00075,-2.268524132,-14.76261806,17.03114219,126.0786057,-124.8583874,-1.220218276
0.001,-0.846389742,-15.53773899,16.38412873,131.5235291,-119.8441498,-11.67937929
0.00125,0.534914951,-16.20962005,15.6747051,137.3174438,-114.5906189,-22.72682491
0.0015,1.914421037,-16.78757701,14.87315597,142.288269,-108.5263366,-33.76193244
0.00175,3.330766554,-17.26948594,13.93871939,145.1739655,-101.3110352,-43.86293027
0.002,4.750370931,-17.66720007,12.91682914,146.7048187,-92.88871471,-53.81610401
0.00225,6.142682179,-17.97733416,11.83465198,147.4314728,-83.48252632,-63.94894646
0.0025,7.474606293,-18.19269103,10.71808474,147.9560394,-73.42431306,-74.53172637
0.00275,8.793262905,-18.3153912,9.522128292,146.8500977,-62.29681367,-84.55328399
0.003,10.05281517,-18.3407756,8.287960424,145.0730743,-50.51391723,-94.55915711
0.00325,11.20247298,-18.22400125,7.02152827,143.4410858,-39.30806281,-104.133023
0.0035,12.3171611,-18.02852774,5.711366646,140.2812958,-26.96236174,-113.318934
0.00375,13.33851473,-17.69047276,4.351958029,136.4769592,-15.15563577,-121.3213235
0.004,14.24570722,-17.21532953,2.969622303,132.4649353,-4.013816296,-128.451119
0.00425,15.03783227,-16.62087473,1.583042455,128.2667847,6.701713602,-134.9684983
0.0045,15.75888676,-15.95237674,0.193489982,122.9360046,18.07171873,-141.0077234
0.00475,16.36023704,-15.15398607,-1.206250974,117.2192001,28.57344004,-145.7926402
0.005,16.90672849,-14.25913033,-2.64759816,109.5625687,39.17868602,-148.7412547
0.00525,17.34064091,-13.26188433,-4.078756584,101.3451004,49.20331348,-150.5484139
0.0055,17.67853702,-12.1597076,-5.518829415,92.04995728,58.55724206,-150.6071993
0.00575,17.92324711,-10.99576016,-6.927486948,81.8704071,67.90056614,-149.7709732
0.006,18.08234854,-9.787386319,-8.294962222,70.70035553,77.4395352,-148.1398907
0.00625,18.16094039,-8.534164529,-9.626775857,58.38251114,87.01782793,-145.4003391
0.0065,18.13008126,-7.256402084,-10.87367918,45.82542419,96.60916701,-142.4345912
0.00675,17.98346344,-5.937176524,-12.04628692,33.09440613,105.6441502,-138.7385563
0.007,17.70795606,-4.566755249,-13.14120081,20.50781631,113.6243023,-134.1321186
0.00725,17.2488062,-3.141754492,-14.10705171,9.550539017,119.8535774,-129.4041164
0.0075,16.69413651,-1.716331325,-14.97780519,-1.596573591,125.7748732,-124.1782996
0.00775,16.06209334,-0.320523815,-15.74156953,-13.10050488,131.8711955,-118.7706906
0.008,15.34920845,1.023242081,-16.37245053,-24.60479927,138.3280719,-113.7232726
0.00825,14.53803691,2.427511186,-16.96554809,-36.36238861,142.6709189,-106.3085303
0.0085,13.59953943,3.843626793,-17.44316622,-47.10833359,145.3575291,-98.24919556
0.00875,12.56641391,5.272857546,-17.83927145,-57.54613113,146.370755,-88.82462391
0.009,11.48178344,6.663165064,-18.1449485,-68.25700378,146.7829909,-78.52598711
0.00925,10.33247119,8.009892963,-18.34236415,-78.68863678,146.37286,-67.68422321
0.0095,9.111729053,9.325734301,-18.43746335,-88.5681839,144.6427936,-56.0746097
0.00975,7.827083219,10.57683968,-18.4039229,-97.64104462,142.0850268,-44.44398218
0.01,6.522206366,11.74755817,-18.26976453,-106.7312241,139.1319786,-32.4007545
0.01025,5.127978523,12.86073434,-17.98871286,-113.9797974,134.6674127,-20.68761535
0.0105,3.742264827,13.85671173,-17.59897655,-121.2875519,130.374348,-9.086796101
0.01075,2.331540182,14.74014453,-17.07168472,-127.594696,125.777993,1.816703008
0.011,0.905585271,15.5148395,-16.42042477,-132.9593964,120.7492833,12.21011305
0.01125,-0.480429636,16.17529796,-15.69486833,-138.5666809,115.681848,22.88483287
0.0115,-1.888789197,16.75790816,-14.86911896,-142.8312378,109.323203,33.50803476
0.01175,-3.313550057,17.26182008,-13.94827002,-145.6668091,101.632446,44.03436311
0.012,-4.759844861,17.67645846,-12.9166136,-146.6248932,92.68787698,53.93701621
0.01225,-6.17885389,18.00055335,-11.82169946,-146.7465363,82.80952958,63.93700668
0.0125,-7.531627013,18.20279628,-10.67116927,-146.6105347,72.83188583,73.77864883
0.01275,-8.840908247,18.33522438,-9.494316136,-145.8015137,61.58022016,84.22129351
0.013,-10.0788839,18.3390329,-8.260149002,-144.4154205,50.35503374,94.06038679
0.01325,-11.22176678,18.21675756,-6.99499078,-142.910675,39.30118766,103.6094874
0.0135,-12.27885633,17.98066735,-5.701811023,-140.9614563,28.15128855,112.8101677
0.01375,-13.30403531,17.64049389,-4.336458585,-137.0538788,16.3708581,120.6830207
0.014,-14.22349133,17.18016209,-2.956670751,-132.8404236,4.87209715,127.9683264
0.01425,-15.04484776,16.60389932,-1.559051564,-128.0147247,-6.395186769,134.4099115
0.0145,-15.75657304,15.93159252,-0.175019479,-122.9003525,-17.62137493,140.5217274
0.01475,-16.36170089,15.14716711,1.21453378,-117.1891174,-28.41192247,145.6010399
0.015,-16.90734352,14.25188728,2.655456241,-109.5524979,-39.00380602,148.5563039
0.01525,-17.35357874,13.25083172,4.102747028,-100.9831848,-49.04783013,150.0310149
0.0155,-17.70839792,12.1660027,5.542395228,-91.36667633,-58.85502361,150.2216999
0.01575,-17.98400772,11.02913398,6.954873744,-80.56311798,-68.94485772,149.5079757
0.016,-18.1536798,9.833877111,8.31980269,-69.19058228,-78.82389449,148.0144768
0.01625,-18.20895444,8.570923587,9.638030856,-57.39072037,-88.06203252,145.4527529
0.0165,-18.12515978,7.253812354,10.87134742,-45.92180252,-96.52835125,142.4501538
0.01675,-17.95056984,5.920624734,12.02994511,-33.82704163,-105.0903319,138.9173735
0.017,-17.65804912,4.559511918,13.0985372,-21.76933289,-113.1158046,134.8851375
0.01725,-17.27265512,3.16793551,14.10471961,-9.132120132,-120.5218056,129.6539258
0.0175,-16.74470779,1.749705127,14.99500266,2.675494671,-126.7868314,124.1113367
0.01775,-16.09564803,0.364051973,15.73159606,13.67527771,-132.9622613,119.2869836
0.018,-15.36549459,-1.019907862,16.38540245,25.03443146,-138.5436016,113.5091701
0.01825,-14.53228568,-2.436024054,16.96830974,36.30590439,-142.4989956,106.1930912
0.0185,-13.58451514,-3.871179472,17.45569462,46.94689941,-144.7513111,97.80441166
0.01875,-12.57384546,-5.287717705,17.86156317,57.87795639,-146.1595523,88.28159592
0.019,-11.49936849,-6.667869563,18.16723806,68.7837677,-146.831928,78.04816026
0.01925,-10.3402349,-7.997249703,18.3374846,78.83397675,-146.6742333,67.84025656
0.0195,-9.116514952,-9.311397861,18.42791281,88.62436676,-144.9559284,56.33156162
0.01975,-7.840017589,-10.58662254,18.42664013,98.09051514,-142.0024721,43.91195696
0.02,-6.474119902,-11.79034054,18.26446044,105.81884,-137.9663794,32.14753935
0.02025,-5.052306998,-12.90690254,17.95920954,112.3460083,-133.2164799,20.87047161
0.0205,-3.666563837,-13.89441752,17.56098136,119.5610886,-129.0666599,9.505571302
0.02075,-2.29308612,-14.74485045,17.03793657,126.5772018,-125.3590979,-1.218103921
0.021,-0.868018139,-15.53054587,16.39856401,132.0308838,-120.129162,-11.90172178
0.02125,0.538323397,-16.2058126,15.6674892,137.1970062,-114.6292743,-22.56773191
0.0215,1.894111566,-16.76726673,14.87315516,142.6695862,-109.0544208,-33.61516538
0.02175,3.326945233,-17.26948666,13.94254143,145.2775574,-101.3390186,-43.93853876
0.022,4.756278963,-17.67777892,12.92149995,146.6311035,-92.64381464,-53.98728887
0.02225,6.146039774,-17.98833177,11.842292,147.4254913,-83.24435964,-64.1811317
0.0225,7.477597027,-18.187191,10.70959397,147.8361969,-73.4977472,-74.3384497
0.02275,8.8034312,-18.3213133,9.5178821,146.6236725,-62.10232696,-84.52134553
0.023,10.04433779,-18.33654328,8.292205491,145.2590332,-50.64760888,-94.61142432
0.02325,11.22364447,-18.24007835,7.016433885,142.9978638,-38.83922833,-104.1586354
0.0235,12.31081996,-18.02048922,5.709669262,140.3772278,-27.14879256,-113.2284352
0.02375,13.30885854,-17.67185476,4.36299622,137.1111603,-15.71798419,-121.3931761
0.024,14.23380222,-17.22040681,2.986604583,132.8161774,-4.001996268,-128.8141811
0.02425,15.06111316,-16.64118374,1.580070584,127.806633,7.264345519,-135.0709785
0.0245,15.77920681,-15.969301,0.190094187,122.5197525,18.55561817,-141.0753707
0.02475,16.35682517,-15.1590651,-1.197760073,117.3327408,28.66329118,-145.996032
0.025,16.89491024,-14.2388206,-2.656089646,109.710556,38.7261432,-148.4366992
0.02525,17.34493221,-13.24834473,-4.096587484,101.1219482,48.990467,-150.1124152
0.0255,17.70231922,-12.15759227,-5.544726953,91.39570618,58.6993382,-150.0950444
0.02575,17.93388057,-10.99026,-6.943620573,81.52970123,67.87919652,-149.4088978
0.026,18.06372422,-9.77088481,-8.292839409,71.04669952,76.98978374,-148.0364833
0.02625,18.14650617,-8.534164793,-9.612341373,58.74787903,86.90467868,-145.6525577
0.0265,18.10168974,-7.240747222,-10.86094252,46.44946671,96.09481856,-142.5442853
0.02675,17.97374647,-5.922790946,-12.05095553,33.24694061,105.2855023,-138.5324429
0.027,17.696106,-4.556178644,-13.13992736,20.74950409,113.3168829,-134.066387
0.02725,17.26401922,-3.162909992,-14.10110923,9.318597794,120.3442847,-129.6628825
0.0275,16.71020124,-1.735370055,-14.97483118,-1.870928288,126.2392416,-124.3683133
0.02775,16.07517361,-0.343793662,-15.73137995,-13.27011681,132.40059,-119.1304732
0.028,15.3552146,1.041435298,-16.3966499,-24.89804459,138.0263663,-113.1283217
0.02825,14.50326798,2.440626816,-16.94389479,-35.54508209,142.1581619,-106.6130798
0.0285,13.59785147,3.846164743,-17.44401622,-47.07187271,145.2850532,-98.21318048
0.02875,12.55201113,5.282589155,-17.83460029,-57.22643661,146.0676626,-88.84122601
0.029,11.47584108,6.66443383,-18.1402749,-68.09218597,146.7003045,-78.60811851
0.02925,10.32354474,8.006506706,-18.33005145,-78.40837097,146.3572737,-67.94890277
0.0295,9.123970603,9.305424955,-18.42939556,-88.71785736,145.1072202,-56.38936283
0.02975,7.849945166,10.55822417,-18.40816933,-98.08794403,142.6042963,-44.51635225
0.03,6.520530816,11.75390487,-18.27443569,-106.7244339,139.0043077,-32.27987382
0.03025,5.15764532,12.84550255,-18.00314787,-114.6401138,135.1790919,-20.53897808
0.0305,3.737155794,13.85247978,-17.58963557,-121.1238403,130.4266854,-9.302845112
0.03075,2.32216749,14.73041234,-17.05257983,-127.2773056,125.905286,1.3720196
0.031,0.909420932,15.51949393,-16.42891486,-133.0942078,120.7050628,12.38914492
0.03125,-0.49522779,16.19349292,-15.69826514,-138.312851,115.2421723,23.07067866
0.0315,-1.884941082,16.76594751,-14.88100643,-142.9896088,109.207881,33.78172776
0.03175,-3.309743771,17.25758874,-13.94784497,-145.7356415,101.7472526,43.9883889
0.032,-4.75731959,17.66968722,-12.91236763,-146.6433105,92.84320994,53.80010061
0.03225,-6.203429949,18.0140915,-11.81066155,-146.2021637,82.38225546,63.81990824
0.0325,-7.540930131,18.21294842,-10.67201829,-146.4357758,72.57734183,73.85843393
0.03275,-8.847706815,18.3335325,-9.485825683,-145.6028442,61.56619825,84.03664599
0.033,-10.06873318,18.32718454,-8.258451356,-144.5870361,50.66034924,93.9266869
0.03325,-11.19804531,18.20067728,-7.002631968,-143.4134521,39.7918974,103.6215548
0.0335,-12.26532909,17.96331944,-5.697990352,-141.1959534,28.596924,112.5990294
0.03375,-13.27264557,17.63287845,-4.360232884,-137.8371429,16.76949056,121.0676524
0.034,-14.22345297,17.19116198,-2.967709013,-132.9470215,4.688010841,128.2590106
0.03425,-15.05245444,16.61405398,-1.561599541,-127.9143295,-6.624817444,134.539147
0.0345,-15.77604621,15.94851832,-0.172472107,-122.5347824,-18.07197161,140.606754
0.03475,-16.38670338,15.15985875,1.226844629,-116.6397095,-28.82999715,145.4697066
0.035,-16.88910173,14.24765619,2.64144554,-110.0089874,-38.78705125,148.7960387
0.03525,-17.35353002,13.26436971,4.089160311,-101.0973206,-49.30202317,150.3993437
0.0355,-17.71515461,12.1765802,5.538574407,-91.27883911,-59.10926419,150.3881033
0.03575,-17.98356613,11.03378737,6.949778769,-80.61777496,-69.03856744,149.6563424
0.036,-18.13038702,9.8169526,8.313434416,-69.68721771,-78.34251265,148.0297304
0.03625,-18.18397471,8.550614586,9.633360124,-57.91388702,-87.49964756,145.4135346
0.0365,-18.1573793,7.267351419,10.89002788,-45.19478989,-97.02488792,142.2196778
0.03675,-17.97851923,5.940933244,12.03758598,-33.24983978,-105.6900154,138.9398551
0.037,-17.68181566,4.561626996,13.12018866,-21.1570015,-113.3471366,134.5041381
0.03725,-17.2688318,3.168781676,14.10005012,-9.228002548,-120.5263392,129.7543418
0.0375,-16.70311421,1.745896834,14.95721737,1.618319035,-126.4248784,124.8065594
0.03775,-16.08127797,0.345011926,15.73626604,13.43453598,-132.5113958,119.0768598
0.038,-15.34812664,-1.031331862,16.3794585,24.65472412,-138.2095645,113.5548404
0.03825,-14.52381013,-2.440254868,16.964065,36.10259247,-142.3643959,106.2618034
0.0385,-13.60189687,-3.863986101,17.46588297,47.33908081,-145.0241648,97.68508399
0.03875,-12.60693304,-5.280101774,17.88703482,58.68836975,-146.5597639,87.87139415
0.039,-11.51760856,-6.663216134,18.1808247,69.23751831,-147.0692691,77.83175084
0.03925,-10.34239992,-8.009943539,18.35234346,78.99924469,-146.4649392,67.46569449
0.0395,-9.111445393,-9.31901387,18.43045926,88.56261444,-144.7842914,56.22167694
0.03975,-7.813733209,-10.59762369,18.4113569,97.49290466,-141.606646,44.11374135
0.04,-6.444018495,-11.80261209,18.24663059,105.1207123,-137.5141169,32.3934046
0.04025,-5.073518825,-12.9022487,17.97576752,112.86483,-133.4597162,20.59488621
0.0405,-3.685168271,-13.87241683,17.5575851,119.8908691,-129.6215166,9.730647484
0.04075,-2.292633139,-14.73638849,17.02902162,126.5114899,-125.5239374,-0.987552422
0.041,-0.870538707,-15.52250667,16.39304538,132.0470428,-120.3105761,-11.73646672
0.04125,0.530679716,-16.20665934,15.67597962,137.4152374,-114.682258,-22.7329794
0.0415,1.910612132,-16.78376858,14.87315645,142.3701477,-108.6313563,-33.73879136
0.04175,3.321851869,-17.2690652,13.94721333,145.4167633,-101.3899957,-44.02676756
0.042,4.7635117,-17.67354775,12.91003605,146.419281,-92.67578677,-53.74349423
0.04225,6.139637968,-17.99806342,11.85842545,147.6735077,-83.11282749,-64.5606802
0.0425,7.494938963,-18.2058065,10.71086753,147.5260468,-73.0183972,-74.50764955
0.04275,8.804696858,-18.32385253,9.519155674,146.6119537,-62.03948419,-84.57246955
0.043,10.02614562,-18.31835082,8.292205207,145.6061859,-51.12029873,-94.48588719
0.04325,11.21941533,-18.23542351,7.016008181,143.0828552,-38.95773716,-104.1251181
0.0435,12.33538751,-18.03699002,5.701602515,139.8603821,-26.65435876,-113.2060233
0.04375,13.32709375,-17.6777778,4.350684052,136.6739655,-15.4648705,-121.209095
0.044,14.23472217,-17.19967445,2.964952284,132.6319885,-4.380622122,-128.2513664
0.04425,15.05944962,-16.63102953,1.571579906,127.768425,7.059496802,-134.8279218
0.0445,15.7415367,-15.93545215,0.19391545,123.2570267,17.63133123,-140.8883579
0.04475,16.34327725,-15.14806414,-1.195213109,117.6171799,28.33844727,-145.9556271
0.045,16.88893397,-14.2485531,-2.640380873,109.954216,38.84714284,-148.8013588
0.04525,17.34952439,-13.27119214,-4.078332256,101.1865311,49.44258609,-150.6291172
0.0455,17.70312583,-12.17028558,-5.53284025,91.48352051,58.94004491,-150.4235654
0.04575,17.94697569,-11.00929951,-6.937676178,81.33957672,68.33675231,-149.676329
0.046,18.0883322,-9.775962817,-8.312369385,70.44462585,77.27505568,-147.7196815
0.04625,18.17026706,-8.537972442,-9.63229462,58.14917374,87.16182422,-145.310998
0.0465,18.11444867,-7.234401266,-10.8800474,46.05686188,96.07917362,-142.1360355
0.04675,17.97839706,-5.928714431,-12.04968263,33.15377808,105.4398743,-138.5936523
0.047,17.67274927,-4.557870299,-13.11487897,21.36142921,113.1856557,-134.5470849
0.04725,17.24835892,-3.148524519,-14.0998344,9.617068291,119.9648793,-129.5819476
0.0475,16.71232247,-1.736216659,-14.97610581,-1.923481107,126.2748342,-124.3513531
