# Time (seconds),f0
0.0078125,22.204559326171875
0.0234375,22.20269775390625
0.0390625,22.189651489257812
0.0546875,22.211639404296875
0.0703125,22.211639404296875
0.0859375,22.207168579101562
0.1015625,22.22467041015625
0.1171875,22.214614868164062
0.1328125,22.22393035888672
0.1484375,22.214988708496094
0.1640625,22.22132110595703
0.1796875,22.215728759765625
0.1953125,22.212005615234375
0.2109375,22.211257934570312
0.2265625,22.220199584960938
0.2421875,22.211639404296875
0.2578125,22.21722412109375
0.2734375,22.215728759765625
0.2890625,22.214614868164062
0.3046875,22.214988708496094
0.3203125,22.222061157226562
0.3359375,22.223182678222656
0.3515625,22.225418090820312
0.3671875,22.22132110595703
0.3828125,22.22393035888672
0.3984375,22.226531982421875
0.4140625,22.22467041015625
0.4296875,22.229141235351562
0.4453125,22.22467041015625
0.4609375,22.23212432861328
0.4765625,22.229888916015625
0.4921875,22.22840118408203
0.5078125,22.22840118408203
0.5234375,22.226531982421875
0.5390625,22.238082885742188
0.5546875,22.229141235351562
0.5703125,22.233993530273438
0.5859375,22.24591064453125
0.6015625,22.241439819335938
0.6171875,22.22840118408203
0.6328125,22.22840118408203
0.6484375,22.23175811767578
0.6640625,22.241439819335938
0.6796875,22.243301391601562
0.6953125,22.23473358154297
0.7109375,22.23846435546875
0.7265625,22.23846435546875
0.7421875,22.240325927734375
0.7578125,22.241439819335938
0.7734375,22.247772216796875
0.7890625,22.240325927734375
0.8046875,22.247772216796875
0.8203125,22.258949279785156
0.8359375,22.24517059326172
0.8515625,22.241439819335938
0.8671875,22.26342010498047
0.8828125,22.248146057128906
0.8984375,22.257827758789062
0.9140625,22.240325927734375
0.9296875,22.247772216796875
0.9453125,22.257827758789062
0.9609375,22.247772216796875
0.9765625,22.255226135253906
0.9921875,22.248519897460938
1.0078125,22.251876831054688
1.0234375,22.24964141845703
1.0390625,22.240325927734375
1.0546875,22.257827758789062
1.0703125,22.25000762939453
1.0859375,22.258949279785156
1.1015625,22.262298583984375
1.1171875,22.25261688232422
1.1328125,22.247406005859375
1.1484375,22.255226135253906
1.1640625,22.257827758789062
1.1796875,22.257827758789062
1.1953125,22.265289306640625
1.2109375,22.26342010498047
1.2265625,22.255226135253906
1.2421875,22.255226135253906
1.2578125,22.251495361328125
1.2734375,22.265289306640625
