Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,-19.71678925,6.917016057,12.79977319,-37.52410889,-109.9447075,147.4688164
0.00025,-19.44249537,5.440820392,14.00167498,-24.50137901,-118.6464682,143.1478472
0.0005,-19.03074332,3.936276901,15.09446642,-11.82261276,-126.5870786,138.4096913
0.00075,-18.49466334,2.412693248,16.08197009,0.70692569,-133.7981777,133.091252
0.001,-17.83925309,0.898841657,16.94041143,12.90985966,-140.6178527,127.707993
0.00125,-17.06619481,-0.602317127,17.66851193,24.69532204,-146.8753569,122.1800349
0.0015,-16.17734528,-2.13436191,18.31170719,36.3026619,-151.5153977,115.2127358
0.00175,-15.19426594,-3.67359963,18.86786557,47.97660828,-154.8870343,106.9104261
0.002,-14.12337632,-5.232723595,19.35609991,59.82057571,-156.5442632,96.72368744
0.00225,-12.99123439,-6.757999733,19.74923412,71.9634552,-157.4459134,85.4824582
0.0025,-11.77147096,-8.235887551,20.00735851,83.42895508,-157.4186615,73.98970639
0.00275,-10.44256832,-9.704468337,20.14703665,93.72518158,-155.3540964,61.62891478
0.003,-9.009045207,-11.12058276,20.12962796,102.4257889,-151.870442,49.4446531
0.00325,-7.559530104,-12.45377088,20.01330099,111.404129,-147.9881279,36.58399883
0.0035,-6.075635624,-13.66552946,19.74116508,119.6744461,-144.1100737,24.43562759
0.00375,-4.631618392,-14.74443398,19.37605237,128.8766479,-140.8314614,11.95481344
0.004,-3.072632705,-15.72433287,18.79696558,134.9651642,-136.2134509,1.248286673
0.00425,-1.567605904,-16.5921111,18.159717,142.0197906,-131.5972102,-10.42258047
0.0045,-0.033355713,-17.35707564,17.39043136,147.695694,-126.0567268,-21.63896716
0.00475,1.506771008,-18.01753458,16.51076357,152.3406677,-119.6713115,-32.66935625
0.005,3.049363248,-18.57814511,15.52878186,155.8295288,-112.2690094,-43.5605194
0.00525,4.604946302,-19.06428603,14.45933972,157.8222961,-103.1966155,-54.62568064
0.0055,6.134138115,-19.44676761,13.31262949,158.8878937,-93.21306658,-65.6748271
0.00575,7.672617667,-19.7209372,12.04831954,157.8136139,-82.0865472,-75.72706669
0.006,9.1156045,-19.86182916,10.74622466,156.9295349,-71.02716759,-85.90236732
0.00625,10.53636938,-19.9210621,9.384692729,154.4799194,-58.50580584,-95.9741136
0.0065,11.84501041,-19.86944543,8.024435023,152.3931274,-45.73103522,-106.6620922
0.00675,13.07251163,-19.70824368,6.635732055,149.6750641,-32.4708606,-117.2042035
0.007,14.22155689,-19.39853488,5.176977986,145.7789764,-19.48351684,-126.2954596
0.00725,15.24165223,-18.93185712,3.690204891,141.794342,-7.374836663,-134.4195054
0.0075,16.13826948,-18.32174503,2.18347555,137.528244,4.057446876,-141.5856909
0.00775,16.90876519,-17.59612723,0.687362039,133.1190491,15.21515151,-148.3342006
0.008,17.60987134,-16.80239276,-0.80747858,127.2984238,27.2988438,-154.5972676
0.00825,18.2633727,-15.9007677,-2.362605003,119.0709534,39.59486461,-158.665818
0.0085,18.76755254,-14.83963137,-3.927921169,110.617897,50.22061961,-160.8385166
0.00875,19.21396989,-13.66214502,-5.551824869,99.78016663,60.48165385,-160.2618205
0.009,19.49258678,-12.39072966,-7.101857117,89.54520416,69.80124003,-159.3464442
0.00925,19.69664355,-11.07234983,-8.624293726,77.78148651,79.5604575,-157.341944
0.0095,19.81250014,-9.723084041,-10.0894161,64.9318924,89.76797096,-154.6998634
0.00975,19.7998618,-8.33150812,-11.46835368,51.96244812,99.70598525,-151.6684334
0.01,19.68798942,-6.907776297,-12.78021312,38.19845963,109.5631975,-147.7616571
0.01025,19.44714293,-5.457812408,-13.98933052,24.49788284,119.0056288,-143.5035116
0.0105,19.01167289,-3.936767995,-15.07490489,12.32051945,126.4639008,-138.7844203
0.01075,18.48576341,-2.419108996,-16.06665441,-0.427277058,133.8627949,-133.4355178
0.011,17.79904257,-0.873946879,-16.92509569,-12.03367519,139.8602075,-127.8265323
0.01125,17.04975941,0.62678878,-17.67654819,-24.42915344,146.2934422,-121.8642887
0.0115,16.17355416,2.13217793,-18.30573209,-36.16795349,151.5255201,-115.3575666
0.01175,15.19092472,3.678608892,-18.86953361,-47.90615463,154.7664286,-106.860274
0.012,14.13015264,5.217423794,-19.34757643,-59.8666687,156.8837044,-97.0170357
0.01225,12.96326969,6.763430542,-19.72670023,-71.25046539,157.1430429,-85.89257754
0.0125,11.70033759,8.28024382,-19.98058141,-81.85692596,156.0594152,-74.20248919
0.01275,10.40704203,9.732746903,-20.13978893,-92.94937134,154.5508067,-61.60143534
